frame,wall_seconds,wall_delta_ms,sim_delta_ms,phase,x,y,z,visible_cells,loaded_cells,used_physical_bytes,health,ammo,pressure,safety_holds
610,0.554268870,554.268870,16.667226,0,0.000,0.000,88.000,16,16,3671412736,100.000,60,0.000,2
611,0.611039575,56.770705,525.889602,0,0.000,0.000,90.000,16,16,3696820224,100.000,60,0.000,2
612,0.683044656,72.005081,56.657103,0,0.000,0.000,90.000,16,16,3696988160,100.000,60,0.000,2
613,0.698995838,15.951182,71.993541,0,0.000,0.000,90.000,16,16,3697057792,100.000,60,0.000,2
614,0.703084966,4.089128,16.667347,0,0.000,0.000,90.000,16,16,3697070080,100.000,60,0.000,2
615,0.722018901,18.933935,16.667127,0,0.000,0.000,90.000,16,16,3697221632,100.000,60,0.000,2
616,0.739939755,17.920854,16.667767,0,0.000,0.000,90.000,16,16,3697303552,100.000,60,0.000,2
617,0.758346900,18.407145,16.667207,0,0.000,0.000,90.000,16,16,3697360896,100.000,60,0.000,2
618,0.779517383,21.170483,16.666917,0,0.000,0.000,90.000,16,16,3697422336,100.000,60,0.000,2
619,0.795712869,16.195486,16.667136,0,0.000,0.000,90.000,16,16,3697422336,100.000,60,0.000,2
620,0.812934408,17.221539,16.667158,0,0.000,0.000,90.000,16,16,3697463296,100.000,60,0.000,2
621,0.830703339,17.768931,16.667267,0,0.000,0.000,90.000,16,16,3697487872,100.000,60,0.000,2
622,0.847546580,16.843241,16.667486,0,0.000,0.000,90.000,16,16,3697524736,100.000,60,0.000,2
623,0.864549974,17.003394,16.667147,0,0.000,0.000,90.000,16,16,3697569792,100.000,60,0.000,2
624,0.881761742,17.211768,16.962574,0,0.000,0.000,90.000,16,16,3697602560,100.000,60,0.000,2
625,0.897632362,15.870620,16.666997,0,0.000,0.000,90.000,16,16,3697664000,100.000,60,0.000,2
626,0.913390679,15.758317,16.667306,0,0.000,0.000,90.000,16,16,3697700864,100.000,60,0.000,2
627,0.931362954,17.972275,16.666807,0,0.000,0.000,90.000,16,16,3697733632,100.000,60,0.000,2
