frame,wall_seconds,wall_ms,sim_ms,phase,active,spawned,rivals,infected,health_sum,paths,blocked,overlap_pairs,resident_bytes
763,0.166858079,33.894809,124.304350,1,0,0,0,0,0.000,0,0,0,2897469440
764,0.183255142,16.397063,33.910639,1,0,0,0,0,0.000,0,0,0,2898653184
765,0.197184650,13.929508,16.315481,1,0,0,0,0,0.000,0,0,0,2898767872
766,0.214650236,17.465586,13.886037,1,0,0,0,0,0.000,0,0,0,2898964480
767,0.227102181,12.451945,17.559078,1,0,0,0,0,0.000,0,0,0,2899259392
768,0.240656771,13.554590,12.344034,1,0,0,0,0,0.000,0,0,0,2899816448
769,0.277199369,36.542598,13.650431,1,0,0,0,0,0.000,0,0,0,2900631552
770,0.293382137,16.182768,36.479837,1,0,0,0,0,0.000,0,0,0,2901151744
771,0.306630920,13.248783,16.235729,1,0,0,0,0,0.000,0,0,0,2901843968
772,0.320420315,13.789395,13.191491,1,0,0,0,0,0.000,0,0,0,2902331392
773,0.333234228,12.813913,13.981420,1,0,0,0,0,0.000,0,0,0,2902392832
774,0.348464926,15.230698,12.692060,1,0,0,0,0,0.000,0,0,0,2902429696
775,0.364295605,15.830679,15.191466,1,0,0,0,0,0.000,0,0,0,2902552576
776,0.379617374,15.321769,15.878301,1,0,0,0,0,0.000,0,0,0,2902675456
777,0.394442431,14.825057,15.249397,1,0,0,0,0,0.000,0,0,0,2902769664
778,0.406974179,12.531748,14.900980,1,0,0,0,0,0.000,0,0,0,2902818816
779,0.421148942,14.174763,12.410394,1,0,0,0,0,0.000,0,0,0,2902888448
780,0.433776322,12.627380,14.506721,1,0,0,0,0,0.000,0,0,0,2902949888
781,0.445789647,12.013325,12.948867,1,0,0,0,0,0.000,0,0,0,2902953984
782,0.458532919,12.743272,11.397641,1,0,0,0,0,0.000,0,0,0,2902994944
783,0.471613479,13.080560,12.788563,1,0,0,0,0,0.000,0,0,0,2903027712
784,0.484551225,12.937746,13.019998,1,0,0,0,0,0.000,0,0,0,2903031808
785,0.497591233,13.040008,12.968337,1,0,0,0,0,0.000,0,0,0,2903064576
786,0.510564920,12.973687,12.990177,1,0,0,0,0,0.000,0,0,0,2903146496
787,0.523372973,12.808053,13.000098,1,0,0,0,0,0.000,0,0,0,2903183360
788,0.535891910,12.518937,12.805153,1,0,0,0,0,0.000,0,0,0,2903183360
789,0.548440737,12.548827,12.498426,1,0,0,0,0,0.000,0,0,0,2903224320
790,0.560933063,12.492326,12.575649,1,0,0,0,0,0.000,0,0,0,2903261184
791,0.573847889,12.914826,12.457945,1,0,0,0,0,0.000,0,0,0,2903289856
792,0.586491598,12.643709,12.924365,1,0,0,0,0,0.000,0,0,0,2903293952
793,0.599645650,13.154052,12.663851,1,0,0,0,0,0.000,0,0,0,2903334912
794,0.613550827,13.905177,13.129400,1,0,0,0,0,0.000,0,0,0,2903375872
795,0.626778690,13.227863,13.932348,1,0,0,0,0,0.000,0,0,0,2903404544
796,0.639855239,13.076549,13.199982,1,0,0,0,0,0.000,0,0,0,2903429120
797,0.652734804,12.879565,13.081419,1,0,0,0,0,0.000,0,0,0,2903465984
798,0.665239030,12.504226,12.897285,1,0,0,0,0,0.000,0,0,0,2903494656
799,0.677985832,12.746802,12.468966,1,0,0,0,0,0.000,0,0,0,2903523328
800,0.691012540,13.026708,12.751042,1,0,0,0,0,0.000,0,0,0,2903523328
801,0.703633259,12.620719,13.029378,1,0,0,0,0,0.000,0,0,0,2903564288
802,0.717171538,13.538279,12.621079,1,0,0,0,0,0.000,0,0,0,2903597056
803,0.729761167,12.589629,13.555460,1,0,0,0,0,0.000,0,0,0,2903621632
804,0.742212882,12.451715,12.585368,1,0,0,0,0,0.000,0,0,0,2903621632
805,0.754483873,12.270991,12.448065,1,0,0,0,0,0.000,0,0,0,2903658496
806,0.767612604,13.128731,12.301663,1,0,0,0,0,0.000,0,0,0,2903691264
807,0.779944536,12.331932,13.171471,1,0,0,0,0,0.000,0,0,0,2903691264
808,0.792440282,12.495746,12.269621,1,0,0,0,0,0.000,0,0,0,2903724032
809,0.805783728,13.343446,12.497777,1,0,0,0,0,0.000,0,0,0,2903756800
810,0.818155031,12.371303,13.324164,1,0,0,0,0,0.000,0,0,0,2903785472
811,0.830838552,12.683521,12.359683,1,0,0,0,0,0.000,0,0,0,2903789568
812,0.843232126,12.393574,12.705281,1,0,0,0,0,0.000,0,0,0,2903826432
813,0.856928689,13.696563,12.383924,1,0,0,0,0,0.000,0,0,0,2903859200
814,0.869077137,12.148448,13.691523,1,0,0,0,0,0.000,0,0,0,2903887872
815,0.881856200,12.779063,12.148678,1,0,0,0,0,0.000,0,0,0,2903887872
816,0.894120371,12.264171,12.776003,1,0,0,0,0,0.000,0,0,0,2903924736
817,0.906698900,12.578529,12.264881,1,0,0,0,0,0.000,0,0,0,2903953408
818,0.918889159,12.190259,12.634140,1,0,0,0,0,0.000,0,0,0,2903957504
819,0.930222839,11.333680,12.154278,1,0,0,0,0,0.000,0,0,0,2903994368
820,0.943770019,13.547180,11.316720,1,0,0,0,0,0.000,0,0,0,2904023040
821,0.957391320,13.621301,13.537880,1,0,0,0,0,0.000,0,0,0,2904068096
822,0.970554181,13.162861,13.655312,1,0,0,0,0,0.000,0,0,0,2904072192
823,0.983234501,12.680320,13.187112,1,0,0,0,0,0.000,0,0,0,2904113152
824,0.995180946,11.946445,12.637039,1,0,0,0,0,0.000,0,0,0,2904141824
825,1.007800435,12.619489,11.940124,1,0,0,0,0,0.000,0,0,0,2904170496
826,1.019900953,12.100518,12.642690,1,0,0,0,0,0.000,0,0,0,2904170496
827,1.031882788,11.981835,12.073787,1,0,0,0,0,0.000,0,0,0,2904207360
828,1.045091569,13.208781,11.996255,1,0,0,0,0,0.000,0,0,0,2904252416
829,1.057256178,12.164609,13.207662,1,0,0,0,0,0.000,0,0,0,2904264704
830,1.069497389,12.241211,12.323173,1,0,0,0,0,0.000,0,0,0,2904301568
831,1.081656407,12.159018,12.210700,1,0,0,0,0,0.000,0,0,0,2904330240
832,1.095463223,13.806816,12.124038,1,0,0,0,0,0.000,0,0,0,2904358912
833,1.108235886,12.772663,13.774384,1,0,0,0,0,0.000,0,0,0,2904358912
834,1.121973070,13.737184,12.778582,1,0,0,0,0,0.000,0,0,0,2904395776
835,1.134538717,12.565647,13.675493,1,0,0,0,0,0.000,0,0,0,2904424448
836,1.146904181,12.365464,12.609519,1,0,0,0,0,0.000,0,0,0,2904453120
837,1.159182772,12.278591,12.307862,1,0,0,0,0,0.000,0,0,0,2904457216
838,1.171790411,12.607639,12.314762,1,0,0,0,0,0.000,0,0,0,2904494080
839,1.185156497,13.366086,12.643690,1,0,0,0,0,0.000,0,0,0,2904526848
840,1.197167552,12.011055,13.361295,1,0,0,0,0,0.000,0,0,0,2904530944
841,1.209613287,12.445735,11.997905,1,0,0,0,0,0.000,0,0,0,2904567808
842,1.222693536,13.080249,12.456096,1,0,0,0,0,0.000,0,0,0,2904604672
843,1.235400187,12.706651,13.103270,1,0,0,0,0,0.000,0,0,0,2904633344
844,1.248239571,12.839384,12.725492,1,0,0,0,0,0.000,0,0,0,2904633344
845,1.260153965,11.914394,12.864423,1,0,0,0,0,0.000,0,0,0,2904670208
846,1.272529708,12.375743,11.872323,1,0,0,0,0,0.000,0,0,0,2904711168
847,1.284833931,12.304223,12.392244,1,0,0,0,0,0.000,0,0,0,2904711168
848,1.297042721,12.208790,12.289332,1,0,0,0,0,0.000,0,0,0,2904739840
849,1.309246120,12.203399,12.183779,1,0,0,0,0,0.000,0,0,0,2904772608
850,1.321928131,12.682011,12.254911,1,0,0,0,0,0.000,0,0,0,2904801280
851,1.333489506,11.561375,12.664720,1,0,0,0,0,0.000,0,0,0,2904805376
852,1.345287027,11.797521,11.557596,1,0,0,0,0,0.000,0,0,0,2904842240
853,1.357098309,11.811282,11.788740,1,0,0,0,0,0.000,0,0,0,2904547328
854,1.368751916,11.653607,11.776051,1,0,0,0,0,0.000,0,0,0,2904547328
855,1.380903145,12.151229,11.667298,1,0,0,0,0,0.000,0,0,0,2904584192
856,1.393358830,12.455685,12.155699,1,0,0,0,0,0.000,0,0,0,2904612864
857,1.405293784,11.934954,12.445635,1,0,0,0,0,0.000,0,0,0,2904612864
858,1.417590356,12.296572,11.994335,1,0,0,0,0,0.000,0,0,0,2904649728
859,1.429614122,12.023766,12.165220,1,0,0,0,0,0.000,0,0,0,2904678400
860,1.441556646,11.942524,11.964503,1,0,0,0,0,0.000,0,0,0,2904678400
861,1.453382317,11.825671,11.996126,1,0,0,0,0,0.000,0,0,0,2904727552
862,1.465149288,11.766971,11.961274,1,0,0,0,0,0.000,0,0,0,2904772608
863,1.478473002,13.323714,11.775651,1,0,0,0,0,0.000,0,0,0,2903756800
864,1.490699182,12.226180,13.260743,1,0,0,0,0,0.000,0,0,0,2903764992
865,1.502468353,11.769171,12.170290,1,0,0,0,0,0.000,0,0,0,2903810048
866,1.515885910,13.417557,11.690307,1,0,0,0,0,0.000,0,0,0,2902790144
867,1.529904190,14.018280,13.546110,1,0,0,0,0,0.000,0,0,0,2901762048
868,1.542433127,12.528937,13.987180,1,0,0,0,0,0.000,0,0,0,2901766144
869,1.555935386,13.502259,12.534356,1,0,0,0,0,0.000,0,0,0,2900758528
870,1.568806839,12.871453,13.488689,1,0,0,0,0,0.000,0,0,0,2900795392
871,1.582476352,13.669513,12.858645,1,0,0,0,0,0.000,0,0,0,2899771392
872,1.594116340,11.639988,13.537958,1,0,0,0,0,0.000,0,0,0,2899771392
873,1.605789677,11.673337,11.643248,1,0,0,0,0,0.000,0,0,0,2899808256
874,1.618084900,12.295223,11.697009,1,0,0,0,0,0.000,0,0,0,2899841024
875,1.629090123,11.005223,12.283382,1,0,0,0,0,0.000,0,0,0,2899845120
876,1.641497777,12.407654,11.010513,1,0,0,0,0,0.000,0,0,0,2899886080
877,1.653860960,12.363183,12.464265,1,0,0,0,0,0.000,0,0,0,2899918848
878,1.666866798,13.005838,12.480137,1,0,0,0,0,0.000,0,0,0,2899922944
879,1.678957236,12.090438,12.984777,1,0,0,0,0,0.000,0,0,0,2899951616
880,1.691976274,13.019038,12.097127,1,0,0,0,0,0.000,0,0,0,2899988480
881,1.704098802,12.122528,12.992977,1,0,0,0,0,0.000,0,0,0,2900017152
882,1.715400251,11.301449,12.155869,1,0,0,0,0,0.000,0,0,0,2900017152
883,1.727001728,11.601477,11.295350,1,0,0,0,0,0.000,0,0,0,2900058112
884,1.738025342,11.023614,11.566326,1,0,0,0,0,0.000,0,0,0,2900090880
885,1.748194487,10.169145,11.021243,1,0,0,0,0,0.000,0,0,0,2900090880
886,1.758543885,10.349398,10.069103,1,0,0,0,0,0.000,0,0,0,2900127744
887,1.767833280,9.289395,10.323128,1,0,0,0,0,0.000,0,0,0,2900127744
888,1.776690376,8.857096,9.253845,1,0,0,0,0,0.000,0,0,0,2900172800
889,1.785774567,9.084191,8.853685,1,0,0,0,0,0.000,0,0,0,2900172800
890,1.795275348,9.500781,9.116472,1,0,0,0,0,0.000,0,0,0,2900217856
891,1.804414430,9.139082,9.500230,1,0,0,0,0,0.000,0,0,0,2900217856
892,1.813703495,9.289065,9.157123,1,0,0,0,0,0.000,0,0,0,2900258816
893,1.822447968,8.744473,9.279885,1,0,0,0,0,0.000,0,0,0,2900267008
894,1.831546699,9.098731,8.749113,1,0,0,0,0,0.000,0,0,0,2900307968
895,1.840500858,8.954159,9.102171,1,0,0,0,0,0.000,0,0,0,2900312064
896,1.849495796,8.994938,8.944308,1,0,0,0,0,0.000,0,0,0,2900353024
897,1.859213512,9.717716,8.997119,1,0,0,0,0,0.000,0,0,0,2900377600
898,1.868682921,9.469409,9.691845,1,0,0,0,0,0.000,0,0,0,2900402176
899,1.878934897,10.251976,9.463519,1,0,0,0,0,0.000,0,0,0,2899394560
900,1.889216565,10.281668,10.257777,1,0,0,0,0,0.000,0,0,0,2899398656
901,1.898530261,9.313696,10.278747,1,0,0,0,0,0.000,0,0,0,2899443712
902,1.907786915,9.256654,9.320036,1,0,0,0,0,0.000,0,0,0,2899443712
903,1.917579452,9.792537,9.243804,1,0,0,0,0,0.000,0,0,0,2899484672
904,1.926729884,9.150432,9.804867,1,0,0,0,0,0.000,0,0,0,2899492864
905,1.935945398,9.215514,9.140362,1,0,0,0,0,0.000,0,0,0,2899533824
906,1.945159852,9.214454,9.248755,1,0,0,0,0,0.000,0,0,0,2899537920
907,1.955378728,10.218876,9.177733,1,0,0,0,0,0.000,0,0,0,2899578880
908,1.965671755,10.293027,10.685496,1,0,0,0,0,0.000,0,0,0,2899611648
909,1.975443981,9.772226,10.180206,1,0,0,0,0,0.000,0,0,0,2899611648
910,1.985558385,10.114404,9.821236,1,0,0,0,0,0.000,0,0,0,2899656704
911,1.995245089,9.686704,10.021722,1,0,0,0,0,0.000,0,0,0,2899656704
912,2.007248965,12.003876,9.939859,1,0,0,0,0,0.000,0,0,0,2899693568
913,2.017753177,10.504212,11.878503,1,0,0,0,0,0.000,0,0,0,2899722240
914,2.028531635,10.778458,10.402431,1,0,0,0,0,0.000,0,0,0,2899722240
915,2.039812274,11.280639,10.683455,1,0,0,0,0,0.000,0,0,0,2899763200
916,2.051048543,11.236269,11.258670,1,0,0,0,0,0.000,0,0,0,2899791872
917,2.061895023,10.846480,11.269589,1,0,0,0,0,0.000,0,0,0,2899795968
918,2.072461837,10.566814,10.832310,1,0,0,0,0,0.000,0,0,0,2899832832
