frame,wall_seconds,wall_ms,sim_ms,phase,active,spawned,rivals,infected,health_sum,paths,blocked,overlap_pairs,resident_bytes
888,0.190231812,29.320386,153.069195,1,0,0,0,0,0.000,0,0,0,2913083392
889,0.204375227,14.143415,29.318645,1,0,0,0,0,0.000,0,0,0,2913914880
890,0.219343552,14.968325,14.301439,1,0,0,0,0,0.000,0,0,0,2914500608
891,0.239530897,20.187345,14.756800,1,0,0,0,0,0.000,0,0,0,2914742272
892,0.253504779,13.973882,20.235586,1,0,0,0,0,0.000,0,0,0,2915995648
893,0.287536882,34.032103,13.897130,1,0,0,0,0,0.000,0,0,0,2921000960
894,0.303784746,16.247864,34.232348,1,0,0,0,0,0.000,0,0,0,2921095168
895,0.319517729,15.732983,16.241375,1,0,0,0,0,0.000,0,0,0,2921353216
896,0.331980646,12.462917,15.704971,1,0,0,0,0,0.000,0,0,0,2921582592
897,0.345947437,13.966791,12.385946,1,0,0,0,0,0.000,0,0,0,2921701376
898,0.360324899,14.377462,14.109215,1,0,0,0,0,0.000,0,0,0,2921832448
899,0.376489571,16.164672,14.322280,1,0,0,0,0,0.000,0,0,0,2921926656
900,0.391217711,14.728140,16.179922,1,0,0,0,0,0.000,0,0,0,2922057728
901,0.403959183,12.741472,14.730230,1,0,0,0,0,0.000,0,0,0,2922127360
902,0.416327449,12.368266,12.750063,1,0,0,0,0,0.000,0,0,0,2922188800
903,0.428667263,12.339814,12.373865,1,0,0,0,0,0.000,0,0,0,2922246144
904,0.442199435,13.532172,12.338654,1,0,0,0,0,0.000,0,0,0,2922254336
905,0.452963362,10.763927,13.507211,1,0,0,0,0,0.000,0,0,0,2922340352
906,0.463722140,10.758778,10.777329,1,0,0,0,0,0.000,0,0,0,2922397696
907,0.474707233,10.985093,10.712876,1,0,0,0,0,0.000,0,0,0,2922401792
908,0.486423363,11.716130,11.016064,1,0,0,0,0,0.000,0,0,0,2922455040
909,0.498003359,11.579996,11.680439,1,0,0,0,0,0.000,0,0,0,2922487808
910,0.509000102,10.996743,11.619228,1,0,0,0,0,0.000,0,0,0,2922491904
911,0.520105228,11.105126,10.990863,1,0,0,0,0,0.000,0,0,0,2922532864
912,0.531742997,11.637769,11.090135,1,0,0,0,0,0.000,0,0,0,2922561536
913,0.542875983,11.132986,11.607467,1,0,0,0,0,0.000,0,0,0,2922569728
914,0.554120432,11.244449,11.217809,1,0,0,0,0,0.000,0,0,0,2922631168
915,0.565158296,11.037864,11.187878,1,0,0,0,0,0.000,0,0,0,2922635264
916,0.576001335,10.843039,11.050554,1,0,0,0,0,0.000,0,0,0,2922668032
917,0.588052633,12.051298,10.842260,1,0,0,0,0,0.000,0,0,0,2922704896
918,0.599922807,11.870174,12.045577,1,0,0,0,0,0.000,0,0,0,2922704896
919,0.611581015,11.658208,11.832543,1,0,0,0,0,0.000,0,0,0,2922745856
920,0.622832314,11.251299,11.662458,1,0,0,0,0,0.000,0,0,0,2922778624
921,0.634584645,11.752331,11.276009,1,0,0,0,0,0.000,0,0,0,2922778624
922,0.645998938,11.414293,11.631389,1,0,0,0,0,0.000,0,0,0,2922807296
923,0.656934950,10.936012,11.383691,1,0,0,0,0,0.000,0,0,0,2922860544
924,0.668613099,11.678149,10.937562,1,0,0,0,0,0.000,0,0,0,2922860544
925,0.680438961,11.825862,11.700200,1,0,0,0,0,0.000,0,0,0,2922893312
926,0.692592631,12.153670,11.810142,1,0,0,0,0,0.000,0,0,0,2922930176
