frame,wall_seconds,wall_delta_ms,sim_delta_ms,phase,x,y,z,visible_cells,loaded_cells,used_physical_bytes,health,ammo,pressure,safety_holds
877,0.124379692,124.379692,11.393001,0,0.000,0.000,88.000,12,12,2905559040,100.000,60,0.000,2
878,0.156464236,32.084544,105.826414,0,0.000,0.000,90.000,12,12,2924589056,100.000,60,0.000,2
879,0.170096506,13.632270,33.122438,0,0.000,0.000,90.000,12,12,2926395392,100.000,60,0.000,2
880,0.186342673,16.246167,12.735609,0,0.000,0.000,90.000,12,12,2926768128,100.000,60,0.000,2
881,0.204094943,17.752270,16.283059,0,0.000,0.000,90.000,12,12,2926993408,100.000,60,0.000,2
882,0.218956880,14.861937,17.651697,0,0.000,0.000,90.000,12,12,2927357952,100.000,60,0.000,2
883,0.233751824,14.794944,14.876647,0,0.000,0.000,90.000,12,12,2927460352,100.000,60,0.000,2
884,0.245318899,11.567075,14.782605,0,0.000,0.000,90.000,12,12,2927484928,100.000,60,0.000,2
885,0.257800563,12.481664,11.561243,0,0.000,0.000,90.000,12,12,2927513600,100.000,60,0.000,2
886,0.269642342,11.841779,12.449354,0,0.000,0.000,90.000,12,12,2927579136,100.000,60,0.000,2
887,0.282294211,12.651869,11.856461,0,0.000,0.000,90.000,12,12,2927652864,100.000,60,0.000,2
888,0.293800413,11.506202,12.670837,0,0.000,0.000,90.000,12,12,2927681536,100.000,60,0.000,2
889,0.306917622,13.117209,11.466103,0,0.000,0.000,90.000,12,12,2927747072,100.000,60,0.000,2
890,0.318729901,11.812279,13.131768,0,0.000,0.000,90.000,12,12,2927779840,100.000,60,0.000,2
891,0.331034852,12.304951,11.913892,0,0.000,0.000,90.000,12,12,2927808512,100.000,60,0.000,2
892,0.342778649,11.743797,12.192608,0,0.000,0.000,90.000,12,12,2927853568,100.000,60,0.000,2
893,0.355065970,12.287321,11.740038,0,0.000,0.000,90.000,12,12,2927894528,100.000,60,0.000,2
894,0.367436451,12.370481,12.287990,0,0.000,0.000,90.000,12,12,2927923200,100.000,60,0.000,2
895,0.379573198,12.136747,12.398552,0,0.000,0.000,90.000,12,12,2927951872,100.000,60,0.000,2
896,0.390013567,10.440369,12.139447,0,0.000,0.000,90.000,12,12,2928058368,100.000,60,0.000,2
897,0.401807196,11.793629,10.423749,0,0.000,0.000,90.000,12,12,2928132096,100.000,60,0.000,2
898,0.414267800,12.460604,11.830530,0,0.000,0.000,90.000,12,12,2928222208,100.000,60,0.000,2
899,0.426374496,12.106696,12.527204,0,0.000,0.000,90.000,12,12,2928259072,100.000,60,0.000,2
900,0.438802328,12.427832,12.043165,0,0.000,0.000,90.000,12,12,2928312320,100.000,60,0.000,2
901,0.451018638,12.216310,12.409433,0,0.000,0.000,90.000,12,12,2928320512,100.000,60,0.000,2
902,0.464004863,12.986225,12.195248,0,0.000,0.000,90.000,12,12,2928369664,100.000,60,0.000,2
903,0.476579169,12.574306,13.075837,0,0.000,0.000,90.000,12,12,2928410624,100.000,60,0.000,2
904,0.489276288,12.697119,12.489615,0,0.000,0.000,90.000,12,12,2928410624,100.000,60,0.000,2
905,0.501552537,12.276249,12.726879,0,0.000,0.000,90.000,12,12,2928443392,100.000,60,0.000,2
906,0.515182177,13.629640,12.281900,0,0.000,0.000,90.000,12,12,2928484352,100.000,60,0.000,2
907,0.527930327,12.748150,13.665730,0,0.000,0.000,90.000,12,12,2928517120,100.000,60,0.000,2
908,0.540861821,12.931494,12.681149,0,0.000,0.000,90.000,12,12,2928590848,100.000,60,0.000,2
909,0.553752664,12.890843,12.936544,0,0.000,0.000,90.000,12,12,2928627712,100.000,60,0.000,2
910,0.567315092,13.562428,12.874573,0,0.000,0.000,90.000,12,12,2928660480,100.000,60,0.000,2
911,0.581109865,13.794773,13.681300,0,0.000,0.000,90.000,12,12,2928701440,100.000,60,0.000,2
912,0.595450070,14.340205,13.796983,0,0.000,0.000,90.000,12,12,2928730112,100.000,60,0.000,2
913,0.609108171,13.658101,14.318454,0,0.000,0.000,90.000,12,12,2928742400,100.000,60,0.000,2
914,0.622538325,13.430154,13.687041,0,0.000,0.000,90.000,12,12,2928779264,100.000,60,0.000,2
915,0.636453901,13.915576,13.351583,0,0.000,0.000,90.000,12,12,2928836608,100.000,60,0.000,2
916,0.650713764,14.259863,14.035190,0,0.000,0.000,90.000,12,12,2928885760,100.000,60,0.000,2
917,0.664415255,13.701491,14.222392,0,0.000,0.000,90.000,12,12,2928939008,100.000,60,0.000,2
918,0.678670428,14.255173,13.615708,0,0.000,0.000,90.000,12,12,2928963584,100.000,60,0.000,2
919,0.691220514,12.550086,14.237414,0,0.000,0.000,90.000,12,12,2929008640,100.000,60,0.000,2
920,0.703433622,12.213108,12.635437,0,0.000,0.000,90.000,12,12,2929045504,100.000,60,0.000,2
921,0.716330706,12.897084,12.156527,0,0.000,0.000,90.000,12,12,2929045504,100.000,60,0.000,2
922,0.729161538,12.830832,12.913923,0,0.000,0.000,90.000,12,12,2929086464,100.000,60,0.000,2
923,0.741499219,12.337681,12.904744,0,0.000,0.000,90.000,12,12,2929139712,100.000,60,0.000,2
924,0.752799827,11.300608,12.078255,0,0.000,0.000,90.000,12,12,2929225728,100.000,60,0.000,2
925,0.762923889,10.124062,11.289439,0,0.000,0.000,90.000,12,12,2929229824,100.000,60,0.000,2
926,0.770969066,8.045177,10.150403,0,0.000,0.000,90.000,12,12,2929270784,100.000,60,0.000,2
