frame,time,phase,age,fire_time,fire_weight,hit_time,hit_weight,barrel_angle,foot_displacement,ammo,health
1152,4.235608,3,0.000000,0.000000,0.000000,0.000000,0.000000,13.470395,1.373428,59,100.000000
1153,4.239490,3,0.003881,0.007763,0.164954,0.000000,0.000000,13.145413,1.327758,59,100.000000
1154,4.252092,3,0.016484,0.032967,0.700553,0.000000,0.000000,12.081636,1.179524,59,100.000000
1155,4.265628,3,0.030019,0.060038,0.850000,0.000000,0.000000,11.641675,1.020414,59,100.000000
1156,4.281240,3,0.045632,0.091264,0.850000,0.000000,0.000000,11.029748,0.836978,59,100.000000
1157,4.294036,3,0.058427,0.116855,0.850000,0.000000,0.000000,10.219772,0.686797,59,100.000000
1158,4.306790,3,0.071182,0.142364,0.850000,0.000000,0.000000,9.140515,0.537284,59,100.000000
1159,4.319682,3,0.084074,0.168148,0.850000,0.000000,0.000000,7.827771,0.386401,59,100.000000
1160,4.332636,3,0.097028,0.194055,0.850000,0.000000,0.000000,6.400254,0.235266,59,100.000000
1161,4.345266,3,0.109658,0.219316,0.850000,0.000000,0.000000,4.960217,0.089962,59,100.000000
1162,4.358159,3,0.122550,0.245101,0.850000,0.000000,0.000000,3.497322,0.026601,59,100.000000
1163,4.370835,3,0.135226,0.270452,0.850000,0.000000,0.000000,2.097319,0.026844,59,100.000000
1164,4.383857,3,0.148249,0.296497,0.850000,0.000000,0.000000,0.743243,0.027830,59,100.000000
1165,4.396409,3,0.160800,0.321601,0.850000,0.000000,0.000000,0.468293,0.028943,59,100.000000
1166,4.410607,3,0.174999,0.349998,0.850000,0.000000,0.000000,0.506240,0.027153,59,100.000000
1167,4.424536,3,0.188928,0.377856,0.850000,0.000000,0.000000,0.451769,0.024359,59,100.000000
