frame,time,phase,x,y,z,foot_x,foot_y,foot_z,visible,tick
1060,3.013137,2,6000.0000,-1000.0000,90.0000,19.7798,8.6892,6.1324,1,1
1061,3.025577,2,6000.0000,-1000.0000,90.0000,19.7793,8.6852,6.1324,1,1
1062,3.425577,2,6000.0000,-1000.0000,90.0000,19.7576,8.6670,7.6903,1,1
1063,3.433548,2,6000.0000,-1000.0000,90.0000,19.7538,8.6686,7.5902,1,1
1064,3.435850,2,6000.0000,-1000.0000,90.0000,19.7537,8.6693,7.5614,1,1
1065,3.447976,2,6000.0000,-1000.0000,90.0000,19.7529,8.6728,7.4099,1,1
1066,3.460307,2,6000.0000,-1000.0000,90.0000,19.7520,8.6764,7.2560,1,1
1067,3.472375,2,6000.0000,-1000.0000,90.0000,19.7531,8.6789,7.1058,1,1
1068,3.484829,2,6000.0000,-1000.0000,90.0000,19.7563,8.6804,6.9510,1,1
1069,3.497134,2,6000.0000,-1000.0000,90.0000,19.7595,8.6819,6.7981,1,1
1070,3.509144,2,6000.0000,-1000.0000,90.0000,19.7631,8.6795,6.6489,1,1
1071,3.521922,2,6000.0000,-1000.0000,90.0000,19.7671,8.6758,6.4900,1,1
1072,3.534022,2,6000.0000,-1000.0000,90.0000,19.7706,8.6723,6.3392,1,1
1073,3.545960,2,6000.0000,-1000.0000,90.0000,19.7702,8.6705,6.1901,1,1
1074,3.557664,2,6000.0000,-1000.0000,90.0000,19.7699,8.6688,6.1324,1,1
1075,3.569565,2,6000.0000,-1000.0000,90.0000,19.7704,8.6680,6.1324,1,1
1076,3.581789,2,6000.0000,-1000.0000,90.0000,19.7739,8.6700,6.1324,1,1
1077,3.595154,2,6000.0000,-1000.0000,90.0000,19.7777,8.6723,6.1324,1,1
1078,3.608443,2,6000.0000,-1000.0000,90.0000,19.7809,8.6746,6.1324,1,1
1079,3.620423,2,6000.0000,-1000.0000,90.0000,19.7835,8.6765,6.1324,1,1
1080,3.632289,2,6000.0000,-1000.0000,90.0000,19.7861,8.6785,6.1324,1,1
1081,3.644228,2,6000.0000,-1000.0000,90.0000,19.7892,8.6776,6.1324,1,1
1082,3.656646,2,6000.0000,-1000.0000,90.0000,19.7924,8.6764,6.1324,1,1
1083,3.668673,2,6000.0000,-1000.0000,90.0000,19.7948,8.6751,6.1324,1,1
1084,3.681120,2,6000.0000,-1000.0000,90.0000,19.7943,8.6734,6.1324,1,1
1085,3.693288,2,6000.0000,-1000.0000,90.0000,19.7937,8.6717,6.1324,1,1
1086,3.705819,2,6000.0000,-1000.0000,90.0000,19.7920,8.6708,6.1324,1,1
1087,3.718069,2,6000.0000,-1000.0000,90.0000,19.7890,8.6708,6.1324,1,1
1088,3.731186,2,6000.0000,-1000.0000,90.0000,19.7859,8.6708,6.1324,1,1
1089,3.743022,2,6000.0000,-1000.0000,90.0000,19.7879,8.6704,6.1324,1,1
1090,3.755411,2,6000.0000,-1000.0000,90.0000,19.7912,8.6698,6.1324,1,1
1091,3.767598,2,6000.0000,-1000.0000,90.0000,19.7943,8.6692,6.1324,1,1
1092,3.779480,2,6000.0000,-1000.0000,90.0000,19.7966,8.6673,6.1324,1,1
1093,3.791860,2,6000.0000,-1000.0000,90.0000,19.7990,8.6652,6.1324,1,1
1094,3.804046,2,6000.0000,-1000.0000,90.0000,19.8008,8.6645,6.1324,1,1
1095,3.816239,2,6000.0000,-1000.0000,90.0000,19.8013,8.6663,6.1324,1,1
1096,3.827999,2,6000.0000,-1000.0000,90.0000,19.8019,8.6680,6.1324,1,1
1097,3.840514,2,6000.0000,-1000.0000,90.0000,19.8023,8.6689,6.1324,1,1
1098,3.853273,2,6000.0000,-1000.0000,90.0000,19.8025,8.6691,6.1324,1,1
1099,3.865565,2,6000.0000,-1000.0000,90.0000,19.8028,8.6693,6.1324,1,1
1100,3.878794,2,6000.0000,-1000.0000,90.0000,19.7996,8.6708,6.1324,1,1
1101,3.891692,2,6000.0000,-1000.0000,90.0000,19.7961,8.6725,6.1324,1,1
1102,3.905201,2,6000.0000,-1000.0000,90.0000,19.7934,8.6742,6.1324,1,1
1103,3.917875,2,6000.0000,-1000.0000,90.0000,19.7922,8.6759,6.1324,1,1
1104,3.930911,2,6000.0000,-1000.0000,90.0000,19.7910,8.6777,6.1324,1,1
1105,3.943293,2,6000.0000,-1000.0000,90.0000,19.7886,8.6773,6.1324,1,1
1106,3.956130,2,6000.0000,-1000.0000,90.0000,19.7859,8.6764,6.1324,1,1
1107,3.969104,2,6000.0000,-1000.0000,90.0000,19.7837,8.6760,6.1324,1,1
1108,3.983957,2,6000.0000,-1000.0000,90.0000,19.7841,8.6774,6.1324,1,1
1109,3.996753,2,6000.0000,-1000.0000,90.0000,19.7845,8.6787,6.1324,1,1
1110,4.009223,2,6000.0000,-1000.0000,90.0000,19.7848,8.6772,6.1324,1,1
1111,4.021214,3,6000.0000,-1000.0000,90.0000,19.7851,8.6749,6.1324,1,1
1112,4.033581,3,6000.3671,-1000.0000,90.0000,19.7602,8.6474,6.1324,1,1
1113,4.045889,3,6001.0959,-1000.0000,90.0000,19.6914,8.5448,6.1324,1,1
1114,4.058462,3,6002.2198,-1000.0000,90.0000,19.5554,8.2543,6.1324,1,1
1115,4.070965,3,6003.7128,-1000.0000,90.0000,19.3675,7.6791,6.1324,1,1
1116,4.083148,3,6005.5237,-1000.0000,90.0000,19.1347,6.7522,6.1324,1,1
1117,4.095206,3,6007.6648,-1000.0000,90.0000,18.8830,5.4061,6.1324,1,1
1118,4.108358,3,6010.4157,-1000.0000,90.0000,18.5948,3.3527,6.1324,1,1
1119,4.120759,3,6013.3783,-1000.0000,90.0000,18.3346,0.8254,6.1324,1,1
1120,4.133006,3,6016.6641,-1000.0000,90.0000,18.1220,-2.2098,6.1324,1,1
1121,4.145446,3,6020.3731,-1000.0000,90.0000,17.8870,-5.9051,6.1324,1,1
1122,4.157902,3,6024.4596,-1000.0000,90.0000,17.6448,-10.1327,6.1324,1,1
