frame,time,phase,age,camera_pitch,barrel_pitch,sample_pitch,aim_weight,jump_weight,x,y,z,foot_x,foot_y,foot_z
1070,3.006719,2,0.000000,-0.000000,-11.820955,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.780090,8.691349,6.132371
1071,3.019433,2,0.012714,0.000000,-11.828899,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.779526,8.687194,6.132371
1072,3.032245,2,0.025525,0.000000,-11.836900,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.778969,8.683009,6.132371
1073,3.044000,2,0.037280,0.000000,-11.845267,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.778326,8.679425,6.132371
1074,3.056812,2,0.050092,0.000000,-11.854499,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.777614,8.675539,6.132371
1075,3.068984,2,0.062265,0.000000,-11.864278,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.776599,8.673228,6.132371
1076,3.081027,2,0.074308,0.000000,-11.878204,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.774183,8.676756,6.132371
1077,3.093625,2,0.086905,0.000000,-11.892769,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.771648,8.680441,6.132371
1078,3.106229,2,0.099509,0.000000,-11.907392,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.771994,8.682743,6.132371
1079,3.119158,2,0.112439,0.000000,-11.922444,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.775373,8.683647,6.132371
1080,3.132115,2,0.125396,0.000000,-11.937530,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.778752,8.684551,6.132371
1081,3.144200,2,0.137481,0.000000,-11.952925,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.778475,8.684418,6.132371
1082,3.156861,2,0.150142,0.000000,-11.969212,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.777782,8.684166,6.132371
