frame,time,phase,x,y,z,foot_x,foot_y,foot_z,visible,tick
991,3.014971,2,6000.0000,-1000.0000,90.0000,19.7797,8.6887,7.6990,1,1
992,3.027546,2,6000.0000,-1000.0000,90.0000,19.7792,8.6845,7.6972,1,1
993,3.427546,2,6000.0000,-1000.0000,90.0000,19.7566,8.6674,7.6901,1,1
994,3.434806,2,6000.0000,-1000.0000,90.0000,19.7538,8.6690,7.6895,1,1
995,3.437882,2,6000.0000,-1000.0000,90.0000,19.7536,8.6699,7.6893,1,1
996,3.447067,2,6000.0000,-1000.0000,90.0000,19.7529,8.6726,7.6889,1,1
997,3.460236,2,6000.0000,-1000.0000,90.0000,19.7521,8.6764,7.6883,1,1
998,3.472900,2,6000.0000,-1000.0000,90.0000,19.7532,8.6790,7.6883,1,1
999,3.486145,2,6000.0000,-1000.0000,90.0000,19.7567,8.6806,7.6889,1,1
1000,3.499224,2,6000.0000,-1000.0000,90.0000,19.7601,8.6821,7.6895,1,1
1001,3.511728,2,6000.0000,-1000.0000,90.0000,19.7639,8.6788,7.6910,1,1
1002,3.524637,2,6000.0000,-1000.0000,90.0000,19.7679,8.6750,7.6926,1,1
1003,3.538084,2,6000.0000,-1000.0000,90.0000,19.7704,8.6717,7.6943,1,1
1004,3.550518,2,6000.0000,-1000.0000,90.0000,19.7701,8.6698,7.6959,1,1
1005,3.563133,2,6000.0000,-1000.0000,90.0000,19.7697,8.6680,7.6975,1,1
1006,3.576194,2,6000.0000,-1000.0000,90.0000,19.7723,8.6691,7.6987,1,1
1007,3.588876,2,6000.0000,-1000.0000,90.0000,19.7759,8.6713,7.6998,1,1
1008,3.601759,2,6000.0000,-1000.0000,90.0000,19.7794,8.6734,7.7008,1,1
1009,3.614782,2,6000.0000,-1000.0000,90.0000,19.7823,8.6756,7.7018,1,1
1010,3.628172,2,6000.0000,-1000.0000,90.0000,19.7852,8.6778,7.7029,1,1
1011,3.640701,2,6000.0000,-1000.0000,90.0000,19.7882,8.6780,7.7045,1,1
1012,3.652990,2,6000.0000,-1000.0000,90.0000,19.7914,8.6767,7.7064,1,1
1013,3.666053,2,6000.0000,-1000.0000,90.0000,19.7948,8.6754,7.7085,1,1
1014,3.679241,2,6000.0000,-1000.0000,90.0000,19.7944,8.6736,7.7098,1,1
1015,3.693273,2,6000.0000,-1000.0000,90.0000,19.7937,8.6717,7.7112,1,1
1016,3.706770,2,6000.0000,-1000.0000,90.0000,19.7918,8.6708,7.7116,1,1
1017,3.720323,2,6000.0000,-1000.0000,90.0000,19.7885,8.6708,7.7112,1,1
1018,3.734383,2,6000.0000,-1000.0000,90.0000,19.7856,8.6707,7.7108,1,1
1019,3.748226,2,6000.0000,-1000.0000,90.0000,19.7893,8.6702,7.7102,1,1
1020,3.761699,2,6000.0000,-1000.0000,90.0000,19.7928,8.6696,7.7097,1,1
1021,3.775618,2,6000.0000,-1000.0000,90.0000,19.7959,8.6679,7.7092,1,1
1022,3.788964,2,6000.0000,-1000.0000,90.0000,19.7985,8.6657,7.7088,1,1
1023,3.802976,2,6000.0000,-1000.0000,90.0000,19.8007,8.6643,7.7086,1,1
1024,3.817357,2,6000.0000,-1000.0000,90.0000,19.8014,8.6664,7.7093,1,1
1025,3.831963,2,6000.0000,-1000.0000,90.0000,19.8021,8.6686,7.7099,1,1
1026,3.847097,2,6000.0000,-1000.0000,90.0000,19.8024,8.6690,7.7098,1,1
1027,3.862798,2,6000.0000,-1000.0000,90.0000,19.8027,8.6692,7.7096,1,1
1028,3.877409,2,6000.0000,-1000.0000,90.0000,19.7999,8.6706,7.7082,1,1
1029,3.891397,2,6000.0000,-1000.0000,90.0000,19.7962,8.6724,7.7064,1,1
1030,3.906240,2,6000.0000,-1000.0000,90.0000,19.7933,8.6743,7.7050,1,1
1031,3.920274,2,6000.0000,-1000.0000,90.0000,19.7920,8.6762,7.7045,1,1
1032,3.935335,2,6000.0000,-1000.0000,90.0000,19.7903,8.6779,7.7039,1,1
1033,3.951003,2,6000.0000,-1000.0000,90.0000,19.7870,8.6768,7.7028,1,1
1034,3.966323,2,6000.0000,-1000.0000,90.0000,19.7837,8.6757,7.7018,1,1
1035,3.981063,2,6000.0000,-1000.0000,90.0000,19.7840,8.6771,7.7000,1,1
1036,3.994307,2,6000.0000,-1000.0000,90.0000,19.7844,8.6785,7.6984,1,1
1037,4.009101,2,6000.0000,-1000.0000,90.0000,19.7848,8.6773,7.6971,1,1
1038,4.022392,3,6000.0000,-1000.0000,90.0000,19.7851,8.6747,7.6962,1,1
1039,4.035747,3,6000.4281,-1000.0000,90.0000,19.7532,8.6401,7.6760,1,1
1040,4.048139,3,6001.1938,-1000.0000,90.0000,19.6784,8.5188,7.6253,1,1
1041,4.062984,3,6002.6401,-1000.0000,90.0000,19.4908,8.0957,7.5054,1,1
1042,4.075365,3,6004.2141,-1000.0000,90.0000,19.2865,7.4097,7.3488,1,1
1043,4.088101,3,6006.2226,-1000.0000,90.0000,19.0297,6.2904,7.1427,1,1
1044,4.102654,3,6009.0259,-1000.0000,90.0000,18.7117,4.3538,6.8652,1,1
1045,4.116513,3,6012.1567,-1000.0000,90.0000,18.3872,1.7780,6.6096,1,1
1046,4.127078,3,6014.8110,-1000.0000,90.0000,18.2019,-0.6189,6.4630,1,1
1047,4.138204,3,6017.9035,-1000.0000,90.0000,18.0035,-3.5656,6.3717,1,1
