component,mesh,nanite_data,nanite_proxy
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaStreamingCharacter_0.BodyMesh","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaStreamingCharacter_0.WeaponMesh","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaStreamingCharacter_0.CameraProxyMeshComponent_0","/Engine/EditorMeshes/MatineeCam_SM.MatineeCam_SM",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaStreamingCharacter_0.TorsoInsignia_-1_0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaStreamingCharacter_0.TorsoInsignia_1_0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaStreamingCharacter_0.RoleHead","/Engine/BasicShapes/Sphere.Sphere",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaStreamingCharacter_0.LeftBoot","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaStreamingCharacter_0.RightBoot","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaStreamingCharacter_0.RoleBandA","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaInfected_0.BodyMesh","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaInfected_0.TorsoInsignia_-1_0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaInfected_0.TorsoInsignia_-1_1","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaInfected_0.TorsoInsignia_1_0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaInfected_0.TorsoInsignia_1_1","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaInfected_0.RoleHead","/Engine/BasicShapes/Sphere.Sphere",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaInfected_0.LeftBoot","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaInfected_0.RightBoot","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaInfected_0.RoleCrossA","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaInfected_0.RoleCrossB","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaInfected_1.BodyMesh","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaInfected_1.TorsoInsignia_-1_0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaInfected_1.TorsoInsignia_-1_1","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaInfected_1.TorsoInsignia_1_0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaInfected_1.TorsoInsignia_1_1","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaInfected_1.RoleHead","/Engine/BasicShapes/Sphere.Sphere",0,0
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.BiellaInfected_1.LeftBoot","/Engine/BasicShapes/Cube.Cube",0,0
