name,frame,sim_time,yaw
static_000,745,7.043033,0.000000
static_001,747,7.225029,0.000000
static_002,749,7.393731,0.000000
static_003,751,7.560145,0.000000
static_004,753,7.733472,0.000000
static_005,755,7.900026,0.000000
static_006,757,8.072473,0.000000
static_007,759,8.255612,0.000000
static_008,761,8.444423,0.000000
static_009,763,8.637586,0.000000
pan_000,1202,14.669144,-24.786038
pan_001,1204,14.856663,-22.442061
pan_002,1206,15.044253,-20.097184
pan_003,1208,15.231968,-17.750737
pan_004,1210,15.418721,-15.416326
pan_005,1212,15.633113,-12.736426
pan_006,1214,15.807976,-10.550642
pan_007,1216,15.986234,-8.322420
pan_008,1218,16.165133,-6.086174
pan_009,1220,16.367867,-3.551999
pan_010,1222,16.550801,-1.265336
pan_011,1224,16.728956,0.961605
pan_012,1226,16.906134,3.176337
pan_013,1228,17.072368,5.254253
pan_014,1230,17.275047,7.787750
pan_015,1232,17.477939,10.323893
pan_016,1234,17.654303,12.528448
pan_017,1236,17.854250,15.027779
pan_018,1238,18.054669,17.533020
pan_019,1240,18.224936,19.661358
pan_020,1242,18.397230,21.815032
pan_021,1244,18.577006,24.062235
pan_022,1246,18.786290,25.000000
pan_023,1248,18.968653,25.000000
pan_024,1250,19.181340,25.000000
pan_025,1252,19.361409,25.000000
pan_026,1254,19.541081,25.000000
pan_027,1256,19.713359,25.000000
pan_028,1258,19.922326,25.000000
pan_029,1260,20.087578,25.000000
pan_030,1262,20.257951,25.000000
pan_031,1264,20.435375,25.000000
walk_end,1407,22.454552,0.000000
