render_tick,elapsed_seconds,file_cache,automatic
0,0.029489310,0,1065
1,0.511765803,0,5477
2,0.519221478,0,5477
3,0.535313532,0,5477
4,0.552070122,0,5465
5,0.580564330,0,5464
6,0.593893833,0,5464
7,0.612878912,0,5464
8,0.629738114,0,5455
9,0.649740865,0,5446
10,0.666950094,0,5442
11,0.685919512,0,5433
12,0.703893758,0,5415
13,0.724406461,0,5405
14,0.741972198,0,5395
15,0.760992417,0,5392
16,0.776955009,0,5380
17,0.794107407,0,5380
18,0.813027044,0,5370
19,0.829997429,0,5363
20,0.849003688,0,5339
21,0.866868352,0,5319
22,0.885392960,0,5311
23,0.902582329,0,5304
24,0.918937009,0,5303
25,0.935948465,0,5303
26,0.954879582,0,5290
27,0.970806773,0,5290
28,0.987870779,0,5290
29,1.005890327,0,5290
30,1.025148051,0,5281
31,1.042867312,0,5269
32,1.059860617,0,5257
33,1.078075538,0,5251
34,1.097007695,0,5242
35,1.116049515,0,5227
36,1.134058432,0,5227
37,1.151017776,0,5215
38,1.169672638,0,5188
39,1.190241381,0,5173
40,1.207205055,0,5168
41,1.224647880,0,5157
42,1.240844697,0,5152
43,1.257770990,0,5139
44,1.274751224,0,5139
45,1.291602646,0,5133
46,1.308077309,0,5127
47,1.323886607,0,5119
48,1.341886104,0,5015
49,1.360112226,0,4987
50,1.377969270,0,4984
51,1.396145500,0,4967
52,1.412728926,0,4944
53,1.429975566,0,4941
54,1.446927510,0,4913
55,1.465995520,0,4913
56,1.482950364,0,4895
57,1.500930091,0,4895
58,1.517993487,0,4817
59,1.537887386,0,4806
60,1.553889138,0,4787
61,1.571900195,0,4772
62,1.590927445,0,4754
63,1.608649836,0,4734
64,1.624842373,0,4722
65,1.643828441,0,4706
66,1.661837038,0,4682
67,1.677844351,0,4666
68,1.694884497,0,4654
69,1.712912134,0,4634
70,1.733107079,0,4611
71,1.753091360,0,4590
72,1.768986010,0,4561
73,1.786767833,0,4533
74,1.803901760,0,4503
75,1.821182361,0,4489
76,1.837963501,0,4467
77,1.854945626,0,4441
78,1.870882037,0,4429
