frame,view,aa,requested_aa,screen_percentage,temporal_upsampling,dynamic_res,gi,reflections,vsm,nanite,ray_tracing,tsr_supported,external_upscaler,width,height,feature_sm6,nanite_supported,nanite_enabled,vsm_enabled,lumen_supported
16856,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16857,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16858,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16859,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16860,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16861,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16862,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16863,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16864,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16865,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16866,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16867,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16868,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16869,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16870,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16871,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16872,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16873,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16874,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16875,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16876,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16877,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16878,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16879,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16880,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16881,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16882,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16883,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16884,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16885,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16886,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16887,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16888,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16889,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16890,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16891,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16892,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16893,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16894,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16895,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16896,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16897,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16898,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16899,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16900,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16901,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16902,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16903,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16904,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16905,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16906,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16907,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16908,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16909,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16910,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16911,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16912,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16913,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16914,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16915,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
16916,0,4,4,100.00,1,0,1,1,1,1,0,1,0,1280,720,1,1,1,1,1
