name,frame,sim_time,yaw
static_000,992,7.041285,0.000000
static_001,994,7.208529,0.000000
static_002,996,7.368562,0.000000
static_003,998,7.529022,0.000000
static_004,1000,7.692123,0.000000
static_005,1002,7.853169,0.000000
static_006,1004,8.013330,0.000000
static_007,1006,8.173948,0.000000
static_008,1008,8.337698,0.000000
static_009,1010,8.497380,0.000000
pan_000,1545,14.527436,-24.898228
pan_001,1547,14.702917,-22.704727
pan_002,1549,14.858859,-20.755447
pan_003,1551,15.011373,-18.849020
pan_004,1553,15.198063,-16.515397
pan_005,1555,15.353574,-14.571507
pan_006,1557,15.532462,-12.335409
pan_007,1559,15.712301,-10.087417
pan_008,1561,15.867519,-8.147197
pan_009,1563,16.049803,-5.868645
pan_010,1565,16.210306,-3.862354
pan_011,1567,16.401103,-1.477392
pan_012,1569,16.565333,0.575481
pan_013,1571,16.759244,2.999365
pan_014,1573,16.921336,5.025513
pan_015,1575,17.106608,7.341416
pan_016,1577,17.269238,9.374290
pan_017,1579,17.432750,11.418186
pan_018,1581,17.597826,13.481638
pan_019,1583,17.789806,15.881396
pan_020,1585,17.951590,17.903686
pan_021,1587,18.114987,19.946155
pan_022,1589,18.277167,21.973407
pan_023,1591,18.437191,23.973699
pan_024,1593,18.628489,25.000000
pan_025,1595,18.784662,25.000000
pan_026,1597,18.942514,25.000000
pan_027,1599,19.104863,25.000000
pan_028,1601,19.269492,25.000000
pan_029,1603,19.430968,25.000000
pan_030,1605,19.591687,25.000000
pan_031,1607,19.784551,25.000000
walk_end,1770,21.798685,0.000000
