name,frame,sim_time,yaw
static_000,1332,7.023661,0.000000
static_001,1334,7.435691,0.000000
static_002,1336,7.607352,0.000000
static_003,1338,7.765240,0.000000
static_004,1340,7.921224,0.000000
static_005,1342,8.076776,0.000000
static_006,1344,8.231836,0.000000
static_007,1346,8.391689,0.000000
static_008,1348,8.552044,0.000000
static_009,1350,8.710804,0.000000
pan_000,1837,14.744120,-24.825188
pan_001,1839,14.949190,-22.261809
pan_002,1841,15.104555,-20.319754
pan_003,1843,15.261367,-18.359602
pan_004,1845,15.419030,-16.388816
pan_005,1847,15.577070,-14.413311
pan_006,1849,15.734980,-12.439442
pan_007,1851,15.891589,-10.481825
pan_008,1853,16.045414,-8.559018
pan_009,1855,16.201936,-6.602487
pan_010,1857,16.358725,-4.642628
pan_011,1859,16.516853,-2.666030
pan_012,1861,16.672119,-0.725196
pan_013,1863,16.832929,1.284920
pan_014,1865,16.986968,3.210415
pan_015,1867,17.146929,5.209923
pan_016,1869,17.303010,7.160936
pan_017,1871,17.448862,8.984089
pan_018,1873,17.601074,10.886736
pan_019,1875,17.757818,12.846041
pan_020,1877,17.910934,14.759982
pan_021,1879,18.060948,16.635158
pan_022,1881,18.213438,18.541282
pan_023,1883,18.368495,20.479503
pan_024,1885,18.522641,22.406324
pan_025,1887,18.674111,24.299697
pan_026,1889,18.824423,25.000000
pan_027,1891,18.978587,25.000000
pan_028,1893,19.131488,25.000000
pan_029,1895,19.285637,25.000000
pan_030,1897,19.470183,25.000000
pan_031,1899,19.624985,25.000000
walk_end,2063,21.629433,0.000000
