frame,time,phase,x,y,z,foot_x,foot_y,foot_z,visible,tick
936,3.014468,2,6000.0000,-1000.0000,90.0000,19.7797,8.6888,6.1324,1,1
937,3.028490,2,6000.0000,-1000.0000,90.0000,19.7791,8.6842,6.1324,1,1
938,3.428490,2,6000.0000,-1000.0000,90.0000,19.7562,8.6676,7.6900,1,1
939,3.436836,2,6000.0000,-1000.0000,90.0000,19.7536,8.6696,7.5854,1,1
940,3.441301,2,6000.0000,-1000.0000,90.0000,19.7533,8.6709,7.5296,1,1
941,3.452678,2,6000.0000,-1000.0000,90.0000,19.7526,8.6742,7.3875,1,1
942,3.465696,2,6000.0000,-1000.0000,90.0000,19.7517,8.6780,7.2250,1,1
943,3.478443,2,6000.0000,-1000.0000,90.0000,19.7547,8.6797,7.0667,1,1
944,3.491936,2,6000.0000,-1000.0000,90.0000,19.7582,8.6813,6.8990,1,1
945,3.505810,2,6000.0000,-1000.0000,90.0000,19.7621,8.6805,6.7266,1,1
946,3.518436,2,6000.0000,-1000.0000,90.0000,19.7660,8.6768,6.5697,1,1
947,3.532355,2,6000.0000,-1000.0000,90.0000,19.7703,8.6727,6.3963,1,1
948,3.545649,2,6000.0000,-1000.0000,90.0000,19.7702,8.6706,6.2304,1,1
949,3.559966,2,6000.0000,-1000.0000,90.0000,19.7698,8.6685,6.1324,1,1
950,3.573155,2,6000.0000,-1000.0000,90.0000,19.7714,8.6686,6.1324,1,1
951,3.586897,2,6000.0000,-1000.0000,90.0000,19.7753,8.6709,6.1324,1,1
952,3.600897,2,6000.0000,-1000.0000,90.0000,19.7792,8.6733,6.1324,1,1
953,3.614350,2,6000.0000,-1000.0000,90.0000,19.7822,8.6755,6.1324,1,1
954,3.627708,2,6000.0000,-1000.0000,90.0000,19.7851,8.6778,6.1324,1,1
955,3.641543,2,6000.0000,-1000.0000,90.0000,19.7885,8.6779,6.1324,1,1
956,3.654894,2,6000.0000,-1000.0000,90.0000,19.7919,8.6765,6.1324,1,1
957,3.668016,2,6000.0000,-1000.0000,90.0000,19.7949,8.6752,6.1324,1,1
958,3.681618,2,6000.0000,-1000.0000,90.0000,19.7943,8.6733,6.1324,1,1
959,3.695004,2,6000.0000,-1000.0000,90.0000,19.7937,8.6715,6.1324,1,1
960,3.709664,2,6000.0000,-1000.0000,90.0000,19.7911,8.6708,6.1324,1,1
961,3.723418,2,6000.0000,-1000.0000,90.0000,19.7877,8.6708,6.1324,1,1
962,3.737313,2,6000.0000,-1000.0000,90.0000,19.7864,8.6706,6.1324,1,1
963,3.750874,2,6000.0000,-1000.0000,90.0000,19.7900,8.6700,6.1324,1,1
964,3.764416,2,6000.0000,-1000.0000,90.0000,19.7935,8.6695,6.1324,1,1
965,3.778419,2,6000.0000,-1000.0000,90.0000,19.7964,8.6674,6.1324,1,1
966,3.791958,2,6000.0000,-1000.0000,90.0000,19.7990,8.6652,6.1324,1,1
967,3.805439,2,6000.0000,-1000.0000,90.0000,19.8009,8.6647,6.1324,1,1
968,3.818861,2,6000.0000,-1000.0000,90.0000,19.8015,8.6666,6.1324,1,1
969,3.831650,2,6000.0000,-1000.0000,90.0000,19.8020,8.6685,6.1324,1,1
970,3.845251,2,6000.0000,-1000.0000,90.0000,19.8023,8.6689,6.1324,1,1
971,3.858653,2,6000.0000,-1000.0000,90.0000,19.8026,8.6692,6.1324,1,1
972,3.871689,2,6000.0000,-1000.0000,90.0000,19.8014,8.6699,6.1324,1,1
973,3.884666,2,6000.0000,-1000.0000,90.0000,19.7980,8.6716,6.1324,1,1
974,3.897821,2,6000.0000,-1000.0000,90.0000,19.7945,8.6732,6.1324,1,1
975,3.911396,2,6000.0000,-1000.0000,90.0000,19.7928,8.6750,6.1324,1,1
976,3.924969,2,6000.0000,-1000.0000,90.0000,19.7915,8.6769,6.1324,1,1
977,3.939000,2,6000.0000,-1000.0000,90.0000,19.7895,8.6776,6.1324,1,1
978,3.953229,2,6000.0000,-1000.0000,90.0000,19.7865,8.6766,6.1324,1,1
979,3.967483,2,6000.0000,-1000.0000,90.0000,19.7836,8.6758,6.1324,1,1
980,3.981231,2,6000.0000,-1000.0000,90.0000,19.7840,8.6772,6.1324,1,1
981,3.995297,2,6000.0000,-1000.0000,90.0000,19.7844,8.6786,6.1324,1,1
982,4.009620,2,6000.0000,-1000.0000,90.0000,19.7848,8.6772,6.1324,1,1
983,4.024180,3,6000.0000,-1000.0000,90.0000,19.7852,8.6744,6.1324,1,1
984,4.038297,3,6000.4783,-1000.0000,90.0000,19.7469,8.6331,6.1324,1,1
985,4.052827,3,6001.4773,-1000.0000,90.0000,19.6390,8.4415,6.1324,1,1
986,4.067160,3,6002.9558,-1000.0000,90.0000,19.4404,7.9507,6.1324,1,1
987,4.081103,3,6004.8606,-1000.0000,90.0000,19.1867,7.0380,6.1324,1,1
988,4.095435,3,6007.3116,-1000.0000,90.0000,18.8768,5.5213,6.1324,1,1
989,4.111580,3,6010.6981,-1000.0000,90.0000,18.5008,2.9248,6.1324,1,1
990,4.125858,3,6014.1825,-1000.0000,90.0000,18.1940,-0.1792,6.1324,1,1
991,4.139705,3,6018.0216,-1000.0000,90.0000,17.9255,-3.8874,6.1324,1,1
992,4.153412,3,6022.2729,-1000.0000,90.0000,17.6124,-8.2911,6.1324,1,1
993,4.167358,3,6027.0654,-1000.0000,90.0000,17.3182,-13.3339,6.1324,1,1
994,4.180806,3,6032.1204,-1000.0000,90.0000,16.7938,-18.8302,6.1324,1,1
995,4.194260,3,6037.6122,-1000.0000,90.0000,16.0050,-24.6700,6.1324,1,1
996,4.207382,3,6043.3820,-1000.0000,90.0000,15.0409,-30.4545,7.2210,1,1
997,4.220973,3,6049.8007,-1000.0000,90.0000,13.8534,-36.2159,9.1541,1,1
998,4.233956,3,6056.3375,-1000.0000,90.0000,12.5628,-40.6074,11.7142,1,1
999,4.246884,3,6063.0597,-1000.0000,90.0000,11.4626,-44.0079,14.5135,1,1
1000,4.259910,3,6069.8334,-1000.0000,90.0000,10.5080,-45.8539,17.4222,1,1
1001,4.272774,3,6076.5228,-1000.0000,90.0000,9.7569,-46.1732,20.1849,1,1
1002,4.285696,3,6083.2422,-1000.0000,90.0000,9.1518,-45.2361,21.9597,1,1
1003,4.298633,3,6089.9693,-1000.0000,90.0000,8.7477,-42.7580,23.0349,1,1
1004,4.312502,3,6097.1811,-1000.0000,90.0000,8.3299,-39.3437,23.5767,1,1
1005,4.325887,3,6104.1412,-1000.0000,90.0000,7.8167,-35.1931,23.5513,1,1
1006,4.340066,3,6111.5143,-1000.0000,90.0000,6.8019,-28.7105,21.8594,1,1
1007,4.353189,3,6118.3383,-1000.0000,90.0000,5.9630,-21.6714,20.0092,1,1
1008,4.366253,3,6125.1316,-1000.0000,90.0000,5.2828,-14.8608,17.7220,1,1
1009,4.379629,3,6132.0872,-1000.0000,90.0000,4.7994,-6.8032,14.6748,1,1
1010,4.391919,3,6138.4779,-1000.0000,90.0000,4.4905,1.2438,12.6279,1,1
1011,4.404215,3,6144.8720,-1000.0000,90.0000,4.3918,8.8752,10.2152,1,1
1012,4.416581,3,6151.3026,-1000.0000,90.0000,4.3762,16.9124,8.9615,1,1
1013,4.429562,3,6158.0525,-1000.0000,90.0000,4.5256,23.8588,8.7978,1,1
1014,4.442575,3,6164.8194,-1000.0000,90.0000,4.6118,27.9792,8.8796,1,1
1015,4.456011,3,6171.8060,-1000.0000,90.0000,4.6941,31.7365,9.1924,1,1
1016,4.469955,3,6179.0569,-1000.0000,90.0000,4.6168,31.3165,8.6590,1,1
1017,4.483001,3,6185.8405,-1000.0000,90.0000,4.3908,30.1928,7.9320,1,1
1018,4.497799,3,6193.5359,-1000.0000,90.0000,4.0620,27.4552,6.5532,1,1
1019,4.510955,3,6200.3768,-1000.0000,90.0000,3.7977,23.4575,6.1324,1,1
1020,4.523900,3,6207.1080,-1000.0000,90.0000,3.1181,18.9541,6.1324,1,1
1021,4.536554,3,6213.6882,-1000.0000,90.0000,2.5752,12.7014,6.1324,1,1
1022,4.548538,3,6219.9200,-1000.0000,90.0000,2.1072,6.5756,6.1324,1,1
1023,4.561189,3,6226.4986,-1000.0000,90.0000,2.1472,-0.0572,6.1324,1,1
1024,4.574244,3,6233.2871,-1000.0000,90.0000,2.4060,-6.8940,6.1324,1,1
1025,4.586913,3,6239.8750,-1000.0000,90.0000,2.6448,-13.7065,6.1324,1,1
1026,4.598876,3,6246.0959,-1000.0000,90.0000,2.7187,-19.3320,6.1324,1,1
1027,4.613064,3,6253.4735,-1000.0000,90.0000,2.9346,-25.5421,6.5861,1,1
1028,4.626673,3,6260.5502,-1000.0000,90.0000,3.4234,-31.4878,8.6053,1,1
1029,4.640735,3,6267.8622,-1000.0000,90.0000,3.7350,-37.1609,11.5449,1,1
1030,4.653988,3,6274.7539,-1000.0000,90.0000,4.4453,-42.2837,14.8385,1,1
1031,4.667648,3,6281.8570,-1000.0000,90.0000,4.3993,-48.1490,18.4853,1,1
1032,4.680945,3,6288.7714,-1000.0000,90.0000,4.0959,-53.9522,22.5369,1,1
1033,4.694558,3,6295.8505,-1000.0000,90.0000,3.9324,-58.3203,24.7553,1,1
1034,4.708277,3,6302.9840,-1000.0000,90.0000,3.5649,-58.7562,28.3191,1,1
1035,4.721732,3,6309.9811,-1000.0000,90.0000,3.1594,-58.6395,31.8961,1,1
1036,4.735187,3,6316.9773,-1000.0000,90.0000,2.9620,-57.1240,33.8265,1,1
1037,4.749284,3,6324.3077,-1000.0000,90.0000,2.9297,-54.9453,36.0178,1,1
1038,4.763421,3,6331.6590,-1000.0000,90.0000,3.3795,-51.9215,37.4040,1,1
1039,4.777514,3,6338.9873,-1000.0000,90.0000,3.9725,-47.5207,37.4169,1,1
1040,4.790808,3,6345.9002,-1000.0000,90.0000,4.2850,-42.9784,37.4234,1,1
1041,4.804380,3,6352.9577,-1000.0000,90.0000,4.7112,-37.8829,34.6363,1,1
1042,4.819400,3,6360.7680,-1000.0000,90.0000,4.9961,-31.5835,31.8092,1,1
1043,4.833257,3,6367.9736,-1000.0000,90.0000,4.8739,-26.1912,28.7413,1,1
1044,4.847892,3,6375.5841,-1000.0000,90.0000,4.8509,-19.8824,24.9708,1,1
1045,4.861896,3,6382.8659,-1000.0000,90.0000,4.8528,-13.2824,22.1532,1,1
1046,4.876264,3,6390.3375,-1000.0000,90.0000,4.5785,-6.3169,20.6707,1,1
1047,4.891152,3,6398.0793,-1000.0000,90.0000,4.6047,2.3877,17.5655,1,1
1048,4.906103,3,6405.8535,-1000.0000,90.0000,4.2805,9.3708,15.1286,1,1
1049,4.920668,3,6413.4277,-1000.0000,90.0000,4.3698,16.6509,13.7137,1,1
1050,4.935099,3,6420.9318,-1000.0000,90.0000,4.1143,22.2047,12.2065,1,1
1051,4.949802,3,6428.5770,-1000.0000,90.0000,4.2266,27.1039,11.2707,1,1
1052,4.964886,3,6436.4210,-1000.0000,90.0000,5.0731,28.8877,10.4356,1,1
1053,4.978931,3,6443.7245,-1000.0000,90.0000,5.9119,27.3271,9.0119,1,1
1054,4.992857,3,6450.9660,-1000.0000,90.0000,6.4367,25.0714,7.5713,1,1
1055,5.006494,3,6458.0569,-1000.0000,90.0000,6.0271,19.0314,6.1324,1,1
1056,5.020942,3,6465.5698,-1000.0000,90.0000,5.0386,12.3347,6.1324,1,1
1057,5.034854,3,6472.8042,-1000.0000,90.0000,3.6564,5.5408,6.1324,1,1
1058,5.048561,3,6479.9318,-1000.0000,90.0000,3.0481,-1.3619,6.1324,1,1
1059,5.062165,3,6487.0062,-1000.0000,90.0000,2.9281,-8.1875,6.1324,1,1
1060,5.075085,3,6493.7243,-1000.0000,90.0000,3.0796,-14.7061,6.1324,1,1
1061,5.088546,3,6500.7242,-1000.0000,90.0000,3.3818,-21.4947,6.1324,1,1
1062,5.101932,3,6507.6849,-1000.0000,90.0000,3.2878,-27.3455,6.1324,1,1
1063,5.115268,3,6514.6196,-1000.0000,90.0000,3.5583,-33.2185,6.1324,1,1
1064,5.128156,3,6521.3212,-1000.0000,90.0000,4.0501,-38.5777,7.4471,1,1
1065,5.142022,3,6528.5316,-1000.0000,90.0000,4.4970,-43.4439,9.2640,1,1
1066,5.155811,3,6535.7022,-1000.0000,90.0000,5.2388,-48.1255,11.6885,1,1
1067,5.169882,3,6543.0186,-1000.0000,90.0000,5.3195,-52.2830,15.2294,1,1
1068,5.183205,3,6549.9467,-1000.0000,90.0000,5.5124,-55.8990,18.8388,1,1
1069,5.197066,3,6557.1544,-1000.0000,90.0000,5.6322,-58.6518,22.8308,1,1
1070,5.210576,3,6564.1795,-1000.0000,90.0000,5.2825,-60.0941,25.1046,1,1
1071,5.223622,3,6570.9635,-1000.0000,90.0000,4.9622,-61.0580,28.6613,1,1
1072,5.236433,3,6577.6253,-1000.0000,90.0000,4.6393,-60.4981,30.7400,1,1
1073,5.249288,3,6584.3099,-1000.0000,90.0000,4.4407,-59.4945,32.8722,1,1
1074,5.262835,3,6591.3546,-1000.0000,90.0000,4.3941,-57.6661,34.5394,1,1
1075,5.276450,3,6598.4343,-1000.0000,90.0000,4.6458,-54.8484,35.8920,1,1
1076,5.290723,3,6605.8559,-1000.0000,90.0000,4.8256,-51.2569,37.3644,1,1
1077,5.305261,3,6613.4161,-1000.0000,90.0000,5.6030,-46.3977,35.9336,1,1
1078,5.319133,3,6620.6291,-1000.0000,90.0000,6.1307,-41.3922,34.5738,1,1
