frame,time,phase,age,actor_x,actor_y,actor_z,left_x,left_y,left_z,right_x,right_y,right_z,pelvis_z,left_weight,right_weight,max_contact_error
824,0.007608,1,0.000000,-1000.0000,-900.0000,1088.0000,-989.5355,-919.5183,1008.0561,-1018.8844,-890.1382,1007.7374,1089.1007,0.0000,0.0000,0.2303
825,0.112705,1,0.105098,-1000.0000,-900.0000,1088.0000,-989.5355,-919.5183,1008.0561,-1018.8844,-890.1382,1007.7374,1089.1007,0.0000,0.0000,0.2303
826,0.197152,1,0.189545,-1000.0000,-900.0000,1088.0000,-991.8147,-918.8835,1007.1690,-1021.2572,-895.3096,1007.1387,1088.4320,0.0000,0.0000,0.6876
827,0.210542,1,0.202935,-1000.0000,-900.0000,1088.0000,-991.8115,-918.8889,1007.1698,-1021.2582,-895.3109,1007.1394,1088.4330,0.0000,0.0000,0.6869
828,0.225233,1,0.217625,-1000.0000,-900.0000,1088.0000,-991.8106,-918.8906,1007.1703,-1021.2592,-895.3094,1007.1403,1088.4342,0.0000,0.0000,0.6860
829,0.239729,1,0.232122,-1000.0000,-900.0000,1088.0000,-991.8102,-918.8915,1007.1707,-1021.2602,-895.3074,1007.1413,1088.4354,0.0000,0.0000,0.6850
830,0.254163,1,0.246556,-1000.0000,-900.0000,1088.0000,-991.8102,-918.8914,1007.1710,-1021.2623,-895.3071,1007.1419,1088.4361,0.0000,0.0000,0.6844
831,0.268952,1,0.261344,-1000.0000,-900.0000,1088.0000,-991.8106,-918.8904,1007.1711,-1021.2653,-895.3082,1007.1423,1088.4363,0.0000,0.0000,0.6840
832,0.281911,1,0.274303,-1000.0000,-900.0000,1088.0000,-991.8108,-918.8894,1007.1712,-1021.2680,-895.3093,1007.1428,1088.4366,0.0000,0.0000,0.6835
833,0.295670,1,0.288063,-1000.0000,-900.0000,1088.0000,-991.8111,-918.8874,1007.1713,-1021.2712,-895.3113,1007.1441,1088.4369,0.0000,0.0000,0.6822
834,0.309726,1,0.302119,-1000.0000,-900.0000,1088.0000,-991.8113,-918.8853,1007.1713,-1021.2745,-895.3133,1007.1454,1088.4372,0.0000,0.0000,0.6809
835,0.322141,1,0.314534,-1000.0000,-900.0000,1088.0000,-991.8098,-918.8871,1007.1719,-1021.2728,-895.3136,1007.1457,1088.4378,0.0000,0.0000,0.6806
836,0.334751,1,0.327143,-1000.0000,-900.0000,1088.0000,-991.8077,-918.8901,1007.1727,-1021.2697,-895.3134,1007.1458,1088.4386,0.0000,0.0000,0.6805
837,0.348433,1,0.340825,-1000.0000,-900.0000,1088.0000,-991.8058,-918.8926,1007.1733,-1021.2670,-895.3122,1007.1460,1088.4395,0.0000,0.0000,0.6803
838,0.360998,1,0.353391,-1000.0000,-900.0000,1088.0000,-991.8055,-918.8915,1007.1723,-1021.2680,-895.3069,1007.1462,1088.4403,0.0000,0.0000,0.6801
839,0.374264,1,0.366656,-1000.0000,-900.0000,1088.0000,-991.8052,-918.8904,1007.1712,-1021.2689,-895.3014,1007.1465,1088.4412,0.0000,0.0000,0.6798
840,0.385768,1,0.378161,-1000.0000,-900.0000,1088.0000,-991.8069,-918.8888,1007.1706,-1021.2697,-895.2985,1007.1466,1088.4418,0.0000,0.0000,0.6797
841,0.397012,1,0.389404,-1000.0000,-900.0000,1088.0000,-991.8099,-918.8868,1007.1702,-1021.2705,-895.2971,1007.1466,1088.4422,0.0000,0.0000,0.6797
842,0.409778,1,0.402170,-1000.0000,-900.0000,1088.0000,-991.8133,-918.8845,1007.1698,-1021.2714,-895.2955,1007.1466,1088.4428,0.0000,0.0000,0.6797
843,0.422962,1,0.415354,-1000.0000,-900.0000,1088.0000,-991.8118,-918.8864,1007.1703,-1021.2720,-895.2952,1007.1468,1088.4430,0.0000,0.0000,0.6795
844,0.435253,1,0.427645,-1000.0000,-900.0000,1088.0000,-991.8091,-918.8893,1007.1710,-1021.2725,-895.2954,1007.1471,1088.4432,0.0000,0.0000,0.6793
845,0.447319,1,0.439711,-1000.0000,-900.0000,1088.0000,-991.8066,-918.8919,1007.1716,-1021.2730,-895.2957,1007.1475,1088.4433,0.0000,0.0000,0.6789
846,0.460428,1,0.452820,-1000.0000,-900.0000,1088.0000,-991.8057,-918.8924,1007.1718,-1021.2740,-895.2967,1007.1492,1088.4438,0.0000,0.0000,0.6771
847,0.472354,1,0.464747,-1000.0000,-900.0000,1088.0000,-991.8049,-918.8928,1007.1719,-1021.2749,-895.2977,1007.1508,1088.4442,0.0000,0.0000,0.6755
848,0.484648,1,0.477041,-1000.0000,-900.0000,1088.0000,-991.8033,-918.8939,1007.1719,-1021.2756,-895.2976,1007.1516,1088.4443,0.0000,0.0000,0.6747
849,0.496361,1,0.488753,-1000.0000,-900.0000,1088.0000,-991.8008,-918.8959,1007.1717,-1021.2759,-895.2960,1007.1512,1088.4439,0.0000,0.0000,0.6751
850,0.508146,1,0.500539,-1000.0000,-900.0000,1088.0000,-991.7982,-918.8979,1007.1715,-1021.2762,-895.2944,1007.1508,1088.4436,0.0000,0.0000,0.6755
851,0.519630,1,0.512023,-1000.0000,-900.0000,1088.0000,-991.7975,-918.8970,1007.1712,-1021.2757,-895.2955,1007.1505,1088.4432,0.0000,0.0000,0.6758
852,0.531907,1,0.524300,-1000.0000,-900.0000,1088.0000,-991.7980,-918.8940,1007.1708,-1021.2745,-895.2986,1007.1502,1088.4429,0.0000,0.0000,0.6761
853,0.544599,1,0.536991,-1000.0000,-900.0000,1088.0000,-991.7985,-918.8908,1007.1705,-1021.2732,-895.3018,1007.1499,1088.4425,0.0000,0.0000,0.6764
854,0.556472,1,0.548864,-1000.0000,-900.0000,1088.0000,-991.8031,-918.8881,1007.1704,-1021.2739,-895.2993,1007.1501,1088.4412,0.0000,0.0000,0.6763
855,0.568442,1,0.560835,-1000.0000,-900.0000,1088.0000,-991.8084,-918.8853,1007.1704,-1021.2750,-895.2960,1007.1503,1088.4397,0.0000,0.0000,0.6760
856,0.580153,1,0.572546,-1000.0000,-900.0000,1088.0000,-991.8131,-918.8829,1007.1705,-1021.2758,-895.2931,1007.1505,1088.4382,0.0000,0.0000,0.6758
857,0.593892,1,0.586285,-1000.0000,-900.0000,1088.0000,-991.8110,-918.8833,1007.1704,-1021.2736,-895.2937,1007.1501,1088.4374,0.0000,0.0000,0.6762
858,0.608858,1,0.601250,-1000.0000,-900.0000,1088.0000,-991.8086,-918.8838,1007.1704,-1021.2712,-895.2943,1007.1497,1088.4365,0.0000,0.0000,0.6766
859,0.624927,1,0.617320,-1000.0000,-900.0000,1088.0000,-991.8104,-918.8840,1007.1702,-1021.2722,-895.2936,1007.1505,1088.4364,0.0000,0.0000,0.6758
860,0.641845,1,0.634237,-1000.0000,-900.0000,1088.0000,-991.8137,-918.8841,1007.1700,-1021.2744,-895.2924,1007.1517,1088.4367,0.0000,0.0000,0.6746
861,0.654639,1,0.647031,-1000.0000,-900.0000,1088.0000,-991.8145,-918.8833,1007.1697,-1021.2761,-895.2913,1007.1525,1088.4369,0.0000,0.0000,0.6738
862,0.666466,1,0.658859,-1000.0000,-900.0000,1088.0000,-991.8145,-918.8821,1007.1693,-1021.2777,-895.2901,1007.1531,1088.4372,0.0000,0.0000,0.6732
863,0.678582,1,0.670974,-1000.0000,-900.0000,1088.0000,-991.8146,-918.8809,1007.1689,-1021.2794,-895.2890,1007.1537,1088.4374,0.0000,0.0000,0.6726
864,0.691807,1,0.684200,-1000.0000,-900.0000,1088.0000,-991.8167,-918.8802,1007.1687,-1021.2812,-895.2886,1007.1545,1088.4371,0.0000,0.0000,0.6718
865,0.704640,1,0.697033,-1000.0000,-900.0000,1088.0000,-991.8190,-918.8796,1007.1685,-1021.2829,-895.2882,1007.1553,1088.4369,0.0000,0.0000,0.6710
