phase,foot,sole_error,normal_angle,weight,capsule_z
flat,0,0.000000,0.000000,1.000000,1088.000000
flat,1,0.000000,0.000000,1.000000,1088.000000
slope_positive,0,0.001593,0.082505,1.000000,1088.000000
slope_positive,1,0.001302,0.147577,1.000000,1088.000000
slope_negative,0,0.000501,0.053064,1.000000,1088.000000
slope_negative,1,-0.000564,0.345223,1.000000,1088.000000
split_levels,0,0.000000,0.500966,1.000000,1088.000000
split_levels,1,0.000000,0.036741,1.000000,1088.000000
missing_one_support,0,999.000000,90.000000,0.000000,1088.000000
missing_one_support,1,0.000000,0.269854,1.000000,1088.000000
land,0,0.000000,1.139103,1.000000,1100.717504
land,1,23.959633,0.543357,0.000000,1100.717504
