frame,time,phase,age,actor_x,actor_y,actor_z,left_x,left_y,left_z,right_x,right_y,right_z,pelvis_z,left_weight,right_weight,max_contact_error
934,0.004857,1,0.000000,-1000.0000,-900.0000,1088.0000,-989.5355,-919.5183,1008.0561,-1018.8844,-890.1382,1007.7374,1089.1007,0.0000,0.0000,0.2303
935,0.118126,1,0.113269,-1000.0000,-900.0000,1088.0000,-989.5355,-919.5183,1008.0561,-1018.8844,-890.1382,1007.7374,1089.1007,0.0000,0.0000,0.2303
936,0.178153,1,0.173296,-1000.0000,-900.0000,1088.0000,-991.8218,-918.8762,1007.1677,-1021.2575,-895.3085,1007.1386,1088.4308,0.0000,0.0000,0.6877
937,0.191619,1,0.186762,-1000.0000,-900.0000,1088.0000,-991.8173,-918.8791,1007.2391,-1021.2564,-895.3085,1007.2123,1088.4312,0.1077,0.1077,0.6140
938,0.204608,1,0.199751,-1000.0000,-900.0000,1088.0000,-991.8142,-918.8844,1007.3081,-1021.2573,-895.3098,1007.2843,1088.4321,0.2116,0.2116,0.5420
939,0.218313,1,0.213456,-1000.0000,-900.0000,1088.0000,-991.8109,-918.8898,1007.3806,-1021.2583,-895.3111,1007.3602,1088.4332,0.3213,0.3213,0.4662
940,0.231024,1,0.226166,-1000.0000,-900.0000,1088.0000,-991.8106,-918.8906,1007.4475,-1021.2592,-895.3094,1007.4305,1088.4342,0.4230,0.4230,0.3958
941,0.245442,1,0.240585,-1000.0000,-900.0000,1088.0000,-991.8102,-918.8915,1007.5233,-1021.2602,-895.3074,1007.5101,1088.4354,0.5383,0.5383,0.3163
942,0.259448,1,0.254591,-1000.0000,-900.0000,1088.0000,-991.8102,-918.8914,1007.5968,-1021.2622,-895.3071,1007.5870,1088.4361,0.6504,0.6504,0.2393
943,0.275665,1,0.270808,-1000.0000,-900.0000,1088.0000,-991.8106,-918.8904,1007.6818,-1021.2655,-895.3083,1007.6759,1088.4364,0.7801,0.7801,0.1504
944,0.289486,1,0.284629,-1000.0000,-900.0000,1088.0000,-991.8109,-918.8891,1007.7542,-1021.2685,-895.3096,1007.7516,1088.4367,0.8907,0.8907,0.0747
945,0.303320,1,0.298463,-1000.0000,-900.0000,1088.0000,-991.8111,-918.8870,1007.8258,-1021.2717,-895.3116,1007.8263,1088.4369,1.0000,1.0000,0.0000
946,0.316058,1,0.311200,-1000.0000,-900.0000,1088.0000,-991.8113,-918.8851,1007.8258,-1021.2747,-895.3134,1007.8263,1088.4372,1.0000,1.0000,0.0000
947,0.328983,1,0.324126,-1000.0000,-900.0000,1088.0000,-991.8095,-918.8874,1007.8258,-1021.2725,-895.3135,1007.8263,1088.4379,1.0000,1.0000,0.0000
948,0.341684,1,0.336827,-1000.0000,-900.0000,1088.0000,-991.8074,-918.8905,1007.8258,-1021.2693,-895.3133,1007.8263,1088.4387,1.0000,1.0000,0.0000
949,0.353463,1,0.348606,-1000.0000,-900.0000,1088.0000,-991.8058,-918.8926,1007.8258,-1021.2670,-895.3123,1007.8263,1088.4395,1.0000,1.0000,0.0000
950,0.364446,1,0.359589,-1000.0000,-900.0000,1088.0000,-991.8056,-918.8917,1007.8258,-1021.2678,-895.3078,1007.8263,1088.4402,1.0000,1.0000,0.0000
951,0.374484,1,0.369627,-1000.0000,-900.0000,1088.0000,-991.8054,-918.8908,1007.8258,-1021.2685,-895.3036,1007.8263,1088.4408,1.0000,1.0000,0.0000
952,0.384630,1,0.379773,-1000.0000,-900.0000,1088.0000,-991.8051,-918.8899,1007.8258,-1021.2693,-895.2993,1007.8263,1088.4415,1.0000,1.0000,0.0000
953,0.394955,1,0.390098,-1000.0000,-900.0000,1088.0000,-991.8079,-918.8881,1007.8258,-1021.2700,-895.2980,1007.8263,1088.4419,1.0000,1.0000,0.0000
954,0.405456,1,0.400599,-1000.0000,-900.0000,1088.0000,-991.8107,-918.8862,1007.8258,-1021.2707,-895.2967,1007.8263,1088.4424,1.0000,1.0000,0.0000
955,0.417660,1,0.412803,-1000.0000,-900.0000,1088.0000,-991.8140,-918.8841,1007.8258,-1021.2716,-895.2952,1007.8263,1088.4429,1.0000,1.0000,0.0000
956,0.429484,1,0.424626,-1000.0000,-900.0000,1088.0000,-991.8116,-918.8867,1007.8258,-1021.2720,-895.2953,1007.8263,1088.4430,1.0000,1.0000,0.0000
957,0.441801,1,0.436944,-1000.0000,-900.0000,1088.0000,-991.8088,-918.8896,1007.8258,-1021.2725,-895.2954,1007.8263,1088.4432,1.0000,1.0000,0.0000
958,0.453532,1,0.448675,-1000.0000,-900.0000,1088.0000,-991.8065,-918.8920,1007.8258,-1021.2731,-895.2957,1007.8263,1088.4433,1.0000,1.0000,0.0000
959,0.465767,1,0.460910,-1000.0000,-900.0000,1088.0000,-991.8057,-918.8924,1007.8258,-1021.2740,-895.2967,1007.8263,1088.4438,1.0000,1.0000,0.0000
960,0.477767,1,0.472910,-1000.0000,-900.0000,1088.0000,-991.8049,-918.8928,1007.8258,-1021.2749,-895.2977,1007.8263,1088.4442,1.0000,1.0000,0.0000
961,0.489455,1,0.484598,-1000.0000,-900.0000,1088.0000,-991.8034,-918.8938,1007.8258,-1021.2756,-895.2977,1007.8263,1088.4443,1.0000,1.0000,0.0000
962,0.500759,1,0.495902,-1000.0000,-900.0000,1088.0000,-991.8010,-918.8957,1007.8258,-1021.2759,-895.2961,1007.8263,1088.4440,1.0000,1.0000,0.0000
963,0.511924,1,0.507067,-1000.0000,-900.0000,1088.0000,-991.7986,-918.8976,1007.8258,-1021.2762,-895.2947,1007.8263,1088.4436,1.0000,1.0000,0.0000
964,0.523845,1,0.518988,-1000.0000,-900.0000,1088.0000,-991.7975,-918.8973,1007.8258,-1021.2758,-895.2952,1007.8263,1088.4433,1.0000,1.0000,0.0000
965,0.534538,1,0.529681,-1000.0000,-900.0000,1088.0000,-991.7979,-918.8946,1007.8258,-1021.2747,-895.2979,1007.8263,1088.4430,1.0000,1.0000,0.0000
966,0.544666,1,0.539809,-1000.0000,-900.0000,1088.0000,-991.7983,-918.8922,1007.8258,-1021.2737,-895.3004,1007.8263,1088.4427,1.0000,1.0000,0.0000
967,0.554553,1,0.549696,-1000.0000,-900.0000,1088.0000,-991.7999,-918.8898,1007.8258,-1021.2733,-895.3013,1007.8263,1088.4421,1.0000,1.0000,0.0000
968,0.563953,1,0.559096,-1000.0000,-900.0000,1088.0000,-991.8040,-918.8876,1007.8258,-1021.2741,-895.2987,1007.8263,1088.4409,1.0000,1.0000,0.0000
969,0.573021,1,0.568164,-1000.0000,-900.0000,1088.0000,-991.8080,-918.8855,1007.8258,-1021.2749,-895.2963,1007.8263,1088.4398,1.0000,1.0000,0.0000
970,0.581909,1,0.577052,-1000.0000,-900.0000,1088.0000,-991.8120,-918.8835,1007.8258,-1021.2756,-895.2938,1007.8263,1088.4387,1.0000,1.0000,0.0000
971,0.591651,1,0.586793,-1000.0000,-900.0000,1088.0000,-991.8122,-918.8831,1007.8258,-1021.2748,-895.2933,1007.8263,1088.4379,1.0000,1.0000,0.0000
972,0.601447,1,0.596590,-1000.0000,-900.0000,1088.0000,-991.8106,-918.8834,1007.8258,-1021.2732,-895.2938,1007.8263,1088.4373,1.0000,1.0000,0.0000
973,0.612127,1,0.607269,-1000.0000,-900.0000,1088.0000,-991.8090,-918.8838,1007.8258,-1021.2715,-895.2942,1007.8263,1088.4366,1.0000,1.0000,0.0000
974,0.621975,1,0.617118,-1000.0000,-900.0000,1088.0000,-991.8088,-918.8840,1007.8258,-1021.2711,-895.2942,1007.8263,1088.4363,1.0000,1.0000,0.0000
975,0.631593,1,0.626736,-1000.0000,-900.0000,1088.0000,-991.8106,-918.8840,1007.8258,-1021.2723,-895.2935,1007.8263,1088.4365,1.0000,1.0000,0.0000
976,0.641503,1,0.636646,-1000.0000,-900.0000,1088.0000,-991.8126,-918.8841,1007.8258,-1021.2736,-895.2928,1007.8263,1088.4366,1.0000,1.0000,0.0000
977,0.651484,1,0.646627,-1000.0000,-900.0000,1088.0000,-991.8145,-918.8841,1007.8258,-1021.2749,-895.2921,1007.8263,1088.4368,1.0000,1.0000,0.0000
978,0.660727,1,0.655870,-1000.0000,-900.0000,1088.0000,-991.8145,-918.8832,1007.8258,-1021.2762,-895.2912,1007.8263,1088.4369,1.0000,1.0000,0.0000
979,0.670297,1,0.665439,-1000.0000,-900.0000,1088.0000,-991.8145,-918.8823,1007.8258,-1021.2775,-895.2903,1007.8263,1088.4371,1.0000,1.0000,0.0000
980,0.679617,1,0.674760,-1000.0000,-900.0000,1088.0000,-991.8145,-918.8813,1007.8258,-1021.2788,-895.2894,1007.8263,1088.4373,1.0000,1.0000,0.0000
981,0.689140,1,0.684283,-1000.0000,-900.0000,1088.0000,-991.8153,-918.8806,1007.8258,-1021.2801,-895.2888,1007.8263,1088.4373,1.0000,1.0000,0.0000
982,0.698126,1,0.693269,-1000.0000,-900.0000,1088.0000,-991.8169,-918.8802,1007.8258,-1021.2813,-895.2885,1007.8263,1088.4371,1.0000,1.0000,0.0000
983,0.706973,1,0.702116,-1000.0000,-900.0000,1088.0000,-991.8184,-918.8798,1007.8258,-1021.2825,-895.2883,1007.8263,1088.4369,1.0000,1.0000,0.0000
984,0.715700,1,0.710843,-1000.0000,-900.0000,1088.0000,-991.8200,-918.8794,1007.8258,-1021.2837,-895.2881,1007.8263,1088.4367,1.0000,1.0000,0.0000
985,0.724948,1,0.720091,-1000.0000,-900.0000,1088.0000,-991.8179,-918.8808,1007.8258,-1021.2829,-895.2894,1007.8263,1088.4368,1.0000,1.0000,0.0000
986,0.734782,1,0.729925,-1000.0000,-900.0000,1088.0000,-991.8143,-918.8831,1007.8258,-1021.2812,-895.2914,1007.8263,1088.4369,1.0000,1.0000,0.0000
987,0.745029,1,0.740171,-1000.0000,-900.0000,1088.0000,-991.8106,-918.8855,1007.8258,-1021.2795,-895.2935,1007.8263,1088.4370,1.0000,1.0000,0.0000
988,0.755440,1,0.750583,-1000.0000,-900.0000,1088.0000,-991.8072,-918.8871,1007.8258,-1021.2786,-895.2939,1007.8263,1088.4374,1.0000,1.0000,0.0000
989,0.765508,1,0.760651,-1000.0000,-900.0000,1088.0000,-991.8044,-918.8874,1007.8258,-1021.2790,-895.2918,1007.8263,1088.4382,1.0000,1.0000,0.0000
990,0.776988,1,0.772130,-1000.0000,-900.0000,1088.0000,-991.8013,-918.8878,1007.8258,-1021.2793,-895.2895,1007.8263,1088.4392,1.0000,1.0000,0.0000
991,0.788623,1,0.783766,-1000.0000,-900.0000,1088.0000,-991.8007,-918.8888,1007.8258,-1021.2803,-895.2908,1007.8263,1088.4398,1.0000,1.0000,0.0000
992,0.798941,1,0.794084,-1000.0000,-900.0000,1088.0000,-991.8049,-918.8912,1007.8258,-1021.2822,-895.2990,1007.8263,1088.4399,1.0000,1.0000,0.0000
993,0.809298,1,0.804441,-1000.0000,-900.0000,1088.0000,-991.8090,-918.8935,1007.8258,-1021.2841,-895.3072,1007.8263,1088.4400,1.0000,1.0000,0.0000
994,0.819707,1,0.814850,-1000.0000,-900.0000,1088.0000,-991.8122,-918.8951,1007.8258,-1021.2854,-895.3135,1007.8263,1088.4401,1.0000,1.0000,0.0000
995,0.829989,1,0.825131,-1000.0000,-900.0000,1088.0000,-991.8097,-918.8925,1007.8258,-1021.2834,-895.3094,1007.8263,1088.4400,1.0000,1.0000,0.0000
996,0.839915,1,0.835058,-1000.0000,-900.0000,1088.0000,-991.8073,-918.8900,1007.8258,-1021.2815,-895.3055,1007.8263,1088.4399,1.0000,1.0000,0.0000
997,0.850135,1,0.845277,-1000.0000,-900.0000,1088.0000,-991.8048,-918.8875,1007.8258,-1021.2794,-895.3015,1007.8263,1088.4398,1.0000,1.0000,0.0000
998,0.859900,1,0.855042,-1000.0000,-900.0000,1088.0000,-991.8049,-918.8872,1007.8258,-1021.2773,-895.2994,1007.8263,1088.4398,1.0000,1.0000,0.0000
999,0.870396,1,0.865539,-1000.0000,-900.0000,1088.0000,-991.8055,-918.8872,1007.8258,-1021.2750,-895.2973,1007.8263,1088.4397,1.0000,1.0000,0.0000
1000,0.880939,1,0.876082,-1000.0000,-900.0000,1088.0000,-991.8061,-918.8872,1007.8258,-1021.2726,-895.2953,1007.8263,1088.4396,1.0000,1.0000,0.0000
1001,0.890280,1,0.885423,-1000.0000,-900.0000,1088.0000,-991.8072,-918.8873,1007.8258,-1021.2711,-895.2944,1007.8263,1088.4395,1.0000,1.0000,0.0000
1002,0.899744,1,0.894887,-1000.0000,-900.0000,1088.0000,-991.8087,-918.8874,1007.8258,-1021.2699,-895.2941,1007.8263,1088.4393,1.0000,1.0000,0.0000
1003,0.909134,1,0.904277,-1000.0000,-900.0000,1088.0000,-991.8101,-918.8874,1007.8258,-1021.2687,-895.2938,1007.8263,1088.4391,1.0000,1.0000,0.0000
1004,0.919155,1,0.914298,-1000.0000,-900.0000,1088.0000,-991.8117,-918.8874,1007.8258,-1021.2675,-895.2935,1007.8263,1088.4389,1.0000,1.0000,0.0000
1005,0.928871,1,0.924014,-1000.0000,-900.0000,1088.0000,-991.8132,-918.8861,1007.8258,-1021.2668,-895.2940,1007.8263,1088.4383,1.0000,1.0000,0.0000
1006,0.938640,1,0.933783,-1000.0000,-900.0000,1088.0000,-991.8147,-918.8848,1007.8258,-1021.2661,-895.2945,1007.8263,1088.4378,1.0000,1.0000,0.0000
1007,0.948301,1,0.943444,-1000.0000,-900.0000,1088.0000,-991.8161,-918.8835,1007.8258,-1021.2654,-895.2950,1007.8263,1088.4373,1.0000,1.0000,0.0000
1008,0.959505,1,0.954648,-1000.0000,-900.0000,1088.0000,-991.8154,-918.8803,1007.8258,-1021.2635,-895.2954,1007.8263,1088.4371,1.0000,1.0000,0.0000
1009,0.968968,1,0.964111,-1000.0000,-900.0000,1088.0000,-991.8139,-918.8771,1007.8258,-1021.2615,-895.2957,1007.8263,1088.4371,1.0000,1.0000,0.0000
1010,0.978992,1,0.974135,-1000.0000,-900.0000,1088.0000,-991.8124,-918.8738,1007.8258,-1021.2594,-895.2960,1007.8263,1088.4370,1.0000,1.0000,0.0000
1011,0.989133,1,0.984275,-1000.0000,-900.0000,1088.0000,-991.8119,-918.8712,1007.8258,-1021.2577,-895.2964,1007.8263,1088.4370,1.0000,1.0000,0.0000
1012,0.999359,1,0.994501,-1000.0000,-900.0000,1088.0000,-991.8128,-918.8699,1007.8258,-1021.2565,-895.2971,1007.8263,1088.4369,1.0000,1.0000,0.0000
1013,1.009173,1,1.004316,-1000.0000,-900.0000,1088.0000,-991.8136,-918.8686,1007.8258,-1021.2553,-895.2977,1007.8263,1088.4369,1.0000,1.0000,0.0000
1014,1.019197,1,1.014340,-1000.0000,-900.0000,1088.0000,-991.8137,-918.8676,1007.8258,-1021.2540,-895.2983,1007.8263,1088.4368,1.0000,1.0000,0.0000
1015,1.029170,1,1.024312,-1000.0000,-900.0000,1088.0000,-991.8074,-918.8693,1007.8258,-1021.2516,-895.2987,1007.8263,1088.4368,1.0000,1.0000,0.0000
1016,1.039033,1,1.034176,-1000.0000,-900.0000,1088.0000,-991.8012,-918.8710,1007.8258,-1021.2492,-895.2990,1007.8263,1088.4367,1.0000,1.0000,0.0000
1017,1.048792,1,1.043935,-1000.0000,-900.0000,1088.0000,-991.7950,-918.8727,1007.8258,-1021.2468,-895.2993,1007.8263,1088.4367,1.0000,1.0000,0.0000
1018,1.058689,1,1.053832,-1000.0000,-900.0000,1088.0000,-991.7939,-918.8749,1007.8258,-1021.2460,-895.2988,1007.8263,1088.4367,1.0000,1.0000,0.0000
1019,1.068116,1,1.063259,-1000.0000,-900.0000,1088.0000,-991.7947,-918.8771,1007.8258,-1021.2459,-895.2981,1007.8263,1088.4367,1.0000,1.0000,0.0000
1020,1.077883,1,1.073026,-1000.0000,-900.0000,1088.0000,-991.7956,-918.8794,1007.8258,-1021.2457,-895.2974,1007.8263,1088.4367,1.0000,1.0000,0.0000
1021,1.087365,1,1.082507,-1000.0000,-900.0000,1088.0000,-991.7951,-918.8809,1007.8258,-1021.2452,-895.2969,1007.8263,1088.4367,1.0000,1.0000,0.0000
1022,1.096979,1,1.092122,-1000.0000,-900.0000,1088.0000,-991.7910,-918.8805,1007.8258,-1021.2434,-895.2967,1007.8263,1088.4367,1.0000,1.0000,0.0000
1023,1.106648,1,1.101791,-1000.0000,-900.0000,1088.0000,-991.7869,-918.8800,1007.8258,-1021.2417,-895.2966,1007.8263,1088.4367,1.0000,1.0000,0.0000
