frame,time,phase,age,cosmetic,head_drop,pelvis_drop,root_drift
1253,5.052830,4,0.000000,0,0.000000,0.000000,0.000000
1254,5.066738,4,0.013908,0,0.000000,0.000000,0.000000
1255,5.081742,4,0.028912,0,0.000000,0.000000,0.000000
1256,5.096934,4,0.044104,0,0.000000,0.000000,0.000000
1257,5.114940,4,0.062111,0,0.000000,0.000000,0.000000
1258,5.129087,4,0.076257,0,0.000000,0.000000,0.000000
1259,5.144111,4,0.091281,0,0.000000,0.000000,0.000000
1260,5.158638,4,0.105809,0,0.000000,0.000000,0.000000
1261,5.173495,4,0.120666,0,0.000000,0.000000,0.000000
1262,5.188652,4,0.135822,0,0.000000,0.000000,0.000000
1263,5.203131,4,0.150302,0,0.000000,0.000000,0.000000
1264,5.217500,4,0.164670,0,0.000000,0.000000,0.000000
1265,5.231902,4,0.179073,0,0.000000,0.000000,0.000000
1266,5.246270,4,0.193440,0,0.000000,0.000000,0.000000
1267,5.261074,4,0.208245,0,0.000000,0.000000,0.000000
1268,5.276724,4,0.223895,0,0.000000,0.000000,0.000000
1269,5.291405,4,0.238575,0,0.000000,0.000000,0.000000
1270,5.306054,4,0.253225,0,0.000000,0.000000,0.000000
1271,5.321727,4,0.268897,0,0.000000,0.000000,0.000000
1272,5.335586,4,0.282756,0,0.000000,0.000000,0.000000
1273,5.350078,4,0.297249,0,0.000000,0.000000,0.000000
1274,5.364366,4,0.311537,0,0.000000,0.000000,0.000000
1275,5.379729,4,0.326900,0,0.000000,0.000000,0.000000
1276,5.394414,4,0.341584,0,0.000000,0.000000,0.000000
1277,5.409225,4,0.356395,0,0.000000,0.000000,0.000000
1278,5.425247,4,0.372417,0,0.000000,0.000000,0.000000
1279,5.441758,4,0.388929,0,0.000000,0.000000,0.000000
1280,5.456686,4,0.403856,0,0.000000,0.000000,0.000000
1281,5.470702,4,0.417872,0,0.000000,0.000000,0.000000
1282,5.484458,4,0.431629,0,0.000000,0.000000,0.000000
1283,5.498825,4,0.445996,0,0.000000,0.000000,0.000000
1284,5.513501,4,0.460671,0,0.000000,0.000000,0.000000
1285,5.529066,4,0.476237,0,0.000000,0.000000,0.000000
1286,5.543262,4,0.490432,0,0.000000,0.000000,0.000000
1287,5.557861,4,0.505031,0,0.000000,0.000000,0.000000
1288,5.572251,4,0.519421,0,0.000000,0.000000,0.000000
1289,5.585505,4,0.532675,0,0.000000,0.000000,0.000000
1290,5.599484,4,0.546654,0,0.000000,0.000000,0.000000
1291,5.613295,4,0.560466,0,0.000000,0.000000,0.000000
1292,5.627326,4,0.574497,0,0.000000,0.000000,0.000000
1293,5.641425,4,0.588595,0,0.000000,0.000000,0.000000
1294,5.655913,4,0.603083,0,0.000000,0.000000,0.000000
1295,5.669873,4,0.617043,0,0.000000,0.000000,0.000000
1296,5.683256,4,0.630427,0,0.000000,0.000000,0.000000
1297,5.699472,4,0.646642,0,0.000000,0.000000,0.000000
1298,5.714449,4,0.661620,0,0.000000,0.000000,0.000000
1299,5.728875,4,0.676045,0,0.000000,0.000000,0.000000
1300,5.744071,4,0.691241,0,0.000000,0.000000,0.000000
1301,5.757457,4,0.704627,0,0.000000,0.000000,0.000000
1302,5.770470,4,0.717640,0,0.000000,0.000000,0.000000
1303,5.782793,4,0.729963,0,0.000000,0.000000,0.000000
1304,5.795936,4,0.743106,0,0.000000,0.000000,0.000000
1305,5.808230,4,0.755400,0,0.000000,0.000000,0.000000
1306,5.820916,4,0.768086,0,0.000000,0.000000,0.000000
1307,5.833728,4,0.780899,0,0.000000,0.000000,0.000000
1308,5.847299,4,0.794469,0,0.000000,0.000000,0.000000
1309,5.860557,4,0.807727,0,0.000000,0.000000,0.000000
1310,5.874195,4,0.821366,0,0.000000,0.000000,0.000000
1311,5.888692,4,0.835862,0,0.000000,0.000000,0.000000
1312,5.902385,4,0.849555,0,0.000000,0.000000,0.000000
1313,5.916282,4,0.863453,0,0.000000,0.000000,0.000000
1314,5.930132,4,0.877303,0,0.000000,0.000000,0.000000
1315,5.944610,4,0.891781,0,0.000000,0.000000,0.000000
1316,5.960655,4,0.907825,0,0.000000,0.000000,0.000000
1317,5.974763,4,0.921933,0,0.000000,0.000000,0.000000
