frame,time,phase,age,cosmetic,head_drop,pelvis_drop,root_drift
1188,5.055987,4,0.000000,1,0.000000,0.000000,0.000000
1189,5.067108,4,0.011121,1,-0.031639,-0.017000,0.000000
1190,5.079200,4,0.023213,1,-0.020130,0.024552,0.000000
1191,5.090495,4,0.034509,1,0.188524,0.240948,0.000000
1192,5.105740,4,0.049754,1,1.267758,1.182769,0.000000
1193,5.120163,4,0.064176,1,3.271850,2.777950,0.000000
1194,5.133857,4,0.077870,1,6.105756,4.690726,0.000000
1195,5.151207,4,0.095221,1,10.750014,7.463684,0.000000
1196,5.163687,4,0.107700,1,13.594534,8.684814,0.000000
1197,5.177487,4,0.121500,1,15.633697,9.037625,0.000000
1198,5.191727,4,0.135740,1,17.219084,9.035617,0.000000
1199,5.205113,4,0.149127,1,18.051473,8.594820,0.000000
1200,5.219312,4,0.163325,1,19.117222,8.127264,0.000000
1201,5.232461,4,0.176474,1,20.186018,7.657265,0.000000
1202,5.246165,4,0.190178,1,21.510958,7.154310,0.000000
1203,5.260428,4,0.204441,1,23.217437,6.673381,0.000000
1204,5.275328,4,0.219341,1,25.435414,6.269324,0.000000
1205,5.289545,4,0.233558,1,27.801688,5.888032,0.000000
1206,5.304441,4,0.248454,1,30.108941,5.765506,0.000000
1207,5.318881,4,0.262894,1,32.495087,5.646734,0.000000
1208,5.332823,4,0.276837,1,34.450864,5.552924,0.000000
1209,5.347364,4,0.291377,1,36.398967,5.463180,0.000000
1210,5.361441,4,0.305454,1,38.299357,5.338922,0.000000
1211,5.375880,4,0.319893,1,40.206752,5.150875,0.000000
1212,5.390446,4,0.334459,1,42.180003,4.960878,0.000000
1213,5.403911,4,0.347924,1,44.063061,4.781948,0.000000
1214,5.417640,4,0.361654,1,46.006737,4.599510,0.000000
1215,5.431827,4,0.375840,1,48.005867,4.545448,0.000000
1216,5.445494,4,0.389507,1,49.936301,4.564155,0.000000
1217,5.459818,4,0.403831,1,51.963700,4.623574,0.000000
1218,5.473997,4,0.418010,1,53.954371,4.790283,0.000000
1219,5.489237,4,0.433251,1,56.093704,4.969481,0.000000
1220,5.502145,4,0.446159,1,57.673218,5.026022,0.000000
1221,5.515824,4,0.459838,1,59.379695,5.085295,0.000000
1222,5.530100,4,0.474114,1,60.860153,5.312561,0.000000
1223,5.543582,4,0.487595,1,61.998910,5.670413,0.000000
1224,5.557916,4,0.501929,1,63.136770,6.076609,0.000000
1225,5.572021,4,0.516034,1,63.646698,6.638982,0.000000
1226,5.585716,4,0.529729,1,64.159578,7.184997,0.000000
1227,5.599430,4,0.543443,1,64.553156,7.553286,0.000000
1228,5.617091,4,0.561105,1,65.022103,7.945653,0.000000
1229,5.631167,4,0.575181,1,65.374096,8.193640,0.000000
1230,5.645621,4,0.589634,1,65.711980,8.404888,0.000000
1231,5.659423,4,0.603436,1,66.079032,8.571047,0.000000
1232,5.672432,4,0.616446,1,66.547033,8.626552,0.000000
1233,5.685563,4,0.629576,1,67.018536,8.682578,0.000000
1234,5.698443,4,0.642457,1,67.700916,8.692631,0.000000
1235,5.710904,4,0.654917,1,68.443536,8.684455,0.000000
1236,5.725022,4,0.669035,1,69.317307,8.654819,0.000000
1237,5.738469,4,0.682482,1,70.344336,8.530321,0.000000
1238,5.751675,4,0.695689,1,71.361168,8.408041,0.000000
1239,5.765454,4,0.709467,1,72.364249,8.183211,0.000000
1240,5.778827,4,0.722840,1,73.321853,7.921995,0.000000
1241,5.792345,4,0.736358,1,74.195110,7.721648,0.000000
1242,5.805921,4,0.749934,1,74.706898,7.742290,0.000000
1243,5.819391,4,0.763404,1,75.221446,7.762773,0.000000
1244,5.832961,4,0.776974,1,75.528623,7.794222,0.000000
1245,5.846907,4,0.790920,1,75.776026,7.830063,0.000000
1246,5.860352,4,0.804365,1,76.063127,7.759265,0.000000
1247,5.873650,4,0.817664,1,76.442662,7.472486,0.000000
1248,5.887184,4,0.831197,1,76.826369,7.180634,0.000000
1249,5.900212,4,0.844225,1,77.314500,6.839757,0.000000
1250,5.912996,4,0.857009,1,77.810661,6.493727,0.000000
1251,5.927016,4,0.871029,1,78.345993,6.072093,0.000000
1252,5.940236,4,0.884250,1,78.839561,5.586518,0.000000
1253,5.953534,4,0.897547,1,79.323638,5.098102,0.000000
1254,5.966900,4,0.910914,1,79.760220,4.466011,0.000000
