name,frame,sim_time,yaw
static_000,1115,7.037141,0.000000
static_001,1117,7.451362,0.000000
static_002,1119,7.618020,0.000000
static_003,1121,7.816330,0.000000
static_004,1123,7.991460,0.000000
static_005,1125,8.161272,0.000000
static_006,1127,8.330524,0.000000
static_007,1129,8.497808,0.000000
static_008,1131,8.695605,0.000000
static_009,1133,8.861747,0.000000
pan_000,1554,14.888719,-24.797196
pan_001,1556,15.062312,-22.627290
pan_002,1558,15.231080,-20.517686
pan_003,1560,15.398789,-18.421321
pan_004,1562,15.574226,-16.228365
pan_005,1564,15.738402,-14.176166
pan_006,1566,15.913364,-11.989141
pan_007,1568,16.084174,-9.854015
pan_008,1570,16.287534,-7.312013
pan_009,1572,16.482933,-4.869522
pan_010,1574,16.653598,-2.736212
pan_011,1576,16.821410,-0.638570
pan_012,1578,16.989377,1.461025
pan_013,1580,17.156795,3.553748
pan_014,1582,17.322770,5.628431
pan_015,1584,17.488196,7.696259
pan_016,1586,17.655608,9.788905
pan_017,1588,17.825078,11.907291
pan_018,1590,17.994006,14.018883
pan_019,1592,18.162978,16.131039
pan_020,1594,18.331596,18.238763
pan_021,1596,18.494749,20.278176
pan_022,1598,18.662802,22.378841
pan_023,1600,18.832378,24.498538
pan_024,1602,18.996806,25.000000
pan_025,1604,19.164397,25.000000
pan_026,1606,19.333464,25.000000
pan_027,1608,19.503779,25.000000
pan_028,1610,19.673691,25.000000
pan_029,1612,19.841391,25.000000
pan_030,1614,20.009586,25.000000
pan_031,1616,20.179311,25.000000
walk_end,1760,22.193831,0.000000
