name,frame,sim_time,yaw
static_000,696,7.037152,0.000000
static_001,698,7.230787,0.000000
static_002,700,7.423474,0.000000
static_003,702,7.619363,0.000000
static_004,704,7.806129,0.000000
static_005,706,7.985513,0.000000
static_006,708,8.183610,0.000000
static_007,710,8.369797,0.000000
static_008,712,8.549515,0.000000
static_009,714,8.752184,0.000000
pan_000,1092,14.803500,-24.805201
pan_001,1094,14.995473,-22.405529
pan_002,1096,15.172115,-20.197513
pan_003,1098,15.357658,-17.878222
pan_004,1100,15.533477,-15.680485
pan_005,1102,15.697149,-13.634578
pan_006,1104,15.867795,-11.501513
pan_007,1106,16.048068,-9.248091
pan_008,1108,16.231052,-6.960794
pan_009,1110,16.398841,-4.863438
pan_010,1112,16.570986,-2.711614
pan_011,1114,16.746586,-0.516625
pan_012,1116,16.920315,1.654988
pan_013,1118,17.092191,3.803438
pan_014,1120,17.293546,6.320379
pan_015,1122,17.468779,8.510793
pan_016,1124,17.646161,10.728063
pan_017,1126,17.857929,13.375166
pan_018,1128,18.065605,15.971120
pan_019,1130,18.264321,18.455073
pan_020,1132,18.450565,20.783112
pan_021,1134,18.654195,23.328491
pan_022,1136,18.817304,25.000000
pan_023,1138,19.010513,25.000000
pan_024,1140,19.186554,25.000000
pan_025,1142,19.393429,25.000000
pan_026,1144,19.601340,25.000000
pan_027,1146,19.807103,25.000000
pan_028,1148,19.982251,25.000000
pan_029,1150,20.159044,25.000000
pan_030,1152,20.332960,25.000000
pan_031,1154,20.544643,25.000000
walk_end,1281,22.557125,0.000000
