component,mesh,nanite_data,nanite_proxy
"/Game/Maps/BiellaOpenWorldMap.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF074639FF02_1174228807.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/DWX3BR0NP97Y1QAK4361DCQYU.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616305383.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/DWX3BR0NP97Y1QAK4361DCQYU.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616309389.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/DWX3BR0NP97Y1QAK4361DCQYU.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616332423.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/DWX3BR0NP97Y1QAK4361DCQYU.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616333425.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/4IRVSFCMT7UKFFHM2HUBKUANT.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616299375.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/4IRVSFCMT7UKFFHM2HUBKUANT.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616303381.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/5W0PTBAXB78XMVICWEPSBVFUH.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616301377.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/5W0PTBAXB78XMVICWEPSBVFUH.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616301378.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/E4NTLHGQRW7WSJD367Y83CQJY.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616300376.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/E4NTLHGQRW7WSJD367Y83CQJY.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616302379.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/E4NTLHGQRW7WSJD367Y83CQJY.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616303380.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/E4NTLHGQRW7WSJD367Y83CQJY.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616304382.StaticMeshComponent0","/Game/OpenWorld/Architecture/SM_StreetBlock_00.SM_StreetBlock_00",1,1
"/Game/Maps/BiellaOpenWorldMap/_Generated_/E4NTLHGQRW7WSJD367Y83CQJY.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616306385.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/E4NTLHGQRW7WSJD367Y83CQJY.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616307386.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/2246L7J56SWT3CJ7TDECQUKJJ.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616305384.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/2246L7J56SWT3CJ7TDECQUKJJ.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616307387.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/2246L7J56SWT3CJ7TDECQUKJJ.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616308388.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/2246L7J56SWT3CJ7TDECQUKJJ.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616309390.StaticMeshComponent0","/Game/OpenWorld/Architecture/SM_StreetBlock_01.SM_StreetBlock_01",1,1
"/Game/Maps/BiellaOpenWorldMap/_Generated_/2246L7J56SWT3CJ7TDECQUKJJ.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616311393.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/2246L7J56SWT3CJ7TDECQUKJJ.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616312394.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/6KIDQ8DFTHQYWAPBTVM821GBW.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616311392.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/6KIDQ8DFTHQYWAPBTVM821GBW.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616313395.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/6KIDQ8DFTHQYWAPBTVM821GBW.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616313396.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
"/Game/Maps/BiellaOpenWorldMap/_Generated_/6KIDQ8DFTHQYWAPBTVM821GBW.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616314397.StaticMeshComponent0","/Game/OpenWorld/Architecture/SM_StreetBlock_02.SM_StreetBlock_02",1,1
"/Game/Maps/BiellaOpenWorldMap/_Generated_/6KIDQ8DFTHQYWAPBTVM821GBW.BiellaOpenWorldMap:PersistentLevel.StaticMeshActor_UAID_FA163ECF0746E7FE02_1616316400.StaticMeshComponent0","/Engine/BasicShapes/Cube.Cube",0,0
