frame,wall_ms,sim_ms,gpu_ms,phase,shot_requested,x,y,z,yaw,ready,aa,screen_percentage,motion_blur_quality,dynamic_res,vsync,frame_cap
219,24.247275,351.648039,8.019000,1,0,0.0000,0.0000,90.0000,0.0000,0,4.0,100.00,0.0,0.0,0.0,0.0
220,23.086620,24.212884,13.886000,1,0,0.0000,0.0000,90.0000,0.0000,0,4.0,100.00,0.0,0.0,0.0,0.0
221,69.048686,23.081050,13.886000,1,0,0.0000,0.0000,90.0000,0.0000,0,4.0,100.00,0.0,0.0,0.0,0.0
222,26.100356,69.045276,7.609000,1,0,6000.0000,-1000.0000,90.0000,0.0000,0,4.0,100.00,0.0,0.0,0.0,0.0
223,21.654459,26.130716,7.343000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
224,24.503101,21.642179,7.516000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
225,21.464775,24.589414,8.918000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
226,24.733735,21.349212,7.298000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
227,24.808608,24.760736,6.783000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
228,19.143515,24.757056,6.535000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
229,20.848641,19.113324,6.975000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
230,23.900878,20.969724,6.570000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
231,21.486076,24.653515,6.454000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
232,19.848559,20.757430,6.454000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
233,17.486550,19.798279,6.496000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
234,13.627754,17.722663,6.496000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
235,15.984897,13.348440,6.437000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
236,16.720092,16.273932,6.466000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
237,18.507182,16.527108,6.485000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
238,17.652981,18.438170,6.489000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
239,24.030051,17.650012,6.476000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
240,19.392431,23.988240,6.465000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
241,17.701963,19.357529,6.541000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
242,16.609790,19.944342,6.541000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
243,16.448036,14.503904,6.419000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
244,24.483121,17.022639,6.452000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
245,17.874657,23.855687,6.468000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
246,19.305478,18.213944,6.411000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
247,20.351030,19.004062,6.422000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
248,21.221281,20.345701,6.843000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
249,21.856954,21.173509,6.843000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
250,16.870454,21.793532,6.715000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
251,20.916584,16.884806,6.736000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
252,80.440833,20.949574,6.745000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
253,20.367941,80.497644,6.781000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
254,23.647312,20.301179,6.803000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
255,20.317090,23.671203,6.771000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
256,16.011897,20.278889,6.630000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
257,11.534640,16.120660,6.630000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
258,15.383523,11.507639,6.388000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
259,14.772181,15.910685,6.530000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
260,17.386016,14.193577,6.536000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
261,18.251885,17.346706,6.460000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
262,15.780342,18.259536,6.477000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
263,15.192379,15.773181,6.893000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
264,19.570275,15.250921,6.493000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
265,17.143201,19.524783,6.420000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
266,20.368351,17.141351,6.418000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
267,20.394642,20.407003,6.591000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
268,18.883339,20.387911,6.482000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
