name,frame,sim_time,yaw
static_000,1214,7.034736,0.000000
static_001,1216,7.448354,0.000000
static_002,1218,7.605797,0.000000
static_003,1220,7.790497,0.000000
static_004,1222,7.946803,0.000000
static_005,1224,8.103995,0.000000
static_006,1226,8.261307,0.000000
static_007,1228,8.447789,0.000000
static_008,1230,8.598324,0.000000
static_009,1233,8.755321,0.000000
pan_000,1660,14.790221,-24.824264
pan_001,1662,14.990402,-22.322000
pan_002,1664,15.174087,-20.025938
pan_003,1666,15.324693,-18.143360
pan_004,1668,15.472850,-16.291393
pan_005,1670,15.632179,-14.299784
pan_006,1672,15.783973,-12.402353
pan_007,1674,15.939065,-10.463714
pan_008,1676,16.090409,-8.571905
pan_009,1678,16.244210,-6.649399
pan_010,1680,16.399489,-4.708413
pan_011,1682,16.556420,-2.746767
pan_012,1684,16.709879,-0.828537
pan_013,1686,16.862668,1.081325
pan_014,1688,17.016647,3.006067
pan_015,1690,17.173272,4.963883
pan_016,1692,17.327778,6.895210
pan_017,1694,17.482674,8.831407
pan_018,1696,17.636938,10.759700
pan_019,1698,17.793168,12.712577
pan_020,1700,17.949169,14.662595
pan_021,1702,18.104220,16.600730
pan_022,1704,18.260530,18.554598
pan_023,1706,18.419089,20.536591
pan_024,1708,18.575333,22.489636
pan_025,1710,18.727841,24.395993
pan_026,1712,18.878811,25.000000
pan_027,1714,19.043009,25.000000
pan_028,1716,19.190918,25.000000
pan_029,1718,19.344950,25.000000
pan_030,1720,19.491388,25.000000
pan_031,1722,19.637548,25.000000
walk_end,1878,21.656405,0.000000
