frame,wall_ms,sim_ms,gpu_ms,phase,shot_requested,x,y,z,yaw,ready,aa,screen_percentage,motion_blur_quality,dynamic_res,vsync,frame_cap
709,51.161680,353.618985,8.634000,1,0,0.0000,0.0000,88.0000,0.0000,0,2.0,100.00,0.0,0.0,0.0,0.0
710,6.142460,51.138380,8.634000,1,0,0.0000,0.0000,90.0000,0.0000,0,2.0,100.00,0.0,0.0,0.0,0.0
711,10.696476,6.090528,4.412000,1,0,0.0000,0.0000,90.0000,0.0000,0,2.0,100.00,0.0,0.0,0.0,0.0
712,10.700166,10.711836,4.412000,1,0,0.0000,0.0000,90.0000,0.0000,0,2.0,100.00,0.0,0.0,0.0,0.0
713,13.562206,10.712837,4.264000,1,0,6000.0000,-1000.0000,90.0000,0.0000,0,2.0,100.00,0.0,0.0,0.0,0.0
714,18.446100,13.564836,3.970000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
715,16.382625,18.585683,3.970000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
716,21.337760,16.364295,4.842000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
717,14.534217,21.395542,4.158000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
718,13.434454,14.467525,3.835000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
719,14.662630,13.381343,3.830000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
720,15.610020,14.675069,3.878000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
721,14.761570,15.621270,3.612000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
722,13.793362,14.778782,3.569000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
723,12.784760,13.794571,3.781000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
724,12.600156,12.806580,3.819000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
725,12.867621,12.622737,3.639000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
726,13.454645,12.803141,3.666000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
727,13.002794,13.505724,3.771000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
728,13.944615,13.010895,3.489000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
729,13.432123,13.928434,3.811000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
730,13.990465,13.413713,3.542000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
