name,frame,sim_time,yaw
static_000,1150,7.040037,0.000000
static_001,1152,7.456330,0.000000
static_002,1154,7.616490,0.000000
static_003,1156,7.783426,0.000000
static_004,1158,7.975241,0.000000
static_005,1160,8.165508,0.000000
static_006,1162,8.329847,0.000000
static_007,1164,8.495841,0.000000
static_008,1166,8.660320,0.000000
static_009,1168,8.857837,0.000000
pan_000,1572,14.894792,-24.823315
pan_001,1574,15.070604,-22.625660
pan_002,1576,15.237797,-20.535749
pan_003,1578,15.402203,-18.480671
pan_004,1580,15.564807,-16.448129
pan_005,1582,15.723325,-14.466656
pan_006,1584,15.884701,-12.449444
pan_007,1586,16.056176,-10.306009
pan_008,1588,16.233694,-8.087032
pan_009,1590,16.407947,-5.908873
pan_010,1592,16.574477,-3.827244
pan_011,1594,16.742663,-1.724921
pan_012,1596,16.913939,0.416023
pan_013,1598,17.083224,2.532091
pan_014,1600,17.286662,5.075064
pan_015,1602,17.456669,7.200151
pan_016,1604,17.625218,9.307010
pan_017,1606,17.795642,11.437310
pan_018,1608,17.964373,13.546450
pan_019,1610,18.131936,15.640986
pan_020,1612,18.300229,17.744649
pan_021,1614,18.507287,20.332876
pan_022,1616,18.680978,22.504017
pan_023,1618,18.855672,24.687683
pan_024,1620,19.027215,25.000000
pan_025,1622,19.230487,25.000000
pan_026,1624,19.405384,25.000000
pan_027,1626,19.574999,25.000000
pan_028,1628,19.749582,25.000000
pan_029,1630,19.950981,25.000000
pan_030,1632,20.121193,25.000000
pan_031,1634,20.285676,25.000000
walk_end,1769,22.301639,0.000000
