name,frame,sim_time,yaw
static_000,937,7.026577,0.000000
static_001,939,7.227858,0.000000
static_002,941,7.397347,0.000000
static_003,943,7.566503,0.000000
static_004,945,7.728185,0.000000
static_005,947,7.901233,0.000000
static_006,949,8.076050,0.000000
static_007,951,8.247474,0.000000
static_008,953,8.420026,0.000000
static_009,955,8.590956,0.000000
pan_000,1440,14.626135,-24.839145
pan_001,1442,14.833940,-22.241581
pan_002,1444,14.999670,-20.169961
pan_003,1446,15.164882,-18.104808
pan_004,1448,15.329227,-16.050491
pan_005,1450,15.490965,-14.028776
pan_006,1452,15.658641,-11.932824
pan_007,1454,15.830466,-9.785012
pan_008,1456,16.029272,-7.299928
pan_009,1458,16.230717,-4.781876
pan_010,1460,16.430941,-2.279076
pan_011,1462,16.597621,-0.195568
pan_012,1464,16.799426,2.326997
pan_013,1466,16.967615,4.429352
pan_014,1468,17.136391,6.539058
pan_015,1470,17.304879,8.645160
pan_016,1472,17.473498,10.752895
pan_017,1474,17.645087,12.897751
pan_018,1476,17.839093,15.322835
pan_019,1478,17.998221,17.311931
pan_020,1480,18.169944,19.458468
pan_021,1482,18.341524,21.603220
pan_022,1484,18.545363,24.151206
pan_023,1486,18.748205,25.000000
pan_024,1488,18.920004,25.000000
pan_025,1490,19.089395,25.000000
pan_026,1492,19.291408,25.000000
pan_027,1494,19.474971,25.000000
pan_028,1496,19.675186,25.000000
pan_029,1498,19.869133,25.000000
pan_030,1500,20.034206,25.000000
pan_031,1502,20.225289,25.000000
walk_end,1664,22.233490,0.000000
