frame,wall_ms,sim_ms,gpu_ms,phase,shot_requested,x,y,z,yaw,ready,aa,screen_percentage,motion_blur_quality,dynamic_res,vsync,frame_cap
373,22.863232,303.986688,4.409000,1,0,0.0000,0.0000,90.0000,0.0000,0,2.0,100.00,0.0,0.0,0.0,0.0
374,43.737790,22.963395,4.409000,1,0,0.0000,0.0000,90.0000,0.0000,0,2.0,100.00,0.0,0.0,0.0,0.0
375,20.429727,43.682588,7.824000,1,0,0.0000,0.0000,90.0000,0.0000,0,2.0,100.00,0.0,0.0,0.0,0.0
376,20.669773,20.481118,4.009000,1,0,0.0000,0.0000,90.0000,0.0000,0,2.0,100.00,0.0,0.0,0.0,0.0
377,15.011677,20.620703,3.706000,1,0,6000.0000,-1000.0000,90.0000,0.0000,0,2.0,100.00,0.0,0.0,0.0,0.0
378,18.841272,15.012496,3.790000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
379,18.272789,18.828022,3.790000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
380,42.363458,18.288049,4.398000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
381,17.535514,42.387360,3.860000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
382,15.717942,17.507252,3.447000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
383,15.842304,15.728422,3.640000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
384,16.110201,15.897877,3.662000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
385,16.298675,16.079860,3.662000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
386,19.520667,16.280604,3.499000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
387,23.487047,19.629850,3.611000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
388,20.587050,23.332612,3.656000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
389,13.585625,20.628073,3.530000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
390,14.427713,13.573053,3.370000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
391,14.859603,14.405524,3.570000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
392,21.448861,14.801990,3.438000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,2.0,100.00,0.0,0.0,0.0,0.0
