name,frame,sim_time,yaw
static_000,916,7.039755,0.000000
static_001,918,7.239557,0.000000
static_002,920,7.400165,0.000000
static_003,922,7.560900,0.000000
static_004,924,7.718847,0.000000
static_005,926,7.877277,0.000000
static_006,928,8.037742,0.000000
static_007,930,8.199695,0.000000
static_008,932,8.359777,0.000000
static_009,934,8.521760,0.000000
pan_000,1366,14.551607,-24.839523
pan_001,1368,14.781796,-21.962168
pan_002,1370,14.963179,-19.694874
pan_003,1372,15.125888,-17.661017
pan_004,1374,15.282346,-15.705296
pan_005,1376,15.434258,-13.806395
pan_006,1378,15.585310,-11.918245
pan_007,1380,15.738300,-10.005860
pan_008,1382,15.892455,-8.078931
pan_009,1384,16.047438,-6.141640
pan_010,1386,16.203024,-4.196815
pan_011,1388,16.357350,-2.267737
pan_012,1390,16.511327,-0.343033
pan_013,1392,16.662024,1.540679
pan_014,1394,16.850609,3.898000
pan_015,1396,17.004450,5.821014
pan_016,1398,17.158742,7.749664
pan_017,1400,17.313625,9.685699
pan_018,1402,17.471416,11.658082
pan_019,1404,17.626763,13.599921
pan_020,1406,17.781774,15.537562
pan_021,1408,17.934793,17.450301
pan_022,1410,18.093225,19.430692
pan_023,1412,18.253400,21.432888
pan_024,1414,18.410530,23.397014
pan_025,1416,18.601822,25.000000
pan_026,1418,18.794439,25.000000
pan_027,1420,18.970773,25.000000
pan_028,1422,19.143257,25.000000
pan_029,1424,19.313535,25.000000
pan_030,1426,19.512142,25.000000
pan_031,1428,19.678259,25.000000
walk_end,1564,21.693264,0.000000
