name,frame,sim_time,yaw
static_000,954,7.030296,0.000000
static_001,956,7.237303,0.000000
static_002,958,7.421429,0.000000
static_003,960,7.578802,0.000000
static_004,963,7.736586,0.000000
static_005,965,7.897295,0.000000
static_006,967,8.052514,0.000000
static_007,969,8.237984,0.000000
static_008,971,8.399161,0.000000
static_009,973,8.558422,0.000000
pan_000,1412,14.597842,-24.827653
pan_001,1414,14.786576,-22.468479
pan_002,1416,14.943197,-20.510713
pan_003,1418,15.096425,-18.595366
pan_004,1420,15.250446,-16.670101
pan_005,1422,15.406043,-14.725147
pan_006,1424,15.556221,-12.847918
pan_007,1426,15.708954,-10.938760
pan_008,1428,15.866031,-8.975290
pan_009,1430,16.020176,-7.048481
pan_010,1432,16.173337,-5.133963
pan_011,1434,16.327762,-3.203661
pan_012,1436,16.484037,-1.250218
pan_013,1438,16.641140,0.713574
pan_014,1440,16.797080,2.662826
pan_015,1442,16.956488,4.655425
pan_016,1444,17.113795,6.621762
pan_017,1446,17.272368,8.603918
pan_018,1448,17.430535,10.581006
pan_019,1450,17.591195,12.589255
pan_020,1452,17.752469,14.605189
pan_021,1454,17.940684,16.957869
pan_022,1456,18.126402,19.279340
pan_023,1458,18.277765,21.171378
pan_024,1460,18.455692,23.395473
pan_025,1462,18.604852,25.000000
pan_026,1464,18.753628,25.000000
pan_027,1466,18.904051,25.000000
pan_028,1468,19.056062,25.000000
pan_029,1470,19.208223,25.000000
pan_030,1472,19.362182,25.000000
pan_031,1474,19.512213,25.000000
walk_end,1620,21.524798,0.000000
