name,frame,sim_time,yaw
static_000,932,7.037461,0.000000
static_001,934,7.245122,0.000000
static_002,936,7.432126,0.000000
static_003,938,7.626579,0.000000
static_004,940,7.787834,0.000000
static_005,942,7.984196,0.000000
static_006,944,8.146533,0.000000
static_007,946,8.335137,0.000000
static_008,948,8.499354,0.000000
static_009,950,8.692985,0.000000
pan_000,1388,14.719367,-24.844110
pan_001,1390,14.915645,-22.390627
pan_002,1392,15.074100,-20.409941
pan_003,1394,15.236911,-18.374806
pan_004,1396,15.399814,-16.338512
pan_005,1398,15.561515,-14.317259
pan_006,1400,15.723085,-12.297623
pan_007,1402,15.885572,-10.266538
pan_008,1404,16.050167,-8.209106
pan_009,1406,16.210572,-6.204036
pan_010,1408,16.374873,-4.150276
pan_011,1410,16.571614,-1.691015
pan_012,1412,16.734441,0.344324
pan_013,1414,16.896914,2.375234
pan_014,1416,17.093959,4.838299
pan_015,1418,17.254930,6.850432
pan_016,1420,17.414523,8.845342
pan_017,1422,17.576083,10.864839
pan_018,1424,17.738899,12.900045
pan_019,1426,17.936410,15.368934
pan_020,1428,18.100612,17.421456
pan_021,1430,18.265094,19.477483
pan_022,1432,18.433835,21.586742
pan_023,1434,18.601085,23.677368
pan_024,1436,18.794457,25.000000
pan_025,1438,18.961292,25.000000
pan_026,1440,19.125910,25.000000
pan_027,1442,19.289399,25.000000
pan_028,1444,19.480591,25.000000
pan_029,1446,19.642942,25.000000
pan_030,1448,19.801794,25.000000
pan_031,1450,19.960095,25.000000
walk_end,1598,21.972909,0.000000
