name,frame,sim_time,yaw
static_000,732,7.043417,0.000000
static_001,734,7.248001,0.000000
static_002,736,7.421142,0.000000
static_003,738,7.604708,0.000000
static_004,740,7.772258,0.000000
static_005,742,7.941197,0.000000
static_006,744,8.124205,0.000000
static_007,746,8.304007,0.000000
static_008,748,8.476214,0.000000
static_009,750,8.673848,0.000000
pan_000,1127,14.706125,-24.840579
pan_001,1129,14.896012,-22.466992
pan_002,1131,15.084204,-20.114588
pan_003,1133,15.266965,-17.830076
pan_004,1135,15.444618,-15.609418
pan_005,1137,15.612693,-13.508482
pan_006,1139,15.782392,-11.387235
pan_007,1141,15.954387,-9.237302
pan_008,1143,16.122819,-7.131898
pan_009,1145,16.292198,-5.014669
pan_010,1147,16.495201,-2.477130
pan_011,1149,16.664871,-0.356245
pan_012,1151,16.835610,1.777986
pan_013,1153,17.030063,4.208650
pan_014,1155,17.199991,6.332748
pan_015,1157,17.373164,8.497407
pan_016,1159,17.576217,11.035574
pan_017,1161,17.751088,13.221465
pan_018,1163,17.958373,15.812527
pan_019,1165,18.157753,18.304770
pan_020,1167,18.352727,20.741949
pan_021,1169,18.555005,23.270426
pan_022,1171,18.730943,25.000000
pan_023,1173,18.935297,25.000000
pan_024,1175,19.134005,25.000000
pan_025,1177,19.313725,25.000000
pan_026,1179,19.494350,25.000000
pan_027,1181,19.704890,25.000000
pan_028,1183,19.908261,25.000000
pan_029,1185,20.081008,25.000000
pan_030,1187,20.254346,25.000000
pan_031,1189,20.427590,25.000000
walk_end,1315,22.435243,0.000000
