frame,wall_ms,sim_ms,gpu_ms,phase,shot_requested,x,y,z,yaw,ready,aa,screen_percentage,motion_blur_quality,dynamic_res,vsync,frame_cap
358,24.410975,274.490402,7.476000,1,0,0.0000,0.0000,88.0000,0.0000,0,4.0,100.00,0.0,0.0,0.0,0.0
359,15.849170,24.418816,7.476000,1,0,0.0000,0.0000,90.0000,0.0000,0,4.0,100.00,0.0,0.0,0.0,0.0
360,17.284743,15.850969,6.602000,1,0,0.0000,0.0000,90.0000,0.0000,0,4.0,100.00,0.0,0.0,0.0,0.0
361,18.809258,17.387436,6.602000,1,0,0.0000,0.0000,90.0000,0.0000,0,4.0,100.00,0.0,0.0,0.0,0.0
362,19.511494,18.743956,6.960000,1,0,6000.0000,-1000.0000,90.0000,0.0000,0,4.0,100.00,0.0,0.0,0.0,0.0
363,20.752892,19.501324,6.993000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
364,17.023897,20.809413,6.993000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
365,20.013006,17.092379,8.253000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
366,17.158010,19.986944,6.920000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
367,16.315481,17.139030,6.241000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
368,18.061400,16.254419,6.594000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
369,16.718921,18.055891,6.734000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
370,14.660922,16.736751,6.419000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
371,15.233488,14.634453,6.300000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
372,13.849434,15.315798,6.398000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
373,13.945497,13.777554,6.633000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
374,15.104463,13.988308,6.649000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
375,14.552492,15.053482,6.566000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
376,14.406657,14.563871,6.464000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
377,14.233424,14.424238,6.571000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
378,15.397510,14.158322,6.568000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
379,13.953557,15.471181,6.537000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
380,13.618581,13.927037,6.576000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
381,13.935366,13.633901,6.229000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
382,15.262177,13.940507,6.058000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
383,14.608452,15.239126,6.138000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
384,14.483320,14.650793,6.259000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
385,14.485879,14.324996,6.182000,1,0,6000.0000,-1000.0000,90.0000,0.0000,1,4.0,100.00,0.0,0.0,0.0,0.0
