name,frame,sim_time,yaw
static_000,1489,7.028591,0.000000
static_001,1491,7.437869,0.000000
static_002,1494,7.589782,0.000000
static_003,1496,7.740269,0.000000
static_004,1500,7.892614,0.000000
static_005,1502,8.051048,0.000000
static_006,1504,8.201687,0.000000
static_007,1507,8.354489,0.000000
static_008,1509,8.542960,0.000000
static_009,1512,8.694812,0.000000
pan_000,1984,14.723667,-24.846363
pan_001,1986,14.903004,-22.604650
pan_002,1988,15.051744,-20.745404
pan_003,1990,15.199020,-18.904446
pan_004,1992,15.346003,-17.067160
pan_005,1994,15.492751,-15.232806
pan_006,1996,15.640732,-13.383052
pan_007,1998,15.791255,-11.501509
pan_008,2000,15.939305,-9.650886
pan_009,2002,16.092313,-7.738287
pan_010,2004,16.242825,-5.856887
pan_011,2006,16.396728,-3.933103
pan_012,2008,16.546300,-2.063452
pan_013,2010,16.695816,-0.194501
pan_014,2012,16.850042,1.733325
pan_015,2014,17.000936,3.619505
pan_016,2016,17.149791,5.480194
pan_017,2018,17.301356,7.374755
pan_018,2020,17.457424,9.325602
pan_019,2022,17.607481,11.201310
pan_020,2024,17.757740,13.079548
pan_021,2026,17.909883,14.981341
pan_022,2028,18.060046,16.858370
pan_023,2030,18.241388,19.125148
pan_024,2032,18.392654,21.015972
pan_025,2034,18.543979,22.907536
pan_026,2036,18.692940,24.769552
pan_027,2038,18.844530,25.000000
pan_028,2040,18.993879,25.000000
pan_029,2042,19.141229,25.000000
pan_030,2044,19.289979,25.000000
pan_031,2046,19.439634,25.000000
walk_end,2204,21.451414,0.000000
