name,frame,sim_time,yaw
static_000,1360,7.027931,0.000000
static_001,1362,7.438831,0.000000
static_002,1364,7.595258,0.000000
static_003,1366,7.760952,0.000000
static_004,1369,7.916770,0.000000
static_005,1371,8.072249,0.000000
static_006,1374,8.228444,0.000000
static_007,1376,8.389078,0.000000
static_008,1378,8.542398,0.000000
static_009,1380,8.703223,0.000000
pan_000,1854,14.740953,-24.841550
pan_001,1856,14.926980,-22.516213
pan_002,1858,15.075939,-20.654228
pan_003,1860,15.214898,-18.917238
pan_004,1862,15.354986,-17.166142
pan_005,1864,15.500054,-15.352786
pan_006,1866,15.640325,-13.599405
pan_007,1868,15.778835,-11.868030
pan_008,1870,15.929730,-9.981844
pan_009,1872,16.074587,-8.171125
pan_010,1874,16.220831,-6.343076
pan_011,1876,16.365856,-4.530268
pan_012,1878,16.514340,-2.674214
pan_013,1880,16.661612,-0.833322
pan_014,1882,16.811467,1.039868
pan_015,1884,16.962175,2.923720
pan_016,1886,17.111022,4.784306
pan_017,1888,17.269631,6.766922
pan_018,1890,17.417815,8.619219
pan_019,1892,17.570179,10.523778
pan_020,1894,17.722680,12.430037
pan_021,1896,17.874994,14.333961
pan_022,1898,18.031525,16.290597
pan_023,1900,18.182328,18.175639
pan_024,1902,18.343273,20.187449
pan_025,1904,18.500031,22.146925
pan_026,1906,18.655945,24.095845
pan_027,1908,18.812594,25.000000
pan_028,1910,18.968232,25.000000
pan_029,1912,19.133972,25.000000
pan_030,1914,19.280565,25.000000
pan_031,1916,19.433476,25.000000
walk_end,2085,21.443359,0.000000
