name,frame,sim_time,yaw
static_000,1260,7.030866,0.000000
static_001,1262,7.442072,0.000000
static_002,1264,7.595137,0.000000
static_003,1267,7.751863,0.000000
static_004,1269,7.909013,0.000000
static_005,1271,8.060972,0.000000
static_006,1273,8.211223,0.000000
static_007,1275,8.363210,0.000000
static_008,1277,8.515404,0.000000
static_009,1279,8.666008,0.000000
pan_000,1755,14.691695,-24.865591
pan_001,1757,14.852885,-22.850717
pan_002,1759,14.998186,-21.034449
pan_003,1761,15.147878,-19.163307
pan_004,1763,15.294529,-17.330164
pan_005,1765,15.445078,-15.448310
pan_006,1767,15.592742,-13.602510
pan_007,1769,15.735489,-11.818172
pan_008,1771,15.877725,-10.040216
pan_009,1773,16.024440,-8.206276
pan_010,1775,16.177786,-6.289460
pan_011,1777,16.321607,-4.491688
pan_012,1779,16.468438,-2.656302
pan_013,1781,16.612739,-0.852544
pan_014,1783,16.760576,0.995416
pan_015,1785,16.905046,2.801300
pan_016,1787,17.050861,4.623986
pan_017,1789,17.198298,6.466941
pan_018,1791,17.344622,8.295996
pan_019,1793,17.491448,10.131317
pan_020,1795,17.638141,11.964986
pan_021,1797,17.783830,13.786091
pan_022,1799,17.931341,15.629988
pan_023,1801,18.076655,17.446404
pan_024,1803,18.221928,19.262326
pan_025,1805,18.369732,21.109873
pan_026,1807,18.518580,22.970476
pan_027,1809,18.666947,24.825061
pan_028,1811,18.814776,25.000000
pan_029,1813,18.961752,25.000000
pan_030,1815,19.107642,25.000000
pan_031,1817,19.255219,25.000000
walk_end,1965,21.273525,0.000000
