name,frame,sim_time,yaw
static_000,1272,7.031016,0.000000
static_001,1274,7.444055,0.000000
static_002,1276,7.597961,0.000000
static_003,1278,7.751314,0.000000
static_004,1280,7.908067,0.000000
static_005,1282,8.093230,0.000000
static_006,1284,8.245286,0.000000
static_007,1286,8.395830,0.000000
static_008,1288,8.546176,0.000000
static_009,1291,8.702910,0.000000
pan_000,1781,14.729914,-24.838920
pan_001,1783,14.920114,-22.461427
pan_002,1785,15.073422,-20.545072
pan_003,1787,15.226839,-18.627358
pan_004,1789,15.381294,-16.696678
pan_005,1791,15.534168,-14.785749
pan_006,1793,15.686404,-12.882802
pan_007,1795,15.840601,-10.955331
pan_008,1797,15.999370,-8.970721
pan_009,1799,16.154848,-7.027250
pan_010,1801,16.315392,-5.020445
pan_011,1803,16.477916,-2.988894
pan_012,1805,16.633770,-1.040718
pan_013,1807,16.794546,0.968975
pan_014,1809,16.953087,2.950744
pan_015,1811,17.106304,4.865952
pan_016,1813,17.261919,6.811143
pan_017,1815,17.419067,8.775484
pan_018,1817,17.574211,10.714793
pan_019,1819,17.727465,12.630469
pan_020,1821,17.881460,14.555402
pan_021,1823,18.040411,16.542291
pan_022,1825,18.193846,18.460232
pan_023,1827,18.352173,20.439319
pan_024,1829,18.506113,22.363560
pan_025,1831,18.661410,24.304778
pan_026,1833,18.816940,25.000000
pan_027,1835,18.972539,25.000000
pan_028,1837,19.127333,25.000000
pan_029,1839,19.285254,25.000000
pan_030,1841,19.442848,25.000000
pan_031,1843,19.601090,25.000000
walk_end,1983,21.614347,0.000000
