frame,phase,mounted,alive,enabled,stable,visible,blockout,seated,pelvis_error,feet_error,hands_error,length_error,root_error,wheel_visible,wheel_collision,action_weight,steering,grip_error,wheel_expected
599,1,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0.000000,0.000000,0.000000,1
600,1,0,1,0,0,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0.366691,0.000000,0.000000,1
601,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0.814152,0.000000,0.000000,1
602,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,1.210209,0.000000,0.000000,1
603,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,1.661455,0.000000,0.000000,1
604,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,2.071619,0.000000,0.000000,1
605,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,2.438316,0.000000,0.000000,1
606,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,2.765007,0.000000,0.000000,1
607,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,2.865017,0.000000,0.000000,1
608,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,2.965023,0.000000,0.000000,1
609,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
610,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
611,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
612,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
613,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
614,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
615,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
616,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
617,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
618,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
619,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
620,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
621,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
622,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
623,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
624,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
625,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
626,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
627,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
628,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
629,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
630,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
631,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
632,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
633,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
634,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
635,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
636,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
637,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
638,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
639,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
640,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
641,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
642,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
643,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
644,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
645,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
646,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
647,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
648,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
649,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
650,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
651,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
652,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
653,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
654,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
655,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
656,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
657,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
658,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
659,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
660,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
661,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
662,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
663,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
664,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
665,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
666,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
667,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
668,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
669,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
670,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
671,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
672,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
673,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
674,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
675,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
676,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
677,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
678,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
679,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
680,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
681,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
682,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
683,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
684,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
685,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
686,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
687,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
688,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
689,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
690,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
691,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
692,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
693,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
694,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
695,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
696,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
697,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
698,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
699,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
700,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
701,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
702,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
703,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
704,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
705,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
706,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
707,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
708,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
709,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
710,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
711,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
712,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
713,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
714,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
715,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
716,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
717,1,0,1,0,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,3.000000,0.000000,0.000000,1
