frame,wall_seconds,wall_ms,sim_ms,phase,x,y,z,yaw,roll,pitch,speed,velocity,contacts,travel,spin,throttle,steering,brake,held,dormant,health,impacts,driver,player_health,ammo,audio,resident_bytes
599,0.276345635,13.817047,235.551669,1,2800.0000,-450.0000,108.1046,0.0000,0.0000,0.0000,0.0000,48.7151,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3076210688
600,0.299146223,22.800588,16.667767,1,2800.0000,-450.0000,107.0231,0.0000,0.0000,0.0000,0.0000,64.8868,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3077058560
601,0.317268931,18.122708,20.339136,1,2800.0000,-450.0000,105.3032,0.0000,0.0000,0.0000,0.0000,84.5604,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3079495680
602,0.337724680,20.455749,18.002616,1,2800.0000,-450.0000,103.4682,0.0000,0.0000,0.0000,0.0000,101.9270,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3079733248
603,0.356217626,18.492946,20.511149,1,2800.0000,-450.0000,100.9730,0.0000,0.0000,0.0000,0.0000,121.6525,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3079954432
604,0.372626008,16.408382,18.643840,1,2800.0000,-450.0000,98.3716,0.0000,0.0000,0.0000,0.0000,139.5321,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080015872
605,0.385904953,13.278945,16.668048,1,2800.0000,-450.0000,95.7801,0.0000,0.0000,0.0000,0.0000,155.4771,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080327168
606,0.400607848,14.702895,16.668686,1,2800.0000,-450.0000,93.4035,0.0000,0.0000,0.0000,0.0000,142.5788,4,57.7801,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080441856
607,0.414814992,14.207144,16.668198,1,2800.0000,-450.0000,91.2584,0.0000,0.0000,0.0000,0.0000,128.6965,4,55.4035,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080519680
608,0.433414842,18.599850,16.667678,1,2800.0000,-450.0000,89.3532,0.0000,0.0000,0.0000,0.0000,114.3042,4,53.2584,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080597504
609,0.445944500,12.529658,16.986654,1,2800.0000,-450.0000,87.6625,0.0000,0.0000,0.0000,0.0000,99.5300,4,51.3532,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080634368
610,0.463911395,17.966895,16.667616,1,2800.0000,-450.0000,86.2411,0.0000,0.0000,0.0000,-0.0000,85.2771,4,49.6625,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080691712
611,0.479023459,15.112064,16.668008,1,2800.0000,-450.0000,85.0487,0.0000,0.0000,0.0000,-0.0000,71.5387,4,48.2411,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080757248
612,0.498899605,19.876146,16.668818,1,2800.0000,-450.0000,84.0731,0.0000,0.0000,0.0000,-0.0000,58.5321,4,47.0487,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080830976
613,0.517705908,18.806303,16.666996,1,2800.0000,-450.0000,83.2993,0.0000,0.0000,0.0000,0.0000,46.4243,4,46.0731,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080937472
614,0.529212294,11.506386,16.667548,1,2800.0000,-450.0000,82.7104,0.0000,0.0000,0.0000,0.0000,35.3302,4,45.2993,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3080962048
615,0.548202961,18.990667,16.669348,1,2800.0000,-450.0000,82.2883,0.0000,0.0000,0.0000,0.0000,25.3240,4,44.7104,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081007104
616,0.565767948,17.564987,16.667446,1,2800.0000,-450.0000,82.0142,0.0000,0.0000,0.0000,0.0000,16.4461,4,44.2883,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081068544
617,0.578674375,12.906427,16.678998,1,2800.0000,-450.0000,81.8691,0.0000,0.0000,0.0000,0.0000,8.6964,4,44.0142,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081121792
618,0.599022531,20.348156,16.668468,1,2800.0000,-450.0000,81.8347,0.0000,0.0000,0.0000,0.0000,2.0667,4,43.8691,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081179136
619,0.616566447,17.543916,16.668376,1,2800.0000,-450.0000,81.8929,0.0000,0.0000,0.0000,0.0000,3.4900,4,43.8347,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081236480
620,0.632444158,15.877711,16.667458,1,2800.0000,-450.0000,82.0267,0.0000,0.0000,0.0000,0.0000,8.0313,4,43.8929,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081285632
621,0.649184196,16.740038,16.668968,1,2800.0000,-450.0000,82.2206,0.0000,0.0000,0.0000,0.0000,11.6285,4,44.0267,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081363456
622,0.666883846,17.699650,16.667756,1,2800.0000,-450.0000,82.4599,0.0000,0.0000,0.0000,0.0000,14.3605,4,44.2206,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081416704
623,0.681452058,14.568212,16.687878,1,2800.0000,-450.0000,82.7322,0.0000,0.0000,0.0000,0.0000,16.3154,4,44.4599,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081465856
624,0.698269808,16.817750,16.668878,1,2800.0000,-450.0000,83.0252,0.0000,0.0000,0.0000,0.0000,17.5761,4,44.7322,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081502720
625,0.717679635,19.409827,16.668627,1,2800.0000,-450.0000,83.3291,0.0000,0.0000,0.0000,-0.0000,18.2342,4,45.0252,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081539584
626,0.735650550,17.970915,16.667287,1,2800.0000,-450.0000,83.6354,0.0000,0.0000,0.0000,-0.0000,18.3770,4,45.3291,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081584640
627,0.748195608,12.545058,16.669128,1,2800.0000,-450.0000,83.9369,0.0000,0.0000,0.0000,-0.0000,18.0883,4,45.6354,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081621504
628,0.765162002,16.966394,16.667506,1,2800.0000,-450.0000,84.2277,0.0000,0.0000,0.0000,-0.0000,17.4472,4,45.9369,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081666560
629,0.781427891,16.265889,16.667668,1,2800.0000,-450.0000,84.5032,0.0000,0.0000,0.0000,-0.0000,16.5276,4,46.2277,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081723904
630,0.798506828,17.078937,16.668338,1,2800.0000,-450.0000,84.7598,0.0000,0.0000,0.0000,-0.0000,15.3967,4,46.5032,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081768960
631,0.814315496,15.808668,16.668946,1,2800.0000,-450.0000,84.9951,0.0000,0.0000,0.0000,-0.0000,14.1153,4,46.7598,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081834496
632,0.832123848,17.808352,16.668508,1,2800.0000,-450.0000,85.2074,0.0000,0.0000,0.0000,-0.0000,12.7372,4,46.9951,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081875456
633,0.846905795,14.781947,16.667828,1,2800.0000,-450.0000,85.3959,0.0000,0.0000,0.0000,-0.0000,11.3093,4,47.2074,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081895936
634,0.863728255,16.822460,16.667836,1,2800.0000,-450.0000,85.5605,0.0000,0.0000,0.0000,-0.0000,9.8717,4,47.3959,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3081949184
635,0.881287621,17.559366,16.667638,1,2800.0000,-450.0000,85.7014,0.0000,0.0000,0.0000,-0.0000,8.4578,4,47.5605,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082002432
636,0.895070597,13.782976,16.667167,1,2800.0000,-450.0000,85.8197,0.0000,0.0000,0.0000,-0.0000,7.0951,4,47.7014,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3082039296
