frame,wall_seconds,wall_ms,sim_ms,phase,x,y,z,yaw,roll,pitch,speed,velocity,contacts,travel,spin,throttle,steering,brake,held,dormant,health,impacts,driver,player_health,ammo,audio,resident_bytes
600,0.267139999,14.586732,225.979908,1,2800.0000,-450.0000,108.1046,0.0000,0.0000,0.0000,0.0000,48.7147,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3090616320
601,0.292337828,25.197829,16.667498,1,2800.0000,-450.0000,107.0231,0.0000,0.0000,0.0000,0.0000,64.8863,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3091271680
602,0.309288281,16.950453,23.505992,1,2800.0000,-450.0000,104.9637,0.0000,0.0000,0.0000,0.0000,87.6121,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3092160512
603,0.329286259,19.997978,16.943963,1,2800.0000,-450.0000,103.2024,0.0000,0.0000,0.0000,0.0000,103.9523,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3092344832
604,0.346953538,17.667279,19.940807,1,2800.0000,-450.0000,100.7471,0.0000,0.0000,0.0000,0.0000,123.1249,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3092504576
605,0.363637085,16.683547,17.695599,1,2800.0000,-450.0000,98.2681,0.0000,0.0000,0.0000,0.0000,140.0938,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3092692992
606,0.381525239,17.888154,16.679217,1,2800.0000,-450.0000,95.6653,0.0000,0.0000,0.0000,0.0000,156.0480,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3092774912
607,0.396114430,14.589191,17.803061,1,2800.0000,-450.0000,93.1372,0.0000,0.0000,0.0000,0.0000,142.0083,4,57.6653,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3092852736
608,0.411204383,15.089953,16.667147,1,2800.0000,-450.0000,91.0059,0.0000,0.0000,0.0000,-0.0000,127.8689,4,55.1372,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3092938752
609,0.425015169,13.810786,16.667446,1,2800.0000,-450.0000,89.1178,0.0000,0.0000,0.0000,-0.0000,113.2808,4,53.0060,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3093041152
