name,frame,sim_time,yaw
static_000,1312,7.045244,0.000000
static_001,1314,7.459210,0.000000
static_002,1316,7.654985,0.000000
static_003,1318,7.821954,0.000000
static_004,1321,7.979075,0.000000
static_005,1323,8.143687,0.000000
static_006,1325,8.301580,0.000000
static_007,1327,8.466181,0.000000
static_008,1329,8.623534,0.000000
static_009,1331,8.781599,0.000000
pan_000,1787,14.818627,-24.824772
pan_001,1789,15.013567,-22.388030
pan_002,1791,15.170821,-20.422349
pan_003,1793,15.326310,-18.478740
pan_004,1795,15.482621,-16.524852
pan_005,1797,15.640459,-14.551879
pan_006,1799,15.798027,-12.582278
pan_007,1801,15.958454,-10.576941
pan_008,1803,16.114267,-8.629275
pan_009,1805,16.273990,-6.632740
pan_010,1807,16.435790,-4.610240
pan_011,1809,16.596325,-2.603556
pan_012,1811,16.788623,-0.199832
pan_013,1813,16.946155,1.769327
pan_014,1815,17.108030,3.792763
pan_015,1817,17.267654,5.788059
pan_016,1819,17.427735,7.789076
pan_017,1821,17.590124,9.818933
pan_018,1823,17.750267,11.820729
pan_019,1825,17.905685,13.763443
pan_020,1827,18.070998,15.829859
pan_021,1829,18.232260,17.845637
pan_022,1831,18.392020,19.842632
pan_023,1833,18.550073,21.818294
pan_024,1835,18.713039,23.855378
pan_025,1837,18.875324,25.000000
pan_026,1839,19.036755,25.000000
pan_027,1841,19.202010,25.000000
pan_028,1843,19.366220,25.000000
pan_029,1845,19.529372,25.000000
pan_030,1847,19.692153,25.000000
pan_031,1849,19.850020,25.000000
walk_end,2002,21.862202,0.000000
