name,frame,sim_time,yaw
static_000,1341,7.033040,0.000000
static_001,1343,7.443044,0.000000
static_002,1345,7.595412,0.000000
static_003,1347,7.751279,0.000000
static_004,1349,7.907684,0.000000
static_005,1351,8.064882,0.000000
static_006,1353,8.222954,0.000000
static_007,1355,8.378993,0.000000
static_008,1357,8.536211,0.000000
static_009,1359,8.693276,0.000000
pan_000,1821,14.719617,-24.838984
pan_001,1823,14.907984,-22.484394
pan_002,1825,15.057214,-20.619021
pan_003,1827,15.208207,-18.731611
pan_004,1829,15.357658,-16.863470
pan_005,1831,15.542412,-14.554050
pan_006,1833,15.692433,-12.678792
pan_007,1835,15.843029,-10.796335
pan_008,1837,15.992182,-8.931923
pan_009,1839,16.142361,-7.054692
pan_010,1841,16.292603,-5.176661
pan_011,1843,16.441209,-3.319091
pan_012,1845,16.592693,-1.425534
pan_013,1847,16.742318,0.444772
pan_014,1849,16.893778,2.338031
pan_015,1851,17.048797,4.275769
pan_016,1853,17.203095,6.204492
pan_017,1855,17.360873,8.176708
pan_018,1857,17.522092,10.191949
pan_019,1859,17.675412,12.108456
pan_020,1861,17.835259,14.106535
pan_021,1863,17.984736,15.975008
pan_022,1865,18.141020,17.928553
pan_023,1867,18.298986,19.903127
pan_024,1869,18.457642,21.886324
pan_025,1871,18.617036,23.878757
pan_026,1873,18.773709,25.000000
pan_027,1875,18.931133,25.000000
pan_028,1877,19.093083,25.000000
pan_029,1879,19.253134,25.000000
pan_030,1881,19.410385,25.000000
pan_031,1883,19.566756,25.000000
walk_end,2037,21.585439,0.000000
