frame,wall_seconds,wall_ms,sim_ms,phase,x,y,z,yaw,roll,pitch,speed,velocity,contacts,travel,spin,throttle,steering,brake,held,dormant,health,impacts,driver,player_health,ammo,audio,resident_bytes
599,0.293305806,20.035896,246.646155,1,2800.0000,-450.0000,108.1046,0.0000,0.0000,0.0000,0.0000,48.7157,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3066642432
600,0.312711178,19.405372,20.300721,1,2800.0000,-450.0000,106.7160,0.0000,0.0000,0.0000,0.0000,68.4015,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3067088896
601,0.329416844,16.705666,19.218878,1,2800.0000,-450.0000,105.0442,0.0000,0.0000,0.0000,0.0000,86.9845,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3069038592
602,0.345608958,16.192114,16.733767,1,2800.0000,-450.0000,103.3186,0.0000,0.0000,0.0000,0.0000,103.1241,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3069304832
603,0.362517527,16.908569,16.667344,1,2800.0000,-450.0000,101.3325,0.0000,0.0000,0.0000,0.0000,119.1594,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3069579264
604,0.377269601,14.752074,16.667835,1,2800.0000,-450.0000,99.0797,0.0000,0.0000,0.0000,0.0000,135.1551,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3070279680
605,0.391901772,14.632171,16.667794,1,2800.0000,-450.0000,96.5611,0.0000,0.0000,0.0000,0.0000,151.1108,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3070627840
606,0.406326429,14.424657,16.667924,1,2800.0000,-450.0000,94.2277,0.0000,0.0000,0.0000,0.0000,139.9888,4,58.5611,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3070717952
607,0.420628503,14.302074,16.668305,1,2800.0000,-450.0000,92.1002,0.0000,0.0000,0.0000,-0.0000,127.6398,4,56.2277,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3070779392
608,0.438369380,17.740877,16.667124,1,2800.0000,-450.0000,90.1910,0.0000,0.0000,0.0000,-0.0000,114.5460,4,54.1002,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3070885888
609,0.452102351,13.732971,16.667135,1,2800.0000,-450.0000,88.5056,0.0000,0.0000,0.0000,-0.0000,101.1226,4,52.1910,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3071107072
610,0.467263235,15.160884,16.668974,1,2800.0000,-450.0000,87.0434,0.0000,0.0000,0.0000,-0.0000,87.7213,4,50.5056,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3071225856
611,0.483624492,16.361257,16.667854,1,2800.0000,-450.0000,85.7994,0.0000,0.0000,0.0000,-0.0000,74.6376,4,49.0434,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3071283200
612,0.502537074,18.912582,16.667965,1,2800.0000,-450.0000,84.7642,0.0000,0.0000,0.0000,-0.0000,62.1072,4,47.7994,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3071328256
613,0.520344823,17.807749,16.668704,1,2800.0000,-450.0000,83.9255,0.0000,0.0000,0.0000,-0.0000,50.3140,4,46.7642,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3071393792
614,0.538586781,18.241958,16.668034,1,2800.0000,-450.0000,83.2688,0.0000,0.0000,0.0000,-0.0000,39.3960,4,45.9255,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3071426560
615,0.555256545,16.669764,16.667485,1,2800.0000,-450.0000,82.7780,0.0000,0.0000,0.0000,-0.0000,29.4475,4,45.2688,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3071475712
616,0.570486989,15.230444,16.667334,1,2800.0000,-450.0000,82.4359,0.0000,0.0000,0.0000,0.0000,20.5251,4,44.7780,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3071545344
617,0.585585920,15.098931,16.667524,1,2800.0000,-450.0000,82.2250,0.0000,0.0000,0.0000,0.0000,12.6534,4,44.4359,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3071578112
618,0.601438417,15.852497,16.666765,1,2800.0000,-450.0000,82.1278,0.0000,0.0000,0.0000,0.0000,5.8298,4,44.2250,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3071586304
619,0.621713078,20.274661,16.667554,1,2800.0000,-450.0000,82.1274,0.0000,0.0000,0.0000,0.0000,0.0283,4,44.1279,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3071688704
620,0.636790628,15.077550,16.667185,1,2800.0000,-450.0000,82.2073,0.0000,0.0000,0.0000,0.0000,4.7947,4,44.1274,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3071725568
621,0.652891091,16.100463,16.667774,1,2800.0000,-450.0000,82.3523,0.0000,0.0000,0.0000,0.0000,8.6977,4,44.2073,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3071782912
622,0.668781639,15.890548,16.667574,1,2800.0000,-450.0000,82.5481,0.0000,0.0000,0.0000,0.0000,11.7491,4,44.3523,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3071823872
623,0.686466015,17.684376,16.667305,1,2800.0000,-450.0000,82.7819,0.0000,0.0000,0.0000,0.0000,14.0251,4,44.5481,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3071860736
624,0.703426766,16.960751,16.667314,1,2800.0000,-450.0000,83.0420,0.0000,0.0000,0.0000,0.0000,15.6060,4,44.7819,-0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,3071901696
