frame,phase,rig_visible,dormant,updates,wheel_error,axle_error,spin_error,link_error,root_error,paint_error,body_visible,cosmetic_collision,rigid_visible,rigid_center_error,rigid_axle_error,rigid_spin_error,rigid_radius_error,rigid_body_error
599,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
600,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
601,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
602,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
603,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
604,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
605,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
606,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
607,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
608,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
609,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
610,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
611,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
612,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
613,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
