frame,wall_seconds,wall_ms,sim_ms,phase,active,spawned,rivals,infected,health_sum,paths,blocked,overlap_pairs,resident_bytes
642,0.448624249,58.968082,379.372754,1,0,0,0,0,0.000,0,0,0,3516727296
643,0.467709860,19.085611,58.906311,1,0,0,0,0,0.000,0,0,0,3517571072
644,0.473582836,5.872976,19.045011,1,0,0,0,0,0.000,0,0,0,3517652992
645,0.491048094,17.465258,5.821615,1,0,0,0,0,0.000,0,0,0,3517796352
646,0.508294135,17.246041,17.484777,1,0,0,0,0,0.000,0,0,0,3518005248
647,0.529294998,21.000863,17.455557,1,0,0,0,0,0.000,0,0,0,3518423040
648,0.545609060,16.314062,20.974083,1,0,0,0,0,0.000,0,0,0,3518902272
649,0.559494400,13.885340,16.279631,1,0,0,0,0,0.000,0,0,0,3519156224
650,0.574248728,14.754328,13.874219,1,0,0,0,0,0.000,0,0,0,3519303680
651,0.590048289,15.799561,14.783478,1,0,0,0,0,0.000,0,0,0,3519352832
652,0.605494852,15.446563,15.810861,1,0,0,0,0,0.000,0,0,0,3519561728
653,0.622252784,16.757932,15.418964,1,0,0,0,0,0.000,0,0,0,3519803392
654,0.637884121,15.631337,16.636698,1,0,0,0,0,0.000,0,0,0,3520020480
655,0.652761252,14.877131,15.609017,1,0,0,0,0,0.000,0,0,0,3520741376
656,0.667477159,14.715907,14.908322,1,0,0,0,0,0.000,0,0,0,3520827392
657,0.681839359,14.362200,14.682776,1,0,0,0,0,0.000,0,0,0,3520897024
658,0.695564355,13.724996,14.351020,1,0,0,0,0,0.000,0,0,0,3520937984
659,0.708991605,13.427250,14.129985,1,0,0,0,0,0.000,0,0,0,3521015808
660,0.722144579,13.152974,13.271626,1,0,0,0,0,0.000,0,0,0,3521044480
661,0.735856815,13.712236,13.101712,1,0,0,0,0,0.000,0,0,0,3521093632
662,0.751526042,15.669227,13.706816,1,0,0,0,0,0.000,0,0,0,3521146880
663,0.766004975,14.478933,15.655198,1,0,0,0,0,0.000,0,0,0,3521187840
664,0.781243793,15.238818,14.492652,1,0,0,0,0,0.000,0,0,0,3521241088
665,0.794613121,13.369328,15.142707,1,0,0,0,0,0.000,0,0,0,3521269760
666,0.806114380,11.501259,13.274667,1,0,0,0,0,0.000,0,0,0,3521277952
667,0.819572310,13.457930,11.499707,1,0,0,0,0,0.000,0,0,0,3521331200
668,0.831601189,12.028879,13.686286,1,0,0,0,0,0.000,0,0,0,3521372160
669,0.843583258,11.982069,11.976288,1,0,0,0,0,0.000,0,0,0,3521372160
670,0.856220201,12.636943,12.028890,1,0,0,0,0,0.000,0,0,0,3521409024
671,0.867573285,11.353084,12.565480,1,0,0,0,0,0.000,0,0,0,3521458176
672,0.879712917,12.139632,11.351246,1,0,0,0,0,0.000,0,0,0,3521462272
673,0.890726315,11.013398,12.111931,1,0,0,0,0,0.000,0,0,0,3521499136
674,0.901825165,11.098850,11.027238,1,0,0,0,0,0.000,0,0,0,3521556480
675,0.914841346,13.016181,11.112109,1,0,0,0,0,0.000,0,0,0,3521626112
676,0.926698801,11.857455,13.072312,1,0,0,0,0,0.000,0,0,0,3521662976
677,0.940785916,14.087115,11.762914,1,0,0,0,0,0.000,0,0,0,3521716224
678,0.954408889,13.622973,14.136985,1,0,0,0,0,0.000,0,0,0,3521867776
679,0.969014764,14.605875,13.575183,1,0,0,0,0,0.000,0,0,0,3521925120
680,0.983134909,14.120145,14.657236,1,0,0,0,0,0.000,0,0,0,3521925120
681,0.997772554,14.637645,14.085414,1,0,0,0,0,0.000,0,0,0,3521957888
682,1.012471851,14.699297,14.733888,1,0,0,0,0,0.000,0,0,0,3522023424
683,1.026533645,14.061794,14.642135,1,0,0,0,0,0.000,0,0,0,3522056192
684,1.040759311,14.225666,14.052684,1,0,0,0,0,0.000,0,0,0,3522093056
685,1.054967028,14.207717,14.267058,1,0,0,0,0,0.000,0,0,0,3522134016
686,1.072502426,17.535398,14.224586,1,0,0,0,0,0.000,0,0,0,3522162688
687,1.086740393,14.237967,17.430786,1,0,0,0,0,0.000,0,0,0,3522170880
688,1.100709284,13.968891,14.185447,1,0,0,0,0,0.000,0,0,0,3522228224
689,1.115166257,14.456973,13.962221,1,0,0,0,0,0.000,0,0,0,3522277376
690,1.130422646,15.256389,14.451121,1,0,0,0,0,0.000,0,0,0,3522306048
691,1.144348956,13.926310,15.253509,1,0,0,0,0,0.000,0,0,0,3522338816
692,1.158824208,14.475252,13.930641,1,0,0,0,0,0.000,0,0,0,3522367488
693,1.173147898,14.323690,14.462632,1,0,0,0,0,0.000,0,0,0,3522371584
694,1.188665072,15.517174,14.368130,1,0,0,0,0,0.000,0,0,0,3522408448
695,1.203008282,14.343210,15.479384,1,0,0,0,0,0.000,0,0,0,3522449408
696,1.217289720,14.281438,14.353099,1,0,0,0,0,0.000,0,0,0,3522482176
697,1.231339163,14.049443,14.271208,1,0,0,0,0,0.000,0,0,0,3522514944
698,1.245444977,14.105814,14.044443,1,0,0,0,0,0.000,0,0,0,3522555904
699,1.259275625,13.830648,14.123515,1,0,0,0,0,0.000,0,0,0,3522555904
700,1.273414230,14.138605,13.825728,1,0,0,0,0,0.000,0,0,0,3522596864
701,1.287218138,13.803908,14.154735,1,0,0,0,0,0.000,0,0,0,3522629632
702,1.301586568,14.368430,13.781788,1,0,0,0,0,0.000,0,0,0,3522662400
703,1.316158443,14.571875,14.373169,1,0,0,0,0,0.000,0,0,0,3522695168
704,1.330329048,14.170605,14.568565,1,0,0,0,0,0.000,0,0,0,3522707456
705,1.345630258,15.301210,14.164965,1,0,0,0,0,0.000,0,0,0,3522723840
706,1.359305153,13.674895,15.330361,1,0,0,0,0,0.000,0,0,0,3522764800
707,1.373674923,14.369770,13.670935,1,0,0,0,0,0.000,0,0,0,3522805760
708,1.388562154,14.887231,14.358609,1,0,0,0,0,0.000,0,0,0,3522838528
709,1.403651090,15.088936,14.891492,1,0,0,0,0,0.000,0,0,0,3522867200
710,1.418505110,14.854020,15.088295,1,0,0,0,0,0.000,0,0,0,3522867200
711,1.435063478,16.558368,14.858891,1,0,0,0,0,0.000,0,0,0,3522920448
712,1.449862406,14.798928,16.587178,1,0,0,0,0,0.000,0,0,0,3522953216
713,1.464293228,14.430822,14.773099,1,0,0,0,0,0.000,0,0,0,3522985984
714,1.479311542,15.018314,14.408000,1,0,0,0,0,0.000,0,0,0,3523014656
715,1.496104204,16.792662,14.996164,1,0,0,0,0,0.000,0,0,0,3523043328
716,1.510360342,14.256138,16.848433,1,0,0,0,0,0.000,0,0,0,3523072000
717,1.525363295,15.002953,14.239977,1,0,0,0,0,0.000,0,0,0,3523108864
718,1.540718246,15.354951,14.983534,1,0,0,0,0,0.000,0,0,0,3523108864
719,1.556050848,15.332602,15.366511,1,0,0,0,0,0.000,0,0,0,3523149824
720,1.570771344,14.720496,15.343931,1,0,0,0,0,0.000,0,0,0,3523178496
721,1.587139468,16.368124,14.728117,1,0,0,0,0,0.000,0,0,0,3523211264
722,1.602195703,15.056235,16.367784,1,0,0,0,0,0.000,0,0,0,3523239936
723,1.617825749,15.630046,15.046574,1,0,0,0,0,0.000,0,0,0,3523272704
724,1.632661350,14.835601,15.626838,1,0,0,0,0,0.000,0,0,0,3523301376
725,1.647823457,15.162107,14.811169,1,0,0,0,0,0.000,0,0,0,3523334144
726,1.662051014,14.227557,15.179958,1,0,0,0,0,0.000,0,0,0,3523334144
727,1.676937464,14.886450,14.267747,1,0,0,0,0,0.000,0,0,0,3523375104
728,1.693039302,16.101838,15.032555,1,0,0,0,0,0.000,0,0,0,3523407872
729,1.707708918,14.669616,16.119527,1,0,0,0,0,0.000,0,0,0,3523440640
730,1.721541897,13.832979,14.757779,1,0,0,0,0,0.000,0,0,0,3523469312
731,1.735918187,14.376290,13.680274,1,0,0,0,0,0.000,0,0,0,3523514368
732,1.750507952,14.589765,14.420112,1,0,0,0,0,0.000,0,0,0,3523547136
733,1.764723918,14.215966,14.486882,1,0,0,0,0,0.000,0,0,0,3523547136
734,1.780688563,15.964645,14.261167,1,0,0,0,0,0.000,0,0,0,3523592192
735,1.794852878,14.164315,15.915984,1,0,0,0,0,0.000,0,0,0,3523620864
736,1.809431943,14.579065,14.208247,1,0,0,0,0,0.000,0,0,0,3523653632
737,1.823217131,13.785188,14.553313,1,0,0,0,0,0.000,0,0,0,3523682304
738,1.840609025,17.391894,13.770728,1,0,0,0,0,0.000,0,0,0,3521617920
739,1.854724050,14.115025,17.597280,1,0,0,0,0,0.000,0,0,0,3521622016
