D02_01_TEST event=fixture_world_reload_requested wall=0.003876 phase=0 waypoint=0 location=V(0) loads=0 unloads=0
D02_01_TEST event=world_ready wall=0.328982 phase=0 waypoint=0 location=V(Z=88.00) loads=0 unloads=0
D02_01_TEST event=initial_shaders_ready wall=1.398294 phase=0 waypoint=0 location=V(Z=90.00) loads=15 unloads=0
D02_01_TEST event=dormancy_active_tick_restore wall=1.399881 phase=0 waypoint=0 location=V(Z=90.00) loads=15 unloads=0
D02_01_TEST event=outward_route wall=1.400180 phase=1 waypoint=0 location=V(Z=90.00) loads=15 unloads=0
D02_01_TEST event=waypoint_reached wall=3.754221 phase=1 waypoint=0 location=V(X=0.05, Y=-726.58, Z=90.00) loads=15 unloads=0
D02_01_TEST event=waypoint_reached wall=11.511823 phase=1 waypoint=1 location=V(X=3925.47, Y=-799.79, Z=90.00) loads=15 unloads=0
D02_01_TEST event=waypoint_reached wall=13.075377 phase=1 waypoint=2 location=V(X=3999.31, Y=-75.01, Z=90.00) loads=15 unloads=0
D02_01_TEST event=waypoint_reached wall=20.814498 phase=1 waypoint=3 location=V(X=7926.75, Y=-0.20, Z=90.00) loads=17 unloads=0
D02_01_TEST event=waypoint_reached wall=25.296824 phase=1 waypoint=4 location=V(X=7999.67, Y=2224.07, Z=90.00) loads=17 unloads=0
D02_01_TEST event=waypoint_reached wall=29.894210 phase=1 waypoint=5 location=V(X=8000.02, Y=79.66, Z=90.00) loads=17 unloads=0
D02_01_TEST event=waypoint_reached wall=34.277499 phase=1 waypoint=6 location=V(X=9930.75, Y=966.07, Z=90.11) loads=19 unloads=3
D02_01_TEST event=waypoint_reached wall=36.609256 phase=1 waypoint=7 location=V(X=9999.26, Y=2122.34, Z=314.47) loads=19 unloads=3
D02_01_TEST event=waypoint_reached wall=38.919720 phase=1 waypoint=8 location=V(X=9999.99, Y=3323.12, Z=490.00) loads=19 unloads=4
D02_01_TEST event=waypoint_reached wall=41.418597 phase=1 waypoint=9 location=V(X=10000.07, Y=2279.58, Z=347.45) loads=20 unloads=4
D02_01_TEST event=waypoint_reached wall=43.742219 phase=1 waypoint=10 location=V(X=10000.00, Y=1072.06, Z=106.11) loads=20 unloads=4
D02_01_TEST event=waypoint_reached wall=45.661548 phase=1 waypoint=11 location=V(X=10000.00, Y=74.95, Z=90.00) loads=20 unloads=4
D02_01_TEST event=waypoint_reached wall=49.545269 phase=1 waypoint=12 location=V(X=11922.63, Y=0.39, Z=90.00) loads=20 unloads=4
D02_01_TEST event=waypoint_reached wall=57.246491 phase=1 waypoint=13 location=V(X=15927.24, Y=0.00, Z=90.00) loads=22 unloads=7
D02_01_TEST event=waypoint_reached wall=63.009569 phase=1 waypoint=14 location=V(X=18923.26, Y=-0.00, Z=90.00) loads=22 unloads=9
D02_01_TEST event=first_unload wall=63.009807 phase=2 waypoint=0 location=V(X=18923.26, Y=-0.00, Z=90.00) loads=22 unloads=9
