frame,wall_seconds,wall_delta_ms,sim_delta_ms,phase,x,y,z,visible_cells,loaded_cells,used_physical_bytes,health,ammo,pressure,safety_holds
698,0.329226797,329.226797,12.022141,0,0.000,0.000,88.000,15,15,3497111552,100.000,60,0.000,2
699,0.385407759,56.180962,317.038253,0,0.000,0.000,88.000,15,15,3497648128,100.000,60,0.000,2
700,0.392019603,6.611844,55.969816,0,0.000,0.000,90.000,15,15,3497766912,100.000,60,0.000,2
701,0.401926608,9.907005,6.521172,0,0.000,0.000,90.000,15,15,3498016768,100.000,60,0.000,2
702,0.421338950,19.412342,9.920886,0,0.000,0.000,90.000,15,15,3498389504,100.000,60,0.000,2
703,0.434512406,13.173456,19.502883,0,0.000,0.000,90.000,15,15,3498803200,100.000,60,0.000,2
704,0.450618646,16.106240,13.076035,0,0.000,0.000,90.000,15,15,3499192320,100.000,60,0.000,2
705,0.466019891,15.401245,16.167501,0,0.000,0.000,90.000,15,15,3499339776,100.000,60,0.000,2
706,0.480767452,14.747561,15.487797,0,0.000,0.000,90.000,15,15,3499360256,100.000,60,0.000,2
707,0.494056621,13.289169,14.788071,0,0.000,0.000,90.000,15,15,3499446272,100.000,60,0.000,2
708,0.507256608,13.199987,13.271309,0,0.000,0.000,90.000,15,15,3499499520,100.000,60,0.000,2
709,0.520898875,13.642267,13.124435,0,0.000,0.000,90.000,15,15,3499577344,100.000,60,0.000,2
710,0.534904319,14.005444,13.607626,0,0.000,0.000,90.000,15,15,3499659264,100.000,60,0.000,2
711,0.547921222,13.016903,14.198218,0,0.000,0.000,90.000,15,15,3499675648,100.000,60,0.000,2
712,0.561112239,13.191017,12.985773,0,0.000,0.000,90.000,15,15,3499737088,100.000,60,0.000,2
713,0.573432676,12.320437,13.191176,0,0.000,0.000,90.000,15,15,3499782144,100.000,60,0.000,2
714,0.585685052,12.252376,12.335169,0,0.000,0.000,90.000,15,15,3499827200,100.000,60,0.000,2
715,0.598072872,12.387820,12.288017,0,0.000,0.000,90.000,15,15,3499835392,100.000,60,0.000,2
716,0.610415780,12.342908,12.298327,0,0.000,0.000,90.000,15,15,3499892736,100.000,60,0.000,2
717,0.622086504,11.670724,12.377110,0,0.000,0.000,90.000,15,15,3499933696,100.000,60,0.000,2
718,0.634345420,12.258916,11.655253,0,0.000,0.000,90.000,15,15,3499937792,100.000,60,0.000,2
719,0.648252193,13.906773,12.298188,0,0.000,0.000,90.000,15,15,3499995136,100.000,60,0.000,2
720,0.660345256,12.093063,13.906171,0,0.000,0.000,90.000,15,15,3500040192,100.000,60,0.000,2
721,0.672983821,12.638565,12.031881,0,0.000,0.000,90.000,15,15,3500089344,100.000,60,0.000,2
722,0.685965543,12.981722,12.640106,0,0.000,0.000,90.000,15,15,3500089344,100.000,60,0.000,2
