frame,wall_seconds,wall_ms,sim_ms,phase,x,y,z,yaw,roll,pitch,speed,velocity,contacts,travel,spin,throttle,steering,brake,held,dormant,health,impacts,driver,player_health,ammo,audio,resident_bytes
608,0.269866416,12.633299,228.615277,1,2800.0000,-450.0000,108.1045,0.0000,0.0000,0.0000,0.0000,48.7160,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2928205824
609,0.291817850,21.951434,16.667517,1,2800.0000,-450.0000,107.0230,0.0000,0.0000,0.0000,0.0000,64.8875,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2928623616
610,0.306640276,14.822426,17.959076,1,2800.0000,-450.0000,105.5456,0.0000,0.0000,0.0000,0.0000,82.2652,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2930503680
611,0.320330648,13.690372,16.668757,1,2800.0000,-450.0000,103.9062,0.0000,0.0000,0.0000,0.0000,98.3540,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2930749440
612,0.335499652,15.169004,16.667108,1,2800.0000,-450.0000,101.9994,0.0000,0.0000,0.0000,0.0000,114.4011,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2931101696
613,0.347905745,12.406093,16.668926,1,2800.0000,-450.0000,99.8257,0.0000,0.0000,0.0000,0.0000,130.4097,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2931261440
614,0.364403799,16.498054,16.667378,1,2800.0000,-450.0000,97.3859,0.0000,0.0000,0.0000,0.0000,146.3769,0,60.0000,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2931400704
615,0.380024443,15.620644,16.668847,1,2800.0000,-450.0000,95.0998,0.0000,0.0000,0.0000,0.0000,137.1504,4,59.3859,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2931486720
616,0.399232696,19.208253,16.667197,1,2800.0000,-450.0000,92.9924,0.0000,0.0000,0.0000,0.0000,126.4411,4,57.0998,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2931544064
617,0.415513155,16.280459,16.667267,1,2800.0000,-450.0000,91.0800,0.0000,0.0000,0.0000,0.0000,114.7361,4,54.9924,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2931601408
618,0.433615274,18.102119,16.668708,1,2800.0000,-450.0000,89.3721,0.0000,0.0000,0.0000,0.0000,102.4619,4,53.0800,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2931642368
619,0.445980436,12.365162,16.668947,1,2800.0000,-450.0000,87.8721,0.0000,0.0000,0.0000,0.0000,89.9872,4,51.3721,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2931691520
620,0.465080097,19.099661,16.667357,1,2800.0000,-450.0000,86.5784,0.0000,0.0000,0.0000,0.0000,77.6238,4,49.8721,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2931736576
621,0.483460682,18.380585,16.667848,1,2800.0000,-450.0000,85.4845,0.0000,0.0000,0.0000,0.0000,65.6256,4,48.5784,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2931793920
622,0.499024955,15.564273,16.668296,1,2800.0000,-450.0000,84.5811,0.0000,0.0000,0.0000,0.0000,54.1971,4,47.4845,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2931838976
623,0.512596744,13.571789,16.668648,1,2800.0000,-450.0000,83.8561,0.0000,0.0000,0.0000,0.0000,43.4955,4,46.5811,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2931916800
624,0.531319306,18.722562,16.668447,1,2800.0000,-450.0000,83.2955,0.0000,0.0000,0.0000,0.0000,33.6357,4,45.8561,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2931965952
625,0.548441014,17.121708,16.667347,1,2800.0000,-450.0000,82.8839,0.0000,0.0000,0.0000,0.0000,24.6948,4,45.2955,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932011008
626,0.566711076,18.270062,16.667648,1,2800.0000,-450.0000,82.6053,0.0000,0.0000,0.0000,0.0000,16.7152,4,44.8839,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932064256
627,0.579064348,12.353272,16.668437,1,2800.0000,-450.0000,82.4434,0.0000,0.0000,0.0000,0.0000,9.7113,4,44.6053,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932084736
628,0.597768160,18.703812,16.669217,1,2800.0000,-450.0000,82.3822,0.0000,0.0000,0.0000,0.0000,3.6738,4,44.4434,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932170752
629,0.617022964,19.254804,16.667947,1,2800.0000,-450.0000,82.4059,0.0000,0.0000,0.0000,0.0000,1.4257,4,44.3822,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932252672
630,0.628831585,11.808621,16.667878,1,2800.0000,-450.0000,82.4998,0.0000,0.0000,0.0000,0.0000,5.6331,4,44.4059,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932264960
631,0.649351876,20.520291,16.667866,1,2800.0000,-450.0000,82.6499,0.0000,0.0000,0.0000,0.0000,9.0055,4,44.4998,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932305920
632,0.665535464,16.183588,16.668338,1,2800.0000,-450.0000,82.8434,0.0000,0.0000,0.0000,0.0000,11.6091,4,44.6499,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932359168
633,0.681979616,16.444152,16.667078,1,2800.0000,-450.0000,83.0687,0.0000,0.0000,0.0000,0.0000,13.5159,4,44.8434,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932416512
634,0.698465929,16.486313,16.667566,1,2800.0000,-450.0000,83.3154,0.0000,0.0000,0.0000,0.0000,14.8013,4,45.0687,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932453376
635,0.717194431,18.728502,16.667178,1,2800.0000,-450.0000,83.5744,0.0000,0.0000,0.0000,0.0000,15.5416,4,45.3154,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932506624
636,0.729020652,11.826221,16.668317,1,2800.0000,-450.0000,83.8380,0.0000,0.0000,0.0000,0.0000,15.8125,4,45.5744,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932547584
637,0.748977372,19.956720,16.668667,1,2800.0000,-450.0000,84.0995,0.0000,0.0000,0.0000,0.0000,15.6871,4,45.8380,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932625408
638,0.765153418,16.176046,16.668107,1,2800.0000,-450.0000,84.3534,0.0000,0.0000,0.0000,-0.0000,15.2350,4,46.0995,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932686848
639,0.781609031,16.455613,16.667668,1,2800.0000,-450.0000,84.5955,0.0000,0.0000,0.0000,-0.0000,14.5215,4,46.3534,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932748288
640,0.798253887,16.644856,16.667677,1,2800.0000,-450.0000,84.8223,0.0000,0.0000,0.0000,0.0000,13.6065,4,46.5955,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932809728
641,0.815168180,16.914293,16.668347,1,2800.0000,-450.0000,85.0313,0.0000,0.0000,0.0000,0.0000,12.5442,4,46.8223,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932862976
642,0.831835507,16.667327,16.667058,1,2800.0000,-450.0000,85.2211,0.0000,0.0000,0.0000,0.0000,11.3831,4,47.0313,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932903936
643,0.848805171,16.969664,16.667836,1,2800.0000,-450.0000,85.3905,0.0000,0.0000,0.0000,0.0000,10.1656,4,47.2211,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932838400
644,0.865872737,17.067566,16.668158,1,2800.0000,-450.0000,85.5393,0.0000,0.0000,0.0000,0.0000,8.9282,4,47.3905,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932895744
645,0.882555805,16.683068,16.667457,1,2800.0000,-450.0000,85.6677,0.0000,0.0000,0.0000,0.0000,7.7017,4,47.5393,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932936704
646,0.899147210,16.591405,16.668567,1,2800.0000,-450.0000,85.7762,0.0000,0.0000,0.0000,0.0000,6.5114,4,47.6677,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2932977664
647,0.915632594,16.485384,16.667778,1,2800.0000,-450.0000,85.8659,0.0000,0.0000,0.0000,0.0000,5.3776,4,47.7762,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2933018624
648,0.933424735,17.792141,16.669047,1,2800.0000,-450.0000,85.9378,0.0000,0.0000,0.0000,0.0000,4.3159,4,47.8659,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2933059584
649,0.948930437,15.505702,16.667947,1,2800.0000,-450.0000,85.9934,0.0000,0.0000,0.0000,0.0000,3.3377,4,47.9378,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2933104640
650,0.965644846,16.714409,16.669077,1,2800.0000,-450.0000,86.0343,0.0000,0.0000,0.0000,0.0000,2.4506,4,47.9934,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2933149696
651,0.982755213,17.110367,16.667888,1,2800.0000,-450.0000,86.0619,0.0000,0.0000,0.0000,0.0000,1.6589,4,48.0343,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2933182464
652,1.000132855,17.377642,16.667036,1,2800.0000,-450.0000,86.0780,0.0000,0.0000,0.0000,0.0000,0.9641,4,48.0619,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2933219328
653,1.012976588,12.843733,16.668908,1,2800.0000,-450.0000,86.0841,0.0000,0.0000,0.0000,0.0000,0.3651,4,48.0780,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2933223424
654,1.032699993,19.723405,16.668968,1,2800.0000,-450.0000,86.0817,0.0000,0.0000,0.0000,0.0000,0.1410,4,48.0841,0.0000,0.000,0.000,1,0,0,100.0000,0,0,73.000,60,0,2933252096
