D02_01_TEST event=fixture_world_reload_requested wall=0.016085 phase=0 waypoint=0 location=V(0) loads=0 unloads=0
D02_01_TEST event=world_ready wall=0.618126 phase=0 waypoint=0 location=V(Z=88.00) loads=0 unloads=0
D02_01_TEST event=initial_shaders_ready wall=1.728447 phase=0 waypoint=0 location=V(Z=90.00) loads=17 unloads=0
D02_01_TEST event=dormancy_active_tick_restore wall=1.730031 phase=0 waypoint=0 location=V(Z=90.00) loads=17 unloads=0
D02_01_TEST event=outward_route wall=1.730410 phase=1 waypoint=0 location=V(Z=90.00) loads=17 unloads=0
D02_01_TEST event=waypoint_reached wall=4.124787 phase=1 waypoint=0 location=V(X=0.05, Y=-728.23, Z=90.00) loads=17 unloads=0
D02_01_TEST event=waypoint_reached wall=11.882944 phase=1 waypoint=1 location=V(X=3923.11, Y=-799.81, Z=90.00) loads=17 unloads=0
D02_01_TEST event=waypoint_reached wall=13.482981 phase=1 waypoint=2 location=V(X=3998.60, Y=-79.36, Z=90.00) loads=17 unloads=0
D02_01_TEST event=waypoint_reached wall=21.250535 phase=1 waypoint=3 location=V(X=7927.30, Y=-0.32, Z=90.00) loads=19 unloads=0
D02_01_TEST event=waypoint_reached wall=25.734849 phase=1 waypoint=4 location=V(X=7999.63, Y=2220.31, Z=90.00) loads=19 unloads=0
D02_01_TEST event=waypoint_reached wall=30.391431 phase=1 waypoint=5 location=V(X=8000.02, Y=76.05, Z=90.00) loads=19 unloads=0
D02_01_TEST event=waypoint_reached wall=34.791843 phase=1 waypoint=6 location=V(X=9932.59, Y=966.94, Z=90.12) loads=21 unloads=3
D02_01_TEST event=waypoint_reached wall=37.137274 phase=1 waypoint=7 location=V(X=9999.37, Y=2125.52, Z=315.10) loads=21 unloads=3
D02_01_TEST event=waypoint_reached wall=39.445302 phase=1 waypoint=8 location=V(X=9999.99, Y=3325.17, Z=490.00) loads=21 unloads=4
D02_01_TEST event=waypoint_reached wall=41.987082 phase=1 waypoint=9 location=V(X=10000.07, Y=2277.47, Z=347.23) loads=22 unloads=4
D02_01_TEST event=waypoint_reached wall=44.293925 phase=1 waypoint=10 location=V(X=10000.00, Y=1079.66, Z=107.67) loads=22 unloads=4
D02_01_TEST event=waypoint_reached wall=46.231220 phase=1 waypoint=11 location=V(X=10000.00, Y=73.52, Z=90.00) loads=22 unloads=4
D02_01_TEST event=waypoint_reached wall=50.147941 phase=1 waypoint=12 location=V(X=11925.76, Y=0.43, Z=90.00) loads=22 unloads=4
D02_01_TEST event=waypoint_reached wall=57.836757 phase=1 waypoint=13 location=V(X=15924.09, Y=0.00, Z=90.00) loads=24 unloads=9
D02_01_TEST event=waypoint_reached wall=63.615427 phase=1 waypoint=14 location=V(X=18928.17, Y=-0.00, Z=90.00) loads=24 unloads=11
D02_01_TEST event=first_unload wall=63.615518 phase=2 waypoint=0 location=V(X=18928.17, Y=-0.00, Z=90.00) loads=24 unloads=11
