frame,wall_seconds,wall_delta_ms,sim_delta_ms,phase,x,y,z,visible_cells,loaded_cells,used_physical_bytes,health,ammo,pressure,safety_holds
606,0.618521473,618.521473,16.666957,0,0.000,0.000,88.000,17,17,3748728832,100.000,60,0.000,2
607,0.720858973,102.337500,590.113516,0,0.000,0.000,90.000,17,17,3748921344,100.000,60,0.000,2
608,0.775738807,54.879834,102.126195,0,0.000,0.000,90.000,17,17,3748986880,100.000,60,0.000,2
609,0.783229698,7.490891,54.902033,0,0.000,0.000,90.000,17,17,3749007360,100.000,60,0.000,2
610,0.795938299,12.708601,16.667217,0,0.000,0.000,90.000,17,17,3749036032,100.000,60,0.000,2
611,0.816869547,20.931248,16.685948,0,0.000,0.000,90.000,17,17,3749130240,100.000,60,0.000,2
612,0.835038105,18.168558,16.667196,0,0.000,0.000,90.000,17,17,3749232640,100.000,60,0.000,2
613,0.856148098,21.109993,16.667247,0,0.000,0.000,90.000,17,17,3749367808,100.000,60,0.000,2
614,0.874373588,18.225490,16.667336,0,0.000,0.000,90.000,17,17,3749429248,100.000,60,0.000,2
615,0.892482395,18.108807,16.690417,0,0.000,0.000,90.000,17,17,3749470208,100.000,60,0.000,2
616,0.911133914,18.651519,16.850601,0,0.000,0.000,90.000,17,17,3749543936,100.000,60,0.000,2
617,0.928884103,17.750189,18.625078,0,0.000,0.000,90.000,17,17,3749605376,100.000,60,0.000,2
618,0.946763366,17.879263,17.743070,0,0.000,0.000,90.000,17,17,3749646336,100.000,60,0.000,2
619,0.963571186,16.807820,17.852022,0,0.000,0.000,90.000,17,17,3749707776,100.000,60,0.000,2
620,0.980552149,16.980963,16.820550,0,0.000,0.000,90.000,17,17,3749777408,100.000,60,0.000,2
621,0.997443771,16.891622,16.920122,0,0.000,0.000,90.000,17,17,3749847040,100.000,60,0.000,2
622,1.014937594,17.493823,16.902611,0,0.000,0.000,90.000,17,17,3749892096,100.000,60,0.000,2
623,1.032097171,17.159577,17.534356,0,0.000,0.000,90.000,17,17,3749928960,100.000,60,0.000,2
624,1.048880761,16.783590,17.139697,0,0.000,0.000,90.000,17,17,3749969920,100.000,60,0.000,2
625,1.067485949,18.605188,16.788069,0,0.000,0.000,90.000,17,17,3750019072,100.000,60,0.000,2
626,1.086057576,18.571627,18.594647,0,0.000,0.000,90.000,17,17,3750506496,100.000,60,0.000,2
627,1.104851698,18.794122,18.622369,0,0.000,0.000,90.000,17,17,3754295296,100.000,60,0.000,2
628,1.124397347,19.545649,18.737061,0,0.000,0.000,90.000,17,17,3754360832,100.000,60,0.000,2
629,1.145179921,20.782574,19.871864,0,0.000,0.000,90.000,17,17,3754414080,100.000,60,0.000,2
630,1.162863109,17.683188,20.607782,0,0.000,0.000,90.000,17,17,3754455040,100.000,60,0.000,2
631,1.179340422,16.477313,17.624957,0,0.000,0.000,90.000,17,17,3754483712,100.000,60,0.000,2
632,1.197168173,17.827751,16.667046,0,0.000,0.000,90.000,17,17,3750322176,100.000,60,0.000,2
633,1.214135296,16.967123,17.656338,0,0.000,0.000,90.000,17,17,3750367232,100.000,60,0.000,2
634,1.230471656,16.336360,16.945353,0,0.000,0.000,90.000,17,17,3750367232,100.000,60,0.000,2
