frame,wall_seconds,wall_ms,sim_ms,phase,active,spawned,rivals,infected,health_sum,paths,blocked,overlap_pairs,resident_bytes
642,0.423118254,53.755102,360.015835,1,0,0,0,0,0.000,0,0,0,3477008384
643,0.431448339,8.330085,53.782272,1,0,0,0,0,0.000,0,0,0,3477061632
644,0.442123934,10.675595,8.350717,1,0,0,0,0,0.000,0,0,0,3477274624
645,0.461629394,19.505460,10.604862,1,0,0,0,0,0.000,0,0,0,3477716992
646,0.474642228,13.012834,19.498031,1,0,0,0,0,0.000,0,0,0,3477868544
647,0.490945111,16.302883,13.002284,1,0,0,0,0,0.000,0,0,0,3478360064
648,0.505791154,14.846043,16.316343,1,0,0,0,0,0.000,0,0,0,3478532096
649,0.521224468,15.433314,15.012396,1,0,0,0,0,0.000,0,0,0,3478642688
650,0.533198830,11.974362,15.331212,1,0,0,0,0,0.000,0,0,0,3478724608
651,0.547319377,14.120547,11.967842,1,0,0,0,0,0.000,0,0,0,3478790144
652,0.560990265,13.670888,14.121847,1,0,0,0,0,0.000,0,0,0,3479105536
653,0.575910309,14.920044,13.672908,1,0,0,0,0,0.000,0,0,0,3479494656
654,0.592893037,16.982728,14.924014,1,0,0,0,0,0.000,0,0,0,3479592960
655,0.609772142,16.879105,17.055929,1,0,0,0,0,0.000,0,0,0,3479932928
656,0.623228025,13.455883,17.009878,1,0,0,0,0,0.000,0,0,0,3480014848
657,0.638622938,15.394913,13.425892,1,0,0,0,0,0.000,0,0,0,3480055808
658,0.653595704,14.972766,15.322053,1,0,0,0,0,0.000,0,0,0,3480088576
659,0.667168110,13.572406,14.952565,1,0,0,0,0,0.000,0,0,0,3480145920
660,0.681609453,14.441343,13.627146,1,0,0,0,0,0.000,0,0,0,3480170496
661,0.695044916,13.435463,14.742250,1,0,0,0,0,0.000,0,0,0,3480248320
662,0.708518889,13.473973,13.139667,1,0,0,0,0,0.000,0,0,0,3480305664
663,0.722073805,13.554916,13.496984,1,0,0,0,0,0.000,0,0,0,3480371200
664,0.735638460,13.564655,13.929803,1,0,0,0,0,0.000,0,0,0,3480408064
665,0.749028622,13.390162,13.548605,1,0,0,0,0,0.000,0,0,0,3480424448
666,0.762415904,13.387282,13.301440,1,0,0,0,0,0.000,0,0,0,3480477696
667,0.775482049,13.066145,13.533525,1,0,0,0,0,0.000,0,0,0,3480514560
668,0.789271509,13.789460,13.069565,1,0,0,0,0,0.000,0,0,0,3480571904
669,0.803121081,13.849572,13.838321,1,0,0,0,0,0.000,0,0,0,3480571904
