frame,wall_seconds,wall_delta_ms,sim_delta_ms,stage,phase,cycle,game_ms,render_ms,rhi_ms,gpu_ms,game_wait_ms,render_wait_ms,swap_ms,pawn_count,autonomous_pawns,player_x,player_y,player_z,view_yaw,health,ammo,pressure,active_audio,active_vfx
508,0.000540201,0.540201,48.441109,warmup,terminal,0,47.999001,18.226999,1.368000,5.680000,0.000000,0.898000,0.019000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
509,0.007146411,6.606210,3.183278,warmup,terminal,1,2.754000,8.324000,1.368000,5.680000,0.000000,24.190001,0.017000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
510,0.024557611,17.411200,6.575120,warmup,terminal,1,6.354000,7.580000,1.390000,5.680000,0.339000,0.071000,0.017000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
511,0.042458192,17.900581,17.428610,warmup,terminal,1,1.815000,17.657000,1.487000,5.704000,15.583000,1.266000,0.105000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
512,0.060634748,18.176556,17.910591,warmup,terminal,1,1.813000,17.023001,1.112000,5.674000,16.025999,0.616000,0.012000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
513,0.078224462,17.589714,18.208767,warmup,terminal,1,1.994000,17.010000,1.167000,5.678000,16.375000,0.473000,0.017000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
514,0.096150264,17.925802,17.575244,warmup,terminal,1,2.126000,17.641001,1.075000,5.687000,15.504000,0.774000,0.013000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
515,0.113950861,17.800597,17.920121,warmup,terminal,1,1.946000,16.742001,1.112000,5.691000,15.829000,0.518000,0.016000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
516,0.132171740,18.220879,17.908461,warmup,terminal,1,2.528000,17.684999,1.098000,5.699000,15.910000,0.761000,0.013000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
517,0.149408636,17.236896,18.220207,warmup,terminal,1,3.181000,17.111000,1.029000,5.659000,15.086000,0.459000,0.017000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
518,0.168036352,18.627716,17.254817,warmup,terminal,1,3.076000,17.510000,1.185000,5.690000,14.142000,0.575000,0.014000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
519,0.186546765,18.510413,18.605496,warmup,terminal,1,3.075000,17.798000,1.302000,5.749000,15.470000,0.489000,0.016000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
520,0.205675372,19.128607,18.554244,warmup,terminal,1,3.147000,18.170000,1.071000,5.797000,15.425000,0.557000,0.017000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
521,0.223715005,18.039633,19.150798,warmup,terminal,1,3.140000,17.941000,1.146000,5.784000,16.018999,0.867000,0.010000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
522,0.244038838,20.323833,18.017193,warmup,terminal,1,3.079000,18.284000,1.118000,5.767000,14.936000,0.437000,0.013000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
523,0.261868366,17.829528,20.274141,warmup,terminal,1,2.991000,19.180000,1.143000,5.807000,17.289000,0.410000,0.018000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
524,0.279953031,18.084665,17.830589,warmup,terminal,1,2.913000,17.337000,1.295000,5.808000,14.787000,0.693000,0.012000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
525,0.297960434,18.007403,18.112865,warmup,terminal,1,3.466000,17.059000,1.286000,5.830000,15.151000,0.908000,0.013000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
526,0.315997857,18.037423,17.980432,warmup,terminal,1,2.986000,17.441999,1.154000,5.769000,14.529000,1.037000,0.020000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
527,0.334365218,18.367361,18.029073,warmup,terminal,1,2.931000,17.677999,1.363000,5.755000,15.075000,0.397000,0.014000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
528,0.352914072,18.548854,18.365011,warmup,terminal,1,2.946000,17.502001,1.171000,5.765000,15.508000,0.512000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
529,0.374370279,21.456207,18.581405,warmup,terminal,1,3.079000,18.082001,2.232000,5.835000,15.492000,0.423000,0.011000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
530,0.393883633,19.513354,21.442495,warmup,terminal,1,3.076000,21.355000,2.525000,5.803000,18.434999,0.626000,0.012000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
531,0.412552710,18.669077,19.504976,warmup,terminal,1,3.049000,19.520000,1.252000,5.792000,16.503000,0.753000,0.016000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
532,0.431120636,18.567926,18.671026,warmup,terminal,1,3.067000,17.329000,1.154000,5.783000,15.526000,0.805000,0.021000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
533,0.449178629,18.057993,18.572485,warmup,terminal,1,2.994000,17.382999,1.329000,5.824000,15.545000,0.370000,0.015000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
534,0.468098262,18.919633,18.053984,warmup,terminal,1,2.969000,18.941000,1.134000,5.800000,15.039000,0.895000,0.020000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
535,0.487109536,19.011274,18.952493,warmup,terminal,1,2.956000,17.150000,1.339000,5.813000,15.953000,0.400000,0.018000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
536,0.505312993,18.203457,18.980894,warmup,terminal,1,3.011000,19.471001,1.739000,5.812000,16.080000,0.548000,0.021000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
537,0.525280167,19.967174,18.170306,warmup,terminal,1,3.180000,18.620001,3.704000,5.825000,15.053000,0.755000,0.012000,4,1,0.000000,0.000000,150.000000,0.000000,100.000000,60,0.000000,0,0
