frame,wall_seconds,wall_delta_ms,sim_delta_ms,phase,x,y,z,visible_cells,loaded_cells,used_physical_bytes,health,ammo,pressure,safety_holds
748,0.142986469,142.986469,7.361831,0,0.000,0.000,88.000,12,12,2908897280,100.000,60,0.000,2
749,0.174217776,31.231307,135.504467,0,0.000,0.000,90.000,12,12,2922471424,100.000,60,0.000,2
750,0.192959197,18.741421,31.249916,0,0.000,0.000,90.000,12,12,2923855872,100.000,60,0.000,2
751,0.209358928,16.399731,18.708181,0,0.000,0.000,90.000,12,12,2924072960,100.000,60,0.000,2
752,0.231037693,21.678765,16.443141,0,0.000,0.000,90.000,12,12,2924535808,100.000,60,0.000,2
753,0.247886373,16.848680,21.828670,0,0.000,0.000,90.000,12,12,2927280128,100.000,60,0.000,2
754,0.261370240,13.483867,16.804389,0,0.000,0.000,90.000,12,12,2927742976,100.000,60,0.000,2
755,0.274599010,13.228770,13.441825,0,0.000,0.000,90.000,12,12,2927894528,100.000,60,0.000,2
756,0.287378471,12.779461,13.243910,0,0.000,0.000,90.000,12,12,2928246784,100.000,60,0.000,2
757,0.303830702,16.452231,12.761561,0,0.000,0.000,90.000,12,12,2928308224,100.000,60,0.000,2
758,0.317534783,13.704081,16.495333,0,0.000,0.000,90.000,12,12,2928365568,100.000,60,0.000,2
759,0.331715775,14.180992,13.681220,0,0.000,0.000,90.000,12,12,2928406528,100.000,60,0.000,2
760,0.345239282,13.523507,14.158131,0,0.000,0.000,90.000,12,12,2928451584,100.000,60,0.000,2
761,0.358245338,13.006056,13.529377,0,0.000,0.000,90.000,12,12,2928496640,100.000,60,0.000,2
762,0.372152153,13.906815,13.005566,0,0.000,0.000,90.000,12,12,2928504832,100.000,60,0.000,2
763,0.385832493,13.680340,13.919255,0,0.000,0.000,90.000,12,12,2928566272,100.000,60,0.000,2
764,0.399536894,13.704401,13.710802,0,0.000,0.000,90.000,12,12,2928603136,100.000,60,0.000,2
765,0.413532712,13.995818,13.743081,0,0.000,0.000,90.000,12,12,2928640000,100.000,60,0.000,2
766,0.427363276,13.830564,13.925996,0,0.000,0.000,90.000,12,12,2928836608,100.000,60,0.000,2
767,0.440128096,12.764820,13.832984,0,0.000,0.000,90.000,12,12,2928869376,100.000,60,0.000,2
768,0.452372505,12.244409,12.726270,0,0.000,0.000,90.000,12,12,2928910336,100.000,60,0.000,2
769,0.464603204,12.230699,12.291409,0,0.000,0.000,90.000,12,12,2928955392,100.000,60,0.000,2
770,0.476680169,12.076965,12.221459,0,0.000,0.000,90.000,12,12,2928955392,100.000,60,0.000,2
771,0.489106081,12.425912,12.047454,0,0.000,0.000,90.000,12,12,2929008640,100.000,60,0.000,2
772,0.501180757,12.074676,12.404973,0,0.000,0.000,90.000,12,12,2929074176,100.000,60,0.000,2
773,0.513040047,11.859290,12.128086,0,0.000,0.000,90.000,12,12,2929119232,100.000,60,0.000,2
774,0.525066221,12.026174,11.819060,0,0.000,0.000,90.000,12,12,2929143808,100.000,60,0.000,2
775,0.537302351,12.236130,12.041145,0,0.000,0.000,90.000,12,12,2929192960,100.000,60,0.000,2
776,0.549107899,11.805548,12.263519,0,0.000,0.000,90.000,12,12,2929225728,100.000,60,0.000,2
777,0.561711256,12.603357,11.761488,0,0.000,0.000,90.000,12,12,2929225728,100.000,60,0.000,2
778,0.573839713,12.128457,12.605757,0,0.000,0.000,90.000,12,12,2929262592,100.000,60,0.000,2
779,0.585872017,12.032304,12.150277,0,0.000,0.000,90.000,12,12,2929311744,100.000,60,0.000,2
780,0.597112143,11.240126,12.029614,0,0.000,0.000,90.000,12,12,2929324032,100.000,60,0.000,2
781,0.610390386,13.278243,11.215667,0,0.000,0.000,90.000,12,12,2929369088,100.000,60,0.000,2
782,0.623019633,12.629247,13.344382,0,0.000,0.000,90.000,12,12,2929405952,100.000,60,0.000,2
783,0.635085438,12.065805,12.570067,0,0.000,0.000,90.000,12,12,2929410048,100.000,60,0.000,2
784,0.646909157,11.823719,12.047234,0,0.000,0.000,90.000,12,12,2929442816,100.000,60,0.000,2
785,0.659136226,12.227069,11.866061,0,0.000,0.000,90.000,12,12,2929479680,100.000,60,0.000,2
786,0.671245673,12.109447,12.197828,0,0.000,0.000,90.000,12,12,2929577984,100.000,60,0.000,2
787,0.683589543,12.343870,12.183417,0,0.000,0.000,90.000,12,12,2929582080,100.000,60,0.000,2
788,0.695790721,12.201178,12.335981,0,0.000,0.000,90.000,12,12,2929623040,100.000,60,0.000,2
789,0.707608081,11.817360,12.163457,0,0.000,0.000,90.000,12,12,2929651712,100.000,60,0.000,2
790,0.719318448,11.710367,11.846990,0,0.000,0.000,90.000,12,12,2929672192,100.000,60,0.000,2
791,0.731531626,12.213178,11.720718,0,0.000,0.000,90.000,12,12,2929717248,100.000,60,0.000,2
792,0.744036910,12.505284,12.213738,0,0.000,0.000,90.000,12,12,2929766400,100.000,60,0.000,2
793,0.756365162,12.328252,12.453434,0,0.000,0.000,90.000,12,12,2929766400,100.000,60,0.000,2
794,0.768244083,11.878921,12.384002,0,0.000,0.000,90.000,12,12,2929807360,100.000,60,0.000,2
795,0.780839789,12.595706,11.822200,0,0.000,0.000,90.000,12,12,2929848320,100.000,60,0.000,2
796,0.794266134,13.426345,12.612116,0,0.000,0.000,90.000,12,12,2929881088,100.000,60,0.000,2
797,0.807493875,13.227741,13.468896,0,0.000,0.000,90.000,12,12,2929881088,100.000,60,0.000,2
798,0.822617487,15.123612,13.241201,0,0.000,0.000,90.000,12,12,2929922048,100.000,60,0.000,2
799,0.838467675,15.850188,15.092951,0,0.000,0.000,90.000,12,12,2929950720,100.000,60,0.000,2
800,0.852806950,14.339275,15.868199,0,0.000,0.000,90.000,12,12,2929979392,100.000,60,0.000,2
801,0.865466848,12.659898,14.135130,0,0.000,0.000,90.000,12,12,2930012160,100.000,60,0.000,2
802,0.877469132,12.002284,12.674849,0,0.000,0.000,90.000,12,12,2930012160,100.000,60,0.000,2
803,0.889612248,12.143116,12.006424,0,0.000,0.000,90.000,12,12,2930053120,100.000,60,0.000,2
804,0.902397369,12.785121,12.143276,0,0.000,0.000,90.000,12,12,2930085888,100.000,60,0.000,2
805,0.913085363,10.687994,12.959935,0,0.000,0.000,90.000,12,12,2930085888,100.000,60,0.000,2
806,0.923541414,10.456051,10.703735,0,0.000,0.000,90.000,12,12,2930118656,100.000,60,0.000,2
807,0.933961632,10.420218,10.446359,0,0.000,0.000,90.000,12,12,2930155520,100.000,60,0.000,2
808,0.943918801,9.957169,10.374849,0,0.000,0.000,90.000,12,12,2930155520,100.000,60,0.000,2
809,0.954404252,10.485451,10.042980,0,0.000,0.000,90.000,12,12,2930200576,100.000,60,0.000,2
810,0.964604116,10.199864,10.451939,0,0.000,0.000,90.000,12,12,2930204672,100.000,60,0.000,2
811,0.974357700,9.753584,10.214515,0,0.000,0.000,90.000,12,12,2930253824,100.000,60,0.000,2
812,0.984028592,9.670892,9.724413,0,0.000,0.000,90.000,12,12,2930253824,100.000,60,0.000,2
813,0.994282687,10.254095,9.679313,0,0.000,0.000,90.000,12,12,2930298880,100.000,60,0.000,2
814,1.004375669,10.092982,10.255395,0,0.000,0.000,90.000,12,12,2930335744,100.000,60,0.000,2
815,1.014283746,9.908077,9.915788,0,0.000,0.000,90.000,12,12,2930335744,100.000,60,0.000,2
816,1.024499351,10.215605,10.138953,0,0.000,0.000,90.000,12,12,2930372608,100.000,60,0.000,2
817,1.035560154,11.060803,10.146542,0,0.000,0.000,90.000,12,12,2930372608,100.000,60,0.000,2
818,1.045190005,9.629851,11.175146,0,0.000,0.000,90.000,12,12,2930413568,100.000,60,0.000,2
819,1.055202265,10.012260,9.519819,0,0.000,0.000,90.000,12,12,2930417664,100.000,60,0.000,2
820,1.064992780,9.790515,10.017050,0,0.000,0.000,90.000,12,12,2930458624,100.000,60,0.000,2
821,1.074750335,9.757555,9.765405,0,0.000,0.000,90.000,12,12,2930499584,100.000,60,0.000,2
