frame,wall_seconds,wall_ms,sim_ms,phase,active,spawned,rivals,infected,health_sum,paths,blocked,overlap_pairs,resident_bytes
794,0.148080850,30.267334,113.323567,1,0,0,0,0,0.000,0,0,0,2906324992
795,0.163545940,15.465090,30.327635,1,0,0,0,0,0.000,0,0,0,2907213824
796,0.179605422,16.059482,15.380518,1,0,0,0,0,0.000,0,0,0,2907500544
797,0.198953637,19.348215,16.075043,1,0,0,0,0,0.000,0,0,0,2907987968
798,0.214455537,15.501900,19.331384,1,0,0,0,0,0.000,0,0,0,2910400512
799,0.245617401,31.161864,15.730575,1,0,0,0,0,0.000,0,0,0,2911485952
800,0.259693290,14.075889,31.134314,1,0,0,0,0,0.000,0,0,0,2911617024
801,0.272975801,13.282511,14.011897,1,0,0,0,0,0.000,0,0,0,2912325632
802,0.286067378,13.091577,13.377333,1,0,0,0,0,0.000,0,0,0,2912481280
803,0.298723047,12.655669,13.053007,1,0,0,0,0,0.000,0,0,0,2912628736
804,0.310597957,11.874910,12.645708,1,0,0,0,0,0.000,0,0,0,2912677888
805,0.323124502,12.526545,11.872730,1,0,0,0,0,0.000,0,0,0,2912817152
806,0.336686380,13.561878,12.530605,1,0,0,0,0,0.000,0,0,0,2912948224
807,0.350362659,13.676279,13.541438,1,0,0,0,0,0.000,0,0,0,2913173504
808,0.362487466,12.124807,13.670080,1,0,0,0,0,0.000,0,0,0,2913185792
809,0.373737023,11.249557,12.148366,1,0,0,0,0,0.000,0,0,0,2913234944
810,0.384860357,11.123334,11.242957,1,0,0,0,0,0.000,0,0,0,2913312768
811,0.396149324,11.288967,11.131314,1,0,0,0,0,0.000,0,0,0,2913312768
812,0.409609480,13.460156,11.275937,1,0,0,0,0,0.000,0,0,0,2913361920
813,0.419934997,10.325517,13.604129,1,0,0,0,0,0.000,0,0,0,2913390592
814,0.432080023,12.145026,10.211104,1,0,0,0,0,0.000,0,0,0,2913390592
815,0.443493813,11.413790,12.124886,1,0,0,0,0,0.000,0,0,0,2913431552
816,0.454040325,10.546512,11.377030,1,0,0,0,0,0.000,0,0,0,2913484800
817,0.465333553,11.293228,10.565502,1,0,0,0,0,0.000,0,0,0,2913488896
818,0.477132202,11.798649,11.263418,1,0,0,0,0,0.000,0,0,0,2913542144
819,0.488372278,11.240076,11.827859,1,0,0,0,0,0.000,0,0,0,2913566720
820,0.500604998,12.232720,11.223037,1,0,0,0,0,0.000,0,0,0,2913603584
821,0.511950486,11.345488,12.231048,1,0,0,0,0,0.000,0,0,0,2913665024
822,0.523577682,11.627196,11.371979,1,0,0,0,0,0.000,0,0,0,2913705984
