frame,wall_seconds,wall_ms,sim_ms,phase,active,spawned,rivals,infected,health_sum,paths,blocked,overlap_pairs,resident_bytes
801,0.155100679,28.412204,118.404573,1,0,0,0,0,0.000,0,0,0,2903715840
802,0.172249886,17.149207,28.569908,1,0,0,0,0,0.000,0,0,0,2905288704
803,0.186322675,14.072789,16.972534,1,0,0,0,0,0.000,0,0,0,2905591808
804,0.201966380,15.643705,14.117590,1,0,0,0,0,0.000,0,0,0,2905722880
805,0.216686674,14.720294,15.613902,1,0,0,0,0,0.000,0,0,0,2908319744
806,0.252432619,35.745945,14.739835,1,0,0,0,0,0.000,0,0,0,2909204480
807,0.266188121,13.755502,35.791347,1,0,0,0,0,0.000,0,0,0,2909499392
808,0.281221112,15.032991,13.666850,1,0,0,0,0,0.000,0,0,0,2910511104
809,0.296587610,15.366498,15.193594,1,0,0,0,0,0.000,0,0,0,2910720000
810,0.311450436,14.862826,15.387678,1,0,0,0,0,0.000,0,0,0,2911059968
811,0.328996132,17.545696,14.794216,1,0,0,0,0,0.000,0,0,0,2911350784
812,0.343644415,14.648283,17.498094,1,0,0,0,0,0.000,0,0,0,2911498240
813,0.357307735,13.663320,14.598081,1,0,0,0,0,0.000,0,0,0,2911731712
814,0.372405356,15.097621,13.516207,1,0,0,0,0,0.000,0,0,0,2911850496
815,0.385099486,12.694130,15.320687,1,0,0,0,0,0.000,0,0,0,2911944704
816,0.397060339,11.960853,12.698539,1,0,0,0,0,0.000,0,0,0,2912219136
817,0.409452451,12.392112,11.900192,1,0,0,0,0,0.000,0,0,0,2912321536
818,0.419982003,10.529552,12.262100,1,0,0,0,0,0.000,0,0,0,2912337920
819,0.432307483,12.325480,10.660934,1,0,0,0,0,0.000,0,0,0,2912423936
820,0.441928925,9.621442,12.234128,1,0,0,0,0,0.000,0,0,0,2912473088
821,0.452094099,10.165174,9.589932,1,0,0,0,0,0.000,0,0,0,2912493568
822,0.462938807,10.844708,10.175463,1,0,0,0,0,0.000,0,0,0,2912616448
823,0.472421145,9.482338,10.875229,1,0,0,0,0,0.000,0,0,0,2912653312
824,0.482162950,9.741805,9.484139,1,0,0,0,0,0.000,0,0,0,2912731136
825,0.492172100,10.009150,9.745054,1,0,0,0,0,0.000,0,0,0,2912751616
826,0.500573614,8.401514,10.037821,1,0,0,0,0,0.000,0,0,0,2912804864
827,0.509040811,8.467197,8.361144,1,0,0,0,0,0.000,0,0,0,2912821248
828,0.518344135,9.303324,8.364194,1,0,0,0,0,0.000,0,0,0,2912911360
829,0.527078117,8.733982,9.351865,1,0,0,0,0,0.000,0,0,0,2912960512
830,0.536043764,8.965647,8.675971,1,0,0,0,0,0.000,0,0,0,2913054720
831,0.545794399,9.750635,9.047229,1,0,0,0,0,0.000,0,0,0,2913075200
832,0.555411090,9.616691,9.710353,1,0,0,0,0,0.000,0,0,0,2913136640
833,0.566580755,11.169665,9.606761,1,0,0,0,0,0.000,0,0,0,2913185792
834,0.576890872,10.310117,11.175587,1,0,0,0,0,0.000,0,0,0,2913214464
