frame,wall_seconds,wall_delta_ms,sim_delta_ms,phase,x,y,z,visible_cells,loaded_cells,used_physical_bytes,health,ammo,pressure,safety_holds
849,0.135576966,135.576966,8.081338,0,0.000,0.000,88.000,12,12,2907607040,100.000,60,0.000,2
850,0.160174477,24.597511,127.699494,0,0.000,0.000,90.000,12,12,2920206336,100.000,60,0.000,2
851,0.175291189,15.116712,24.656301,0,0.000,0.000,90.000,12,12,2921316352,100.000,60,0.000,2
852,0.190100944,14.809755,15.039070,0,0.000,0.000,90.000,12,12,2921549824,100.000,60,0.000,2
853,0.204834637,14.733693,14.766385,0,0.000,0.000,90.000,12,12,2921771008,100.000,60,0.000,2
854,0.216576975,11.742338,14.726674,0,0.000,0.000,90.000,12,12,2921902080,100.000,60,0.000,2
855,0.229220703,12.643728,11.717737,0,0.000,0.000,90.000,12,12,2921951232,100.000,60,0.000,2
856,0.241233587,12.012884,12.687238,0,0.000,0.000,90.000,12,12,2922082304,100.000,60,0.000,2
857,0.253798922,12.565335,11.941692,0,0.000,0.000,90.000,12,12,2922340352,100.000,60,0.000,2
858,0.266009231,12.210309,12.586977,0,0.000,0.000,90.000,12,12,2922418176,100.000,60,0.000,2
859,0.278126617,12.117386,12.178307,0,0.000,0.000,90.000,12,12,2922438656,100.000,60,0.000,2
860,0.290005458,11.878841,12.106416,0,0.000,0.000,90.000,12,12,2922508288,100.000,60,0.000,2
861,0.302399380,12.393922,11.878011,0,0.000,0.000,90.000,12,12,2922577920,100.000,60,0.000,2
862,0.314527526,12.128146,12.387952,0,0.000,0.000,90.000,12,12,2922606592,100.000,60,0.000,2
863,0.325689871,11.162345,12.118086,0,0.000,0.000,90.000,12,12,2922672128,100.000,60,0.000,2
864,0.337913019,12.223148,11.196056,0,0.000,0.000,90.000,12,12,2922729472,100.000,60,0.000,2
865,0.349691448,11.778429,12.218539,0,0.000,0.000,90.000,12,12,2922737664,100.000,60,0.000,2
866,0.361511788,11.820340,11.790749,0,0.000,0.000,90.000,12,12,2922782720,100.000,60,0.000,2
867,0.373877949,12.366161,11.808648,0,0.000,0.000,90.000,12,12,2922823680,100.000,60,0.000,2
868,0.385342062,11.464113,12.363842,0,0.000,0.000,90.000,12,12,2922876928,100.000,60,0.000,2
869,0.397125790,11.783728,11.439431,0,0.000,0.000,90.000,12,12,2922893312,100.000,60,0.000,2
870,0.409061523,11.935733,11.855311,0,0.000,0.000,90.000,12,12,2922946560,100.000,60,0.000,2
871,0.420818780,11.757257,11.867070,0,0.000,0.000,90.000,12,12,2923003904,100.000,60,0.000,2
872,0.432464256,11.645476,11.786729,0,0.000,0.000,90.000,12,12,2923028480,100.000,60,0.000,2
873,0.444057241,11.592985,11.630715,0,0.000,0.000,90.000,12,12,2923089920,100.000,60,0.000,2
874,0.455557023,11.499782,11.583035,0,0.000,0.000,90.000,12,12,2923147264,100.000,60,0.000,2
875,0.468010486,12.453463,11.513542,0,0.000,0.000,90.000,12,12,2923163648,100.000,60,0.000,2
876,0.479608151,11.597665,12.446744,0,0.000,0.000,90.000,12,12,2923204608,100.000,60,0.000,2
877,0.491458242,11.850091,11.592784,0,0.000,0.000,90.000,12,12,2923245568,100.000,60,0.000,2
878,0.502587516,11.129274,11.860381,0,0.000,0.000,90.000,12,12,2923278336,100.000,60,0.000,2
879,0.513762711,11.175195,11.147324,0,0.000,0.000,90.000,12,12,2923339776,100.000,60,0.000,2
880,0.525584401,11.821690,11.193347,0,0.000,0.000,90.000,12,12,2923388928,100.000,60,0.000,2
881,0.536624193,11.039792,11.795168,0,0.000,0.000,90.000,12,12,2923409408,100.000,60,0.000,2
882,0.548108716,11.484523,11.064713,0,0.000,0.000,90.000,12,12,2923450368,100.000,60,0.000,2
883,0.559238330,11.129614,11.443172,0,0.000,0.000,90.000,12,12,2923487232,100.000,60,0.000,2
884,0.570836825,11.598495,11.143185,0,0.000,0.000,90.000,12,12,2923511808,100.000,60,0.000,2
885,0.582195025,11.358200,11.609355,0,0.000,0.000,90.000,12,12,2923565056,100.000,60,0.000,2
886,0.593600325,11.405300,11.335669,0,0.000,0.000,90.000,12,12,2923614208,100.000,60,0.000,2
887,0.605605568,12.005243,11.420060,0,0.000,0.000,90.000,12,12,2923638784,100.000,60,0.000,2
888,0.617091181,11.485613,12.005734,0,0.000,0.000,90.000,12,12,2923687936,100.000,60,0.000,2
889,0.628932990,11.841809,11.475022,0,0.000,0.000,90.000,12,12,2923737088,100.000,60,0.000,2
890,0.640265990,11.333000,11.857441,0,0.000,0.000,90.000,12,12,2923765760,100.000,60,0.000,2
891,0.652161851,11.895861,11.307508,0,0.000,0.000,90.000,12,12,2923802624,100.000,60,0.000,2
892,0.663557991,11.396140,11.940252,0,0.000,0.000,90.000,12,12,2923843584,100.000,60,0.000,2
893,0.674750737,11.192746,11.371349,0,0.000,0.000,90.000,12,12,2923847680,100.000,60,0.000,2
894,0.686847672,12.096935,11.223347,0,0.000,0.000,90.000,12,12,2923896832,100.000,60,0.000,2
895,0.698504538,11.656866,12.083936,0,0.000,0.000,90.000,12,12,2923929600,100.000,60,0.000,2
896,0.710148935,11.644397,11.589834,0,0.000,0.000,90.000,12,12,2923950080,100.000,60,0.000,2
897,0.721534894,11.385959,11.586394,0,0.000,0.000,90.000,12,12,2923982848,100.000,60,0.000,2
898,0.732841912,11.307018,11.370550,0,0.000,0.000,90.000,12,12,2924015616,100.000,60,0.000,2
899,0.744997219,12.155307,11.329068,0,0.000,0.000,90.000,12,12,2924019712,100.000,60,0.000,2
900,0.755923509,10.926290,12.127047,0,0.000,0.000,90.000,12,12,2924056576,100.000,60,0.000,2
901,0.767867101,11.943592,10.942821,0,0.000,0.000,90.000,12,12,2924097536,100.000,60,0.000,2
902,0.779561318,11.694217,11.939411,0,0.000,0.000,90.000,12,12,2924101632,100.000,60,0.000,2
903,0.791464940,11.903622,11.702067,0,0.000,0.000,90.000,12,12,2924158976,100.000,60,0.000,2
904,0.803348331,11.883391,11.895832,0,0.000,0.000,90.000,12,12,2924208128,100.000,60,0.000,2
905,0.814529306,11.180975,11.848050,0,0.000,0.000,90.000,12,12,2924208128,100.000,60,0.000,2
906,0.825992388,11.463082,11.193646,0,0.000,0.000,90.000,12,12,2924240896,100.000,60,0.000,2
907,0.837463170,11.470782,11.475972,0,0.000,0.000,90.000,12,12,2924277760,100.000,60,0.000,2
908,0.848682306,11.219136,11.470772,0,0.000,0.000,90.000,12,12,2924277760,100.000,60,0.000,2
909,0.860796622,12.114316,11.209746,0,0.000,0.000,90.000,12,12,2924310528,100.000,60,0.000,2
910,0.872234394,11.437772,12.134156,0,0.000,0.000,90.000,12,12,2924343296,100.000,60,0.000,2
911,0.883554572,11.320178,11.440602,0,0.000,0.000,90.000,12,12,2924343296,100.000,60,0.000,2
912,0.894646616,11.092044,11.457881,0,0.000,0.000,90.000,12,12,2924376064,100.000,60,0.000,2
913,0.906425485,11.778869,11.076123,0,0.000,0.000,90.000,12,12,2924417024,100.000,60,0.000,2
914,0.918749795,12.324310,11.802969,0,0.000,0.000,90.000,12,12,2924425216,100.000,60,0.000,2
915,0.930380891,11.631096,12.316461,0,0.000,0.000,90.000,12,12,2924457984,100.000,60,0.000,2
916,0.941632187,11.251296,11.591095,0,0.000,0.000,90.000,12,12,2924494848,100.000,60,0.000,2
917,0.953295844,11.663657,11.144044,0,0.000,0.000,90.000,12,12,2924498944,100.000,60,0.000,2
918,0.964814056,11.518212,11.615146,0,0.000,0.000,90.000,12,12,2924539904,100.000,60,0.000,2
919,0.977036255,12.222199,11.512902,0,0.000,0.000,90.000,12,12,2924605440,100.000,60,0.000,2
920,0.988877825,11.841570,12.201848,0,0.000,0.000,90.000,12,12,2924609536,100.000,60,0.000,2
921,1.000353937,11.476112,11.867720,0,0.000,0.000,90.000,12,12,2924642304,100.000,60,0.000,2
922,1.011303248,10.949311,11.463163,0,0.000,0.000,90.000,12,12,2924679168,100.000,60,0.000,2
923,1.022779059,11.475811,10.942130,0,0.000,0.000,90.000,12,12,2924687360,100.000,60,0.000,2
924,1.034537008,11.757949,11.484572,0,0.000,0.000,90.000,12,12,2924740608,100.000,60,0.000,2
925,1.046411059,11.874051,11.746198,0,0.000,0.000,90.000,12,12,2924781568,100.000,60,0.000,2
926,1.057861330,11.450271,11.878931,0,0.000,0.000,90.000,12,12,2924785664,100.000,60,0.000,2
927,1.070549619,12.688289,11.470811,0,0.000,0.000,90.000,12,12,2924834816,100.000,60,0.000,2
928,1.082726106,12.176487,12.675259,0,0.000,0.000,90.000,12,12,2924879872,100.000,60,0.000,2
929,1.093291018,10.564912,12.185967,0,0.000,0.000,90.000,12,12,2924879872,100.000,60,0.000,2
930,1.102435119,9.144101,10.558053,0,0.000,0.000,90.000,12,12,2924924928,100.000,60,0.000,2
931,1.112123601,9.688482,9.145140,0,0.000,0.000,90.000,12,12,2924953600,100.000,60,0.000,2
932,1.121392705,9.269104,9.693474,0,0.000,0.000,90.000,12,12,2924974080,100.000,60,0.000,2
933,1.130613078,9.220373,9.283863,0,0.000,0.000,90.000,12,12,2925031424,100.000,60,0.000,2
934,1.139823950,9.210872,9.200452,0,0.000,0.000,90.000,12,12,2925039616,100.000,60,0.000,2
935,1.149259696,9.435746,9.233393,0,0.000,0.000,90.000,12,12,2925092864,100.000,60,0.000,2
936,1.158100641,8.840945,9.424487,0,0.000,0.000,90.000,12,12,2925113344,100.000,60,0.000,2
937,1.167084198,8.983557,8.866805,0,0.000,0.000,90.000,12,12,2925170688,100.000,60,0.000,2
938,1.175873211,8.789013,8.941855,0,0.000,0.000,90.000,12,12,2925178880,100.000,60,0.000,2
939,1.185095714,9.222503,8.809374,1,0.000,0.000,90.000,12,12,2925228032,93.000,59,20.000,2
940,1.915163796,730.068082,9.220482,1,0.000,0.000,90.000,12,12,2977103872,93.000,59,20.000,2
941,1.923557910,8.394114,730.128584,1,0.000,0.000,90.000,12,12,2978193408,93.000,59,20.000,2
942,1.927343793,3.785883,8.646070,1,0.000,0.000,90.000,12,12,2978234368,93.000,59,20.000,2
943,1.936642288,9.298495,3.631930,1,0.000,0.000,90.000,12,12,2978271232,93.000,59,20.000,2
944,1.948227362,11.585074,9.331765,1,0.000,0.000,90.000,12,12,2978299904,93.000,59,20.000,2
945,1.959595162,11.367800,11.569624,1,0.000,0.000,90.000,12,12,2978402304,93.000,59,20.000,2
946,1.972430323,12.835161,11.434671,1,0.000,0.000,90.000,12,12,2978701312,93.000,59,20.000,2
947,1.984450417,12.020094,12.776261,1,0.000,0.000,90.000,12,12,2978713600,93.000,59,20.000,2
948,1.999609921,15.159504,12.021854,1,0.036,-0.345,90.000,12,12,2978775040,93.000,59,20.000,2
949,2.013548326,13.938405,15.243274,1,0.077,-1.340,90.000,12,12,2978824192,93.000,59,20.000,2
950,2.028864893,15.316567,13.885705,1,0.109,-2.710,90.000,12,12,2977828864,93.000,59,20.000,2
951,2.042872711,14.007818,15.328667,1,0.141,-4.786,90.000,12,12,2976825344,93.000,59,20.000,2
