frame,time,phase,x,y,z,foot_x,foot_y,foot_z,visible,tick
922,3.013649,2,6000.0000,-1000.0000,90.0000,19.7798,8.6891,6.1324,1,1
923,3.028040,2,6000.0000,-1000.0000,90.0000,19.7791,8.6844,6.1324,1,1
924,3.428040,2,6000.0000,-1000.0000,90.0000,19.7564,8.6675,7.6900,1,1
925,3.435586,2,6000.0000,-1000.0000,90.0000,19.7537,8.6692,7.5954,1,1
926,3.438886,2,6000.0000,-1000.0000,90.0000,19.7535,8.6702,7.5542,1,1
927,3.451029,2,6000.0000,-1000.0000,90.0000,19.7527,8.6737,7.4025,1,1
928,3.463905,2,6000.0000,-1000.0000,90.0000,19.7518,8.6775,7.2418,1,1
929,3.476413,2,6000.0000,-1000.0000,90.0000,19.7542,8.6794,7.0863,1,1
930,3.491603,2,6000.0000,-1000.0000,90.0000,19.7581,8.6812,6.8975,1,1
931,3.504035,2,6000.0000,-1000.0000,90.0000,19.7615,8.6810,6.7431,1,1
932,3.516506,2,6000.0000,-1000.0000,90.0000,19.7654,8.6774,6.5881,1,1
933,3.529418,2,6000.0000,-1000.0000,90.0000,19.7694,8.6735,6.4273,1,1
934,3.542431,2,6000.0000,-1000.0000,90.0000,19.7703,8.6710,6.2650,1,1
935,3.555111,2,6000.0000,-1000.0000,90.0000,19.7699,8.6692,6.1324,1,1
936,3.567780,2,6000.0000,-1000.0000,90.0000,19.7699,8.6677,6.1324,1,1
937,3.580098,2,6000.0000,-1000.0000,90.0000,19.7734,8.6698,6.1324,1,1
938,3.592054,2,6000.0000,-1000.0000,90.0000,19.7768,8.6718,6.1324,1,1
939,3.604937,2,6000.0000,-1000.0000,90.0000,19.7801,8.6740,6.1324,1,1
940,3.618052,2,6000.0000,-1000.0000,90.0000,19.7830,8.6761,6.1324,1,1
941,3.630787,2,6000.0000,-1000.0000,90.0000,19.7858,8.6783,6.1324,1,1
942,3.643970,2,6000.0000,-1000.0000,90.0000,19.7891,8.6776,6.1324,1,1
943,3.657260,2,6000.0000,-1000.0000,90.0000,19.7925,8.6763,6.1324,1,1
944,3.670486,2,6000.0000,-1000.0000,90.0000,19.7948,8.6749,6.1324,1,1
945,3.682972,2,6000.0000,-1000.0000,90.0000,19.7942,8.6731,6.1324,1,1
946,3.696627,2,6000.0000,-1000.0000,90.0000,19.7936,8.6712,6.1324,1,1
947,3.708087,2,6000.0000,-1000.0000,90.0000,19.7915,8.6708,6.1324,1,1
948,3.720678,2,6000.0000,-1000.0000,90.0000,19.7884,8.6708,6.1324,1,1
949,3.733116,2,6000.0000,-1000.0000,90.0000,19.7854,8.6708,6.1324,1,1
950,3.746132,2,6000.0000,-1000.0000,90.0000,19.7887,8.6702,6.1324,1,1
951,3.758122,2,6000.0000,-1000.0000,90.0000,19.7919,8.6697,6.1324,1,1
952,3.770225,2,6000.0000,-1000.0000,90.0000,19.7948,8.6688,6.1324,1,1
953,3.782854,2,6000.0000,-1000.0000,90.0000,19.7973,8.6667,6.1324,1,1
954,3.796302,2,6000.0000,-1000.0000,90.0000,19.7999,8.6645,6.1324,1,1
955,3.809607,2,6000.0000,-1000.0000,90.0000,19.8010,8.6653,6.1324,1,1
956,3.822371,2,6000.0000,-1000.0000,90.0000,19.8016,8.6672,6.1324,1,1
957,3.835528,2,6000.0000,-1000.0000,90.0000,19.8022,8.6688,6.1324,1,1
958,3.848766,2,6000.0000,-1000.0000,90.0000,19.8024,8.6690,6.1324,1,1
959,3.861691,2,6000.0000,-1000.0000,90.0000,19.8027,8.6692,6.1324,1,1
