frame,time,phase,age,fire_time,fire_weight,hit_time,hit_weight,barrel_angle,foot_displacement,ammo,health
1281,4.848176,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,59,100.000000
1282,4.861931,3,0.013755,0.000000,0.000000,0.000000,0.000000,0.000000,0.003099,59,100.000000
1283,4.873978,3,0.025802,0.000000,0.000000,0.000000,0.000000,0.000000,0.004527,59,100.000000
1284,4.887004,3,0.038828,0.000000,0.000000,0.000000,0.000000,0.000000,0.005506,59,100.000000
1285,4.902181,3,0.054005,0.000000,0.000000,0.000000,0.000000,0.000000,0.006382,59,100.000000
1286,4.915426,3,0.067250,0.000000,0.000000,0.000000,0.000000,0.000000,0.004261,59,100.000000
1287,4.929154,3,0.080978,0.000000,0.000000,0.000000,0.000000,0.000000,0.002066,59,100.000000
1288,4.942310,3,0.094134,0.000000,0.000000,0.000000,0.000000,0.000000,0.004443,59,100.000000
1289,4.955484,3,0.107308,0.000000,0.000000,0.000000,0.000000,0.000000,0.009697,59,100.000000
1290,4.969052,3,0.120876,0.000000,0.000000,0.000000,0.000000,0.000000,0.014161,59,100.000000
1291,4.982459,3,0.134283,0.000000,0.000000,0.000000,0.000000,0.000000,0.013817,59,100.000000
1292,4.994897,3,0.146721,0.000000,0.000000,0.000000,0.000000,0.000000,0.013501,59,100.000000
1293,5.008866,3,0.160690,0.000000,0.000000,0.000000,0.000000,0.000000,0.011170,59,100.000000
1294,5.021619,3,0.173443,0.000000,0.000000,0.000000,0.000000,0.000000,0.008006,59,100.000000
1295,5.034778,3,0.186602,0.000000,0.000000,0.000000,0.000000,0.000000,0.005298,59,100.000000
1296,5.048351,3,0.200175,0.000000,0.000000,0.000000,0.000000,0.000000,0.006841,59,100.000000
1297,5.237150,3,0.388974,0.000000,0.000000,0.000000,0.000000,0.000000,0.020694,59,100.000000
1298,5.244375,3,0.396199,0.000000,0.000000,0.000000,0.000000,0.000000,0.022435,59,100.000000
1299,5.247976,3,0.399800,0.000000,0.000000,0.000000,0.000000,0.000000,0.023429,59,100.000000
1300,5.260699,3,0.412523,0.000000,0.000000,0.000000,0.000000,0.000000,0.027449,59,100.000000
1301,5.274003,3,0.425827,0.000000,0.000000,0.000000,0.000000,0.000000,0.030287,59,100.000000
1302,5.287057,3,0.438881,0.000000,0.000000,0.000000,0.000000,0.000000,0.032086,59,100.000000
1303,5.299757,3,0.451581,0.000000,0.000000,0.000000,0.000000,0.000000,0.034335,59,100.000000
1304,5.313138,3,0.464962,0.000000,0.000000,0.000000,0.000000,0.000000,0.031652,59,100.000000
1305,5.326611,3,0.478435,0.000000,0.000000,0.000000,0.000000,0.000000,0.029330,59,100.000000
1306,5.340332,3,0.492156,0.000000,0.000000,0.000000,0.000000,0.000000,0.029649,59,100.000000
1307,5.353482,3,0.505306,0.000000,0.000000,0.000000,0.000000,0.000000,0.032164,59,100.000000
1308,5.366557,3,0.518381,0.000000,0.000000,0.000000,0.000000,0.000000,0.034831,59,100.000000
1309,5.379378,3,0.531202,0.000000,0.000000,0.000000,0.000000,0.000000,0.030205,59,100.000000
1310,5.393099,3,0.544923,0.000000,0.000000,0.000000,0.000000,0.000000,0.028243,59,100.000000
1311,5.405745,3,0.557569,0.000000,0.000000,0.000000,0.000000,0.000000,0.029983,59,100.000000
1312,5.419510,3,0.571334,0.000000,0.000000,0.000000,0.000000,0.000000,0.033280,59,100.000000
1313,5.433565,3,0.585389,0.000000,0.000000,0.000000,0.000000,0.000000,0.036819,59,100.000000
1314,5.447419,3,0.599243,0.000000,0.000000,0.000000,0.000000,0.000000,0.037673,59,100.000000
1315,5.461583,3,0.613407,0.000000,0.000000,0.000000,0.000000,0.000000,0.038553,59,100.000000
1316,5.475645,3,0.627469,0.000000,0.000000,0.000000,0.000000,0.000000,0.039997,59,100.000000
1317,5.488984,3,0.640808,0.000000,0.000000,0.000000,0.000000,0.000000,0.041725,59,100.000000
1318,5.502873,3,0.654697,0.000000,0.000000,0.000000,0.000000,0.000000,0.043645,59,100.000000
1319,5.516854,3,0.668678,0.000000,0.000000,0.000000,0.000000,0.000000,0.045881,59,100.000000
1320,5.530150,3,0.681973,0.000000,0.000000,0.000000,0.000000,0.000000,0.048029,59,100.000000
1321,5.544072,3,0.695896,0.000000,0.000000,0.000000,0.000000,0.000000,0.049055,59,100.000000
1322,5.558661,3,0.710485,0.000000,0.000000,0.000000,0.000000,0.000000,0.049788,59,100.000000
1323,5.573791,3,0.725615,0.000000,0.000000,0.000000,0.000000,0.000000,0.050742,59,100.000000
1324,5.587048,3,0.738872,0.000000,0.000000,0.000000,0.000000,0.000000,0.051768,59,100.000000
1325,5.600160,3,0.751984,0.000000,0.000000,0.000000,0.000000,0.000000,0.052810,59,100.000000
1326,5.614379,3,0.766203,0.000000,0.000000,0.000000,0.000000,0.000000,0.054408,59,100.000000
1327,5.627990,3,0.779814,0.000000,0.000000,0.000000,0.000000,0.000000,0.055937,59,100.000000
1328,5.643526,3,0.795349,0.000000,0.000000,0.000000,0.000000,0.000000,0.056714,59,100.000000
1329,5.656818,3,0.808642,0.000000,0.000000,0.000000,0.000000,0.000000,0.056989,59,100.000000
1330,5.670021,3,0.821845,0.000000,0.000000,0.000000,0.000000,0.000000,0.056967,59,100.000000
1331,5.683319,3,0.835142,0.000000,0.000000,0.000000,0.000000,0.000000,0.055992,59,100.000000
1332,5.696638,3,0.848462,0.000000,0.000000,0.000000,0.000000,0.000000,0.055146,59,100.000000
