frame,time,phase,age,fire_time,fire_weight,hit_time,hit_weight,barrel_angle,foot_displacement,ammo,health
1201,4.229886,3,0.000000,0.000000,0.000000,0.000000,0.000000,13.494040,1.377687,59,100.000000
1202,4.232934,3,0.003048,0.000000,0.000000,0.000000,0.000000,13.237582,1.341899,59,100.000000
1203,4.245102,3,0.015216,0.000000,0.000000,0.000000,0.000000,12.223107,1.198764,59,100.000000
1204,4.257970,3,0.028084,0.000000,0.000000,0.000000,0.000000,11.147215,1.047461,59,100.000000
1205,4.273784,3,0.043897,0.000000,0.000000,0.000000,0.000000,9.830290,0.861648,59,100.000000
1206,4.286182,3,0.056296,0.000000,0.000000,0.000000,0.000000,8.800693,0.716079,59,100.000000
1207,4.299124,3,0.069238,0.000000,0.000000,0.000000,0.000000,7.718513,0.564291,59,100.000000
1208,4.312165,3,0.082279,0.000000,0.000000,0.000000,0.000000,6.598328,0.411588,59,100.000000
1209,4.324609,3,0.094723,0.000000,0.000000,0.000000,0.000000,5.527859,0.266246,59,100.000000
1210,4.337073,3,0.107187,0.000000,0.000000,0.000000,0.000000,4.453793,0.121940,59,100.000000
1211,4.350146,3,0.120259,0.000000,0.000000,0.000000,0.000000,3.324763,0.026616,59,100.000000
1212,4.363467,3,0.133581,0.000000,0.000000,0.000000,0.000000,2.178219,0.026538,59,100.000000
1213,4.376527,3,0.146641,0.000000,0.000000,0.000000,0.000000,1.060788,0.027207,59,100.000000
1214,4.389387,3,0.159501,0.000000,0.000000,0.000000,0.000000,0.000000,0.028245,59,100.000000
1215,4.402635,3,0.172749,0.000000,0.000000,0.000000,0.000000,0.000000,0.028696,59,100.000000
1216,4.415223,3,0.185336,0.000000,0.000000,0.000000,0.000000,0.000000,0.026153,59,100.000000
