phase,foot,sole_error,normal_angle,weight,capsule_z
flat,0,0.000000,0.000000,1.000000,1088.000000
flat,1,0.000000,0.000000,1.000000,1088.000000
slope_positive,0,-0.004054,0.063700,1.000000,1088.000000
slope_positive,1,-0.000010,0.110202,1.000000,1088.000000
slope_negative,0,0.003563,0.393950,1.000000,1088.000000
slope_negative,1,0.001337,0.217392,1.000000,1088.000000
split_levels,0,-0.000122,0.961509,1.000000,1088.000000
split_levels,1,0.000122,0.469483,1.000000,1088.000000
missing_one_support,0,999.000000,90.000000,0.000000,1088.000000
missing_one_support,1,0.000000,0.468073,1.000000,1088.000000
land,0,0.000000,0.767529,1.000000,1088.000000
land,1,0.000000,0.232001,1.000000,1088.000000
steep_rejected,0,-30.593071,60.340069,0.000000,1088.000000
steep_rejected,1,-10.170151,60.190655,0.000000,1088.000000
gap_rejected,0,49.352001,0.736072,0.000000,1088.000000
gap_rejected,1,49.322666,0.222525,0.000000,1088.000000
reacquired,0,0.000000,0.148332,1.000000,1088.000000
reacquired,1,0.000000,0.057245,1.000000,1088.000000
wake,0,0.000000,0.022219,1.000000,1088.000000
wake,1,0.000000,0.098010,1.000000,1088.000000
after_teleport,0,0.000000,0.036877,1.000000,1088.000000
after_teleport,1,0.000000,0.100182,1.000000,1088.000000
after_seat,0,0.000000,0.415150,1.000000,1088.000000
after_seat,1,0.000000,0.226535,1.000000,1088.000000
