frame,time,phase,age,actor_x,actor_y,actor_z,left_x,left_y,left_z,right_x,right_y,right_z,pelvis_z,left_weight,right_weight,max_contact_error
873,0.004432,1,0.000000,-1000.0000,-900.0000,1088.0000,-989.5355,-919.5183,1008.0561,-1018.8844,-890.1382,1007.7374,1089.1007,0.0000,0.0000,0.2303
874,0.105114,1,0.100682,-1000.0000,-900.0000,1088.0000,-991.8109,-918.8898,1007.1700,-1021.2584,-895.3111,1007.1395,1088.4332,0.0000,0.0000,0.6868
875,0.181972,1,0.177540,-1000.0000,-900.0000,1088.0000,-991.8110,-918.8882,1007.5737,-1021.2699,-895.3105,1007.5634,1088.4368,0.6149,0.6149,0.2629
876,0.196378,1,0.191946,-1000.0000,-900.0000,1088.0000,-991.8112,-918.8860,1007.6491,-1021.2733,-895.3126,1007.6424,1088.4371,0.7301,0.7301,0.1839
877,0.209805,1,0.205373,-1000.0000,-900.0000,1088.0000,-991.8104,-918.8861,1007.7195,-1021.2738,-895.3136,1007.7157,1088.4376,0.8375,0.8375,0.1106
878,0.223216,1,0.218784,-1000.0000,-900.0000,1088.0000,-991.8082,-918.8893,1007.7897,-1021.2705,-895.3134,1007.7888,1088.4384,0.9448,0.9448,0.0376
879,0.235995,1,0.231563,-1000.0000,-900.0000,1088.0000,-991.8061,-918.8924,1007.8258,-1021.2673,-895.3132,1007.8263,1088.4392,1.0000,1.0000,0.0000
880,0.250998,1,0.246566,-1000.0000,-900.0000,1088.0000,-991.8056,-918.8916,1007.8258,-1021.2678,-895.3077,1007.8263,1088.4402,1.0000,1.0000,0.0000
881,0.263515,1,0.259083,-1000.0000,-900.0000,1088.0000,-991.8053,-918.8906,1007.8258,-1021.2687,-895.3024,1007.8263,1088.4410,1.0000,1.0000,0.0000
882,0.280176,1,0.275744,-1000.0000,-900.0000,1088.0000,-991.8076,-918.8883,1007.8258,-1021.2699,-895.2981,1007.8263,1088.4419,1.0000,1.0000,0.0000
883,0.292419,1,0.287987,-1000.0000,-900.0000,1088.0000,-991.8109,-918.8861,1007.8258,-1021.2708,-895.2966,1007.8263,1088.4424,1.0000,1.0000,0.0000
884,0.304378,1,0.299946,-1000.0000,-900.0000,1088.0000,-991.8143,-918.8833,1007.8258,-1021.2709,-895.2952,1007.8263,1088.4414,1.0000,1.0000,0.0000
885,0.316357,1,0.311925,-1000.0000,-900.0000,1088.0000,-991.8115,-918.8868,1007.8258,-1021.2721,-895.2953,1007.8263,1088.4430,1.0000,1.0000,0.0000
886,0.327982,1,0.323550,-1000.0000,-900.0000,1088.0000,-991.8089,-918.8895,1007.8258,-1021.2724,-895.2954,1007.8263,1088.4429,1.0000,1.0000,0.0000
887,0.340013,1,0.335581,-1000.0000,-900.0000,1088.0000,-991.8066,-918.8918,1007.8258,-1021.2729,-895.2958,1007.8263,1088.4429,1.0000,1.0000,0.0000
888,0.351700,1,0.347268,-1000.0000,-900.0000,1088.0000,-991.8058,-918.8922,1007.8258,-1021.2738,-895.2967,1007.8263,1088.4433,1.0000,1.0000,0.0000
889,0.363833,1,0.359401,-1000.0000,-900.0000,1088.0000,-991.8049,-918.8926,1007.8258,-1021.2747,-895.2977,1007.8263,1088.4437,1.0000,1.0000,0.0000
890,0.376358,1,0.371926,-1000.0000,-900.0000,1088.0000,-991.8033,-918.8937,1007.8258,-1021.2754,-895.2976,1007.8263,1088.4439,1.0000,1.0000,0.0000
891,0.389029,1,0.384597,-1000.0000,-900.0000,1088.0000,-991.8006,-918.8959,1007.8258,-1021.2758,-895.2959,1007.8263,1088.4436,1.0000,1.0000,0.0000
892,0.402088,1,0.397656,-1000.0000,-900.0000,1088.0000,-991.7978,-918.8982,1007.8258,-1021.2761,-895.2942,1007.8263,1088.4432,1.0000,1.0000,0.0000
893,0.414952,1,0.410520,-1000.0000,-900.0000,1088.0000,-991.7977,-918.8960,1007.8258,-1021.2752,-895.2965,1007.8263,1088.4429,1.0000,1.0000,0.0000
894,0.427275,1,0.422843,-1000.0000,-900.0000,1088.0000,-991.7982,-918.8930,1007.8258,-1021.2740,-895.2995,1007.8263,1088.4426,1.0000,1.0000,0.0000
895,0.440158,1,0.435726,-1000.0000,-900.0000,1088.0000,-991.7996,-918.8899,1007.8258,-1021.2732,-895.3015,1007.8263,1088.4420,1.0000,1.0000,0.0000
896,0.452515,1,0.448083,-1000.0000,-900.0000,1088.0000,-991.8051,-918.8870,1007.8258,-1021.2743,-895.2981,1007.8263,1088.4405,1.0000,1.0000,0.0000
897,0.464138,1,0.459706,-1000.0000,-900.0000,1088.0000,-991.8102,-918.8844,1007.8258,-1021.2753,-895.2949,1007.8263,1088.4391,1.0000,1.0000,0.0000
