frame,time,phase,age,camera_pitch,barrel_pitch,sample_pitch,aim_weight,jump_weight,x,y,z,foot_x,foot_y,foot_z
1085,3.013205,2,0.000000,-0.000000,11.825014,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.779801,8.689231,6.132371
1086,3.025395,2,0.012191,0.000000,11.832626,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.779264,8.685248,6.132371
1087,3.036712,2,0.023507,0.000000,11.840018,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.778727,8.681627,6.132371
1088,3.048586,2,0.035382,0.000000,11.848574,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.778071,8.678034,6.132371
1089,3.060647,2,0.047443,0.000000,11.857258,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.777402,8.674376,6.132371
1090,3.071596,2,0.058391,0.000000,11.867298,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.776076,8.673992,6.132371
1091,3.082795,2,0.069591,0.000000,11.880249,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.773828,8.677270,6.132371
1092,3.093623,2,0.080418,0.000000,11.892762,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.771650,8.680441,6.132371
1093,3.105412,2,0.092207,0.000000,11.906446,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.771780,8.682686,6.132371
1094,3.117098,2,0.103893,0.000000,11.920042,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.774835,8.683500,6.132371
1095,3.128802,2,0.115598,0.000000,11.933670,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.777890,8.684318,6.132371
1096,3.141085,2,0.127881,0.000000,11.948913,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.778645,8.684481,6.132371
1097,3.153346,2,0.140141,0.000000,11.964688,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.777974,8.684236,6.132371
1098,3.166540,2,0.153335,0.000000,11.981664,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.777252,8.683974,6.132371
1099,3.179793,2,0.166589,0.000000,11.984959,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.774342,8.683397,6.132371
1100,3.191784,2,0.178579,0.000000,11.987824,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.771689,8.682875,6.132371
1101,3.205531,2,0.192326,0.000000,11.988488,0.000000,0.000000,0.000000,6000.000000,-1000.000000,90.000000,19.770648,8.682421,6.132371
