frame,time,phase,age,camera_pitch,barrel_pitch,sample_pitch,aim_weight,jump_weight,x,y,z,foot_x,foot_y,foot_z
1004,3.014142,2,0.000000,-0.000000,-78.501305,-18.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.779764,8.688924,6.132371
1005,3.026406,2,0.012264,0.000000,-78.516380,-16.528341,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.779224,8.684920,6.132371
1006,3.039391,2,0.025249,0.000000,-78.527367,-14.970082,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.778585,8.680822,6.132371
1007,3.052334,2,0.038192,0.000000,-78.532661,-13.417017,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.777862,8.676894,6.132371
1008,3.065305,2,0.051163,0.000000,-78.537964,-11.860427,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.777139,8.672962,6.132371
1009,3.077624,2,0.063482,0.000000,-78.544380,-10.382188,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.774867,8.675761,6.132371
1010,3.090468,2,0.076326,0.000000,-78.551247,-8.840898,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.772282,8.679517,6.132371
1011,3.103302,2,0.089160,0.000000,-78.559738,-7.300751,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.771242,8.682541,6.132371
1012,3.116591,2,0.102449,0.000000,-78.573456,-5.706072,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.774701,8.683469,6.132371
1013,3.129677,2,0.115535,0.000000,-78.586945,-4.135795,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.778117,8.684384,6.132371
1014,3.142847,2,0.128705,0.000000,-78.604836,-2.555358,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.778549,8.684445,6.132371
1015,3.155704,2,0.141562,0.000000,-78.623909,-1.012598,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.777844,8.684190,6.132371
1016,3.168303,2,0.154161,0.000000,-78.642075,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.776883,8.683898,6.132371
1017,3.182511,2,0.168368,0.000000,-78.658638,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.773739,8.683282,6.132371
1018,3.197978,2,0.183836,0.000000,-78.676636,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.770318,8.682601,6.132371
1019,3.211855,2,0.197713,0.000000,-78.683327,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.771535,8.682314,6.132371
1020,3.225598,2,0.211456,0.000000,-78.688354,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.773464,8.682081,6.132371
1021,3.238937,2,0.224795,0.000000,-78.691551,0.000000,1.000000,0.000000,6000.000000,-1000.000000,90.000000,19.775179,8.681673,6.132371
